Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,cluster
Afghanistan,AFG,-0.9183545802754488,-0.0875718657844521,-1.0879207787630745,-0.789929507824787,-0.9856439224381456,-0.7289171966512916,-0.3994707601605907,-0.0633643367243253,-0.4142314825180343,0.0811215726380728,-0.3510067208387762,-1.9526560808765712,0.8173776945177487,-0.5828010668362644,-1.5923056180570936,1.968542637664032,-0.4060164942019894,-0.8942919934507554,-0.1127764070839263,0.0472639258373127,1.1800993040615122,-2.621286170123833,-0.6300458446261462,0.0175686876089642,1
Angola,AGO,-1.3774153328834229,-1.6169519503771983,0.7185009618880117,-0.4937189753825937,-1.031826877248597,0.5073630652653327,-1.3453329591810763,0.237941711007028,-0.1904643817377759,1.883574433862392,0.6121578764660544,-1.5014541680452929,1.8622390770005328,0.609720238412861,0.081707618472704,1.435956579342745,-0.7227048056318622,-0.0756711721353589,-0.112590619373084,-1.1877059635349263,-0.3537507402444998,0.6523719964213103,-0.0344785689658179,1.2179870931476509,1
Albania,ALB,0.7057707030893137,-0.5973652273153677,-0.7203022354393916,-0.4285035118203864,0.4053866764526474,-0.47017089180746,-0.0296725659954258,-0.3800582957197019,-0.4103135207198967,-0.3108208175793465,-0.2990055177720525,0.5087786210793624,-0.1863002486462835,0.0902383547563927,-0.3075714758409393,0.6904923601133397,0.233858247004724,0.342453415451245,-0.1105028770867606,-0.6745032083910546,-1.01932906300018,0.6297746746930657,-0.1886874614378909,0.4129989658464187,1
United Arab Emirates,ARE,0.7184344479888441,-1.6169519503771983,1.5375779265602945,3.5671772138504583,1.247763772195279,1.5165631831202124,-1.4165546936985929,-0.3579495773621033,0.2223040402668382,2.3973913431909173,0.9526276874001784,2.517738180065108,0.3737536313185655,-1.1186188587838166,1.138494940522125,-1.4006716457762545,1.049801938238769,0.5713173345363127,-0.1108166572558609,0.8440198532322637,0.080385120530666,-1.3476416996669782,0.6302184543571852,0.4883190188440291,1
Argentina,ARG,0.6487838510414273,1.9516015803392095,-0.043786666566992,-0.0248337453327492,0.1393728567444478,0.0626655119835053,0.9708292201816006,0.9931404562073564,-0.1066079144322949,-0.7443588922989746,-0.044522268555079,0.0860635482378967,1.8516344237458269,-0.8409084178353902,1.4783124874297977,-0.6925828557308759,0.7886526902116527,0.7209591277842416,-0.1106597671713108,-0.1495816562249692,-0.8559429557327399,0.7088713296674675,0.8641915731557783,0.0175686876089642,1
Armenia,ARM,0.696272894414666,0.4222214957464633,-0.5120466666781006,-0.5154952432849316,-0.5515241472199034,-0.5225573742575043,-0.0353820934939602,-0.3795159681488025,-0.4126196996344697,1.5037542227943694,-0.1751792879988592,0.900934594513526,-0.8567554098435327,-0.8670458711011244,0.3026540692166254,0.269820742295204,-0.5383636244238765,-3.3207776832580542,-0.1108827162388294,-1.0681943725156189,-1.3712376017300507,0.6975718075282672,-0.6406809863897186,1.65577984030699,1
Australia,AUS,0.7184344479888441,0.9320148572773788,0.4879833012663975,1.245095757344884,1.6264640016409797,2.0001636800552,0.1594742506198678,3.4998139682780383,0.4445655294534564,-0.0314423982431311,1.371108023091414,0.5896045599552655,0.819600445565087,-0.8899161427086418,1.2698618670053416,-1.0190674055968656,1.2731362382042335,0.824382238907805,-0.1100569770667144,1.17677642397324,1.6451219512369877,-1.0877536123519982,0.6674438813462941,-0.1942690626460297,1
Austria,AUT,0.7184344479888441,-0.0875718657844521,0.0550906244503696,1.258300900472216,1.5969069105622908,1.466839660094519,-0.0945858297760721,-0.3521208230954278,0.3591301274698865,-0.7773371911389059,0.1072317174542842,0.5830496714440123,0.8689989620107202,-0.0992581814201806,0.4234064228124818,-1.004527125262117,1.2441919167212236,0.7473608792011228,-0.1100789975167622,1.0314873821350712,0.777915692357069,-0.6508394462220174,0.6195785903717996,-0.5849946329513485,1
Azerbaijan,AZE,0.7152685117639617,-0.0875718657844521,0.1205327737303394,-0.1262384839777094,-0.1044731446547349,0.3639556995584326,-1.7068665020673304,-0.3520691245793234,-0.3341052291159697,0.9321074729686262,0.0064325156684909,1.0977824821725892,-0.6518065343368139,-1.0140690457208796,-0.1955277759163881,0.6360222485693959,-0.3043928049244689,-0.0844658182266697,-0.1113148520857483,-0.8010467968596645,-0.5794433895878416,0.2154588629223898,-0.4120254384729117,-0.0106763322651395,1
Burundi,BDI,-2.2765412207500746,-0.0875718657844521,1.751041984737964,-0.840517939705138,-1.0835517866363025,-0.7272339405214735,0.5598279838126576,-0.3809300746187177,-0.4161757908510131,-0.3022913727253701,1.0730588693711394,-1.4292978742461742,1.1906617334008855,1.9688678082310425,-2.089351154308542,1.81182614882863,-0.7664260898955214,-1.888969795628165,-0.1128479709821421,-1.1338095665363792,-0.1332736351267554,0.0798645972519868,0.039968086478916,-0.6697267959942304,1
Belgium,BEL,0.7184344479888441,1.4418082188082944,-0.5683319555325037,1.1126785536184722,1.6373299272487825,1.2550453324163915,-0.169390935392446,-0.3785717099576011,1.6663360305972277,-0.5539391702522107,0.5662200892516049,0.3866060762582068,1.8035382425229376,-0.9617941391894111,1.2065579519591054,-0.9884395013860776,1.079348587173153,0.7363672258377406,-0.1101450611149698,0.876822084296896,-0.0198459724919049,-0.4173134620108092,0.6169232407899452,-0.1660223067376069,1
Benin,BEN,-1.4977209094289607,-1.6169519503771983,1.270348816342599,-0.7562794210774738,-1.0340436590794986,-0.7608239786728942,-0.0320667774974061,-0.3367937336150569,-0.4141117401475366,-0.3022913727253701,0.0261749511759915,-1.4045955199161515,-0.7015021878343536,0.6031858750964274,-0.6751050435332344,1.6981104224417494,-0.8526909657135279,-1.294806026313382,-0.1122740769040983,0.2651993214231977,-0.3029437045273824,0.2267555608355161,-0.1355066311911478,0.996723498042118,1
Burkina Faso,BFA,-2.0485938125585297,0.4222214957464633,1.7664994371994716,-0.8009784127112679,-1.0750541229511794,-0.746182361748351,-0.0425494261829016,-0.2552722695931367,-0.4109477117383207,-0.4238623689053442,-0.2320986596284055,-1.5502780381941657,-0.2889916331019456,1.599676280852546,-1.5009548407472142,1.58205105954871,-0.6222623038081471,-0.0580582932515162,-0.1124791468066215,-0.2198842237051541,-0.0955691149173349,0.2267572637640808,-0.1142397733533027,0.6483772265455875,1
Bangladesh,BGD,-0.639752192485782,-2.126745311908114,-0.0436186507793673,-0.7320913472527671,-1.002269786169908,-0.7345908309977683,0.2979621461714941,-0.3279695065035073,-0.3463326625324708,-0.6464543244609912,-6.685282277225313,-0.2325507632945091,0.009456009482953,0.2862692542493997,-1.3425703386075585,0.9062718384246352,-0.0036575849113413,-0.9999214945669403,-0.1114166930178248,-0.1777024536624381,-0.5731593085390938,0.298322025276525,-0.497106572581491,-0.1142414051368538,1
Bulgaria,BGR,0.4936529760221812,-0.0875718657844521,-0.4734030355243313,-0.1751174573466465,0.5457828590764193,-0.5452391224246435,0.0771699147219729,-0.3389224960428862,-0.3258591753586779,-0.1580195477222725,-0.1095048787149266,0.7561078880794443,0.2200133505438987,-0.7428929680888866,0.6113391435873138,-1.1343790743876212,-0.1404368073229402,0.6241348409367908,-0.110691419386808,-0.0769362233521039,-0.9502059716494468,0.9216778492087448,-0.297699079454115,-0.1095338386560764,1
Bahrain,BHR,0.7184344479888441,-0.0875718657844521,1.1677751779974852,1.6740100008269316,0.8413537698633076,0.395565584865904,-1.2455478681241416,-0.3935607316905049,-0.3995354910177866,1.1280895709229584,0.2714322742591596,1.925347101830251,-1.4711297379773984,-1.1218860404420334,1.811742035675648,-1.3475020415846393,0.3614786940044009,0.6549406895866259,-0.1108551916625926,1.0642994331591031,0.1872144983593768,-0.7186349672514977,0.5717251746575368,1.7593449131787042,1
Bosnia and Herzegovina,BIH,0.6994388306395488,-0.0875718657844521,-1.4352934196779348,-0.4448382109928522,0.2775522575373182,-0.5949673273149454,-0.2159779489958264,-0.3679953086286692,-0.394551978080466,-0.407488066734249,-0.395072581011584,0.8613516190723475,0.0552916211424721,-0.5533964319123134,-0.5380328985281799,-0.5279246197226065,-0.0745578332444952,-0.0888670474398441,-0.1105469164087396,-1.9258786943584187,-0.1772622024679893,0.9875928757677404,-0.4917890016997048,-2.21011602986161,1
Belarus,BLR,0.5221464020461242,-0.0875718657844521,0.2084050306582581,-0.137303439178805,-0.1033647537392841,-0.5565238492264726,0.4928164122793183,-0.2911074508246575,-0.2959944574854243,-0.4102439416096701,0.0804201413174782,1.0650944933489348,1.233301564740547,-0.8801145977339916,0.7396686525081311,-1.0849733042556151,0.2805342438240503,0.6725456064393235,-0.1112708127637693,0.0472639258373127,-1.3146808722913217,-0.0783287126968167,-0.2950388790736151,-0.1142414051368538,1
