Topic,occorrenze
Economic Policy & Debt: Official development assistance,76
Private Sector & Trade: Business environment,76
Social Protection & Labor: Economic activity,74
Public Sector: Policy & institutions,72
Health: Population: Structure,58
Education: Outcomes,49
Environment: Emissions,48
Education: Participation,44
Education: Inputs,42
Health: Mortality,39
Health: Risk factors,32
Health: Nutrition,30
Economic Policy & Debt: National accounts: Adjusted savings & income,28
Social Protection & Labor: Labor force structure,28
Environment: Energy production & use,27
,27
Health: Disease prevention,27
Social Protection & Labor: Unemployment,27
Economic Policy & Debt: National accounts: Shares of GDP & other,25
Environment: Land use,24
Trade,24
Health: Health systems,23
Private Sector & Trade: Imports,23
Private Sector & Trade: Exports,23
"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
Public Sector: Government finance: Revenue,22
Education: Efficiency,21
Economic Policy & Debt: External debt: Net flows,20
Economic Policy & Debt: National accounts: Growth rates,16
Health: Reproductive health,16
Infrastructure: Communications,15
Financial Sector: Access,15
Financial Sector: Assets,14
Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,14
Infrastructure: Technology,13
Public Sector: Government finance: Expense,13
Economic Policy & Debt: Purchasing power parity,13
Social Protection & Labor: Migration,13
Health: Population: Dynamics,13
Environment: Density & urbanization,12
Environment: Agricultural production,11
Economic Policy & Debt: Balance of payments: Capital & financial account,11
Economic Policy & Debt: External debt: Debt ratios & other items,11
Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,11
Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,11
Economic Policy & Debt: External debt: Debt outstanding,10
Financial Sector: Exchange rates & prices,10
Public Sector: Government finance: Deficit & financing,10
Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,10
Health: Universal Health Coverage,10
Poverty: Poverty rates,10
Private Sector & Trade: Travel & tourism,10
Environment: Freshwater,9
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,9
Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,9
Poverty: Income distribution,9
Private Sector & Trade: Private infrastructure investment,8
Infrastructure: Transportation,8
Private Sector & Trade: Trade facilitation,8
Public Sector: Defense & arms trade,8
Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,8
Economic Policy & Debt: Balance of payments: Current account: Transfers,7
Financial Sector: Capital markets,7
Environment: Biodiversity & protected areas,7
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added,7
Gender: Health,7
Economic Policy & Debt: Balance of payments: Reserves & other items,6
Environment: Natural resources contribution to GDP,6
Public Sector: Conflict & fragility,6
Economic Policy & Debt: External debt: Debt service,5
Financial Sector: Interest rates,5
Economic Policy & Debt: National accounts: Local currency at current prices: Value added,5
Economic Policy & Debt: National accounts: Local currency at constant prices: Value added,5
Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators,5
Poverty: Shared prosperity,5
Economic Policy & Debt: Balance of payments: Current account: Balances,4
Financial Sector: Monetary holdings (liabilities),4
Economic Policy & Debt: National accounts: US$ at current prices: Value added,4
Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,3
Gender: Public life & decision making,3
Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,2
Gender: Participation & access,2
Health,2
Gender: Agency,2
Private Sector & Trade: Trade price indices,2
Public Sector: Government finance,1
Employment and Time Use,1
Private Sector & Trade: Total merchandise trade,1
