Topic,occorrenze
Economic Policy & Debt,76
Private Sector & Trade,76
Social Protection & Labor,74
Public Sector,72
Health,58
Education,49
Environment,48
Education,44
Education,42
Health,39
Health,32
Health,30
Economic Policy & Debt,28
Social Protection & Labor,28
Environment,27
,27
Health,27
Social Protection & Labor,27
Economic Policy & Debt,25
Environment,24
Trade,24
Health,23
Private Sector & Trade,23
Private Sector & Trade,23
Economic Policy & Debt,22
Public Sector,22
Education,21
Economic Policy & Debt,20
Economic Policy & Debt,16
Health,16
Infrastructure,15
Financial Sector,15
Financial Sector,14
Economic Policy & Debt,14
Infrastructure,13
Public Sector,13
Economic Policy & Debt,13
Social Protection & Labor,13
Health,13
Environment,12
Environment,11
Economic Policy & Debt,11
Economic Policy & Debt,11
Economic Policy & Debt,11
Economic Policy & Debt,11
Economic Policy & Debt,10
Financial Sector,10
Public Sector,10
Economic Policy & Debt,10
Health,10
Poverty,10
Private Sector & Trade,10
Environment,9
Economic Policy & Debt,9
Economic Policy & Debt,9
Poverty,9
Private Sector & Trade,8
Infrastructure,8
Private Sector & Trade,8
Public Sector,8
Economic Policy & Debt,8
Economic Policy & Debt,7
Financial Sector,7
Environment,7
Economic Policy & Debt,7
Gender,7
Economic Policy & Debt,6
Environment,6
Public Sector,6
Economic Policy & Debt,5
Financial Sector,5
Economic Policy & Debt,5
Economic Policy & Debt,5
Economic Policy & Debt,5
Poverty,5
Economic Policy & Debt,4
Financial Sector,4
Economic Policy & Debt,4
Economic Policy & Debt,3
Gender,3
Economic Policy & Debt,2
Gender,2
Health,2
Gender,2
Private Sector & Trade,2
Public Sector,1
Employment and Time Use,1
Private Sector & Trade,1
