Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
BG.GSR.NFSV.GD.ZS,Economic Policy & Debt,Trade in services (% of GDP),,Total trade in services includes services provided by residents to non-residents plus services provided by non-residents to residents. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.,%,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Weighted average,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators Database, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.CMCP.ZS,Economic Policy & Debt,"Communications, computer, etc. (% of service imports, BoP)",,"Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.",%,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Weighted average,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.FCTY.CD,Economic Policy & Debt,"Primary income payments (BoP, current US$)",,"Primary income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments).This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Sum,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.GNFS.CD,Economic Policy & Debt,"Imports of goods and services (current US$, BoP)",,"Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Gap-filled total,"Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent. Sources include customs data, monetary accounts of the banking system, external debt records, information provided by enterprises, surveys to estimate service transactions, and foreign exchange records. Differences in collection methods - such as in timing, definitions of residence and ownership, and the exchange rate used to value transactions - contribute to net errors and omissions. In addition, smuggling and other illegal or quasi-legal transactions may be unrecorded or misrecorded.",,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.INSF.ZS,Economic Policy & Debt,"Insurance and financial services (% of service imports, BoP)",,"Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.",%,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Weighted average,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.MRCH.CD,Economic Policy & Debt,"Goods imports (current US$, BoP)",,"Imports of goods occur when there are changes in the economic ownership of goods from non-residents to residents of the compiling economy, irrespective of physical movement of goods across national borders. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Gap-filled total,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.NFSV.CD,Economic Policy & Debt,"Service imports (current US$, BoP)",,"Imports of services are services provided by non-residents to residents. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards. Manufacturing services on physical inputs owned by others (goods for processing in BPM5) and maintenance and repair services n.i.e. are reclassified from goods to services.,Gap-filled total,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.ROYL.CD,Economic Policy & Debt,"Charges for the use of intellectual property, payments (BoP, current US$)",,"Charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises), and charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Sum,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.TOTL.CD,Economic Policy & Debt,"Imports of goods, services and primary income (current US$, BoP)",,"Imports of goods includes change in the economic ownership of goods from non-residents to


residents of the compiling economy, irrespective of physical movement of goods across national borders. Imports of services includes services provided by non-residents to residents. Primary income represents the return that accrues to institutional units for their contribution to the production process or for the provision of financial assets and renting natural resources to other institutional units. This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.",current US$,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Gap-filled total,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
BM.GSR.TRAN.ZS,Economic Policy & Debt,"Transport services (% of service imports, BoP)",,Transport services covers the process of carriage of people and objects from one location to another as well as related supporting and auxiliary services. Also included are postal and courier services. This indicator is expressed as a percentage of service imports which are services provided by non-residents to residents.,%,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Weighted average,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: Balance of payments statistics are compiled in accordance with international standards: Balance of Payments and International Investment Position Manual, 6th or 5th editions. Specific information on how countries compile their balance of payments statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): The international accounts for an economy summarize the economic relationships between residents of that economy and nonresidents. They comprise the following:

(a) the international investment position (IIP)—a statement that shows at a point in time the value of: financial assets of residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets; and the liabilities of residents of an economy to nonresidents;

(b) the balance of payments—a statement that summarizes economic transactions between residents and nonresidents during a specific time period; and

(c) the other changes in financial assets and liabilities accounts—a statement that shows other flows, such as valuation changes, that reconciles the balance of payments and IIP for a specific period, by showing changes due to economic events other than transactions between residents and nonresidents.","This indicator is related to the balance of payments, which is a statement that summarizes economic transactions between residents and nonresidents during a specific time period. It consists of the goods and services account (the trade balance), the primary account, the secondary income account, the capital account, and the financial account. It is useful for policymakers, economists, and analysts as it provides insights into a country's financial stability, the effectiveness of its fiscal and monetary policies, and its economic relationship with other countries. Understanding the balance of payments can help in making informed decisions regarding economic policies and strategies for sustainable growth. More specifically, this indicator is related to the goods and services accounts of the balance of payments, which records the value of a country's exports and imports of goods and services over a period of time. It helps in understanding the trade balance, which is a key indicator of a country's economic health. This information is valuable for policymakers, economists, investors, and businesses in making informed decisions related to trade policies, investment strategies, and economic planning.",,,,CC BY-4.0
