Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
CM.MKT.INDX.ZG,Financial Sector,S&P Global Equity Indices (annual % change),,S&P Global Equity Indices measure the U.S. dollar price change in the stock markets covered by the S&P BMI country indices.,Percentage,Annual,,,,"Markets included in Standard & Poor's emerging markets category vary widely in level of development. Thus, it is best to look at the entire category to identify the most significant market trends.  It is also useful to remember that stock market trends may be distorted by currency conversions, especially when a currency has registered a significant devaluation.
Index methodology details are available on the S&P Global website: https://www.spglobal.com/spdji/en/indices/equity/sp-global-bmi/#overview",,,"S&P Global BMI, S&P Dow Jones Indices, uri: https://www.spglobal.com/spdji/en/index-family/equity/global-equity/sp-global-bmi/#overview","Methodology: The S&P Global Broad Market Index (BMI) series is a global index suite with a transparent, modular structure that has been fully float-adjusted since 1989. It includes more than 14,000 stocks from 25 developed and 24 emerging markets. It is a rules-based index that measures global stock market performance. The index covers all publicly listed equities with float-adjusted market values of US$ 100 million or more and that meet minimum liquidity criteria measured by median daily value traded figures. The S&P Global BMI is made up of the S&P Developed BMI and S&P Emerging BMI. Additional information about methodology can be found on the S&P Global website: https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-global-bmi-sp-ifci-indices.pdf

The percentage changes for France, Germany, Japan, the United Kingdom, and the United States refer to local stock market prices: CAC40, DAX, Nikkei, FTSE, S&P500.
Statistical concept(s): Ratios of end-of-period levels in U.S. dollars over previous end-of-period values in U.S. dollars times 100.","The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information. This lowers transaction costs, which in turn improves resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks. Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets.",,,,CC BY-4.0
CM.MKT.LCAP.CD,Financial Sector,Market capitalization of listed domestic companies (current US$),,"Market capitalization (also known as market value) is the share price times the number of shares outstanding (including their several classes) for listed domestic companies. Investment funds, unit trusts, and companies whose only business goal is to hold shares of other listed companies are excluded. Data are end of year values converted to U.S. dollars using corresponding year-end foreign exchange rates.","stocks, bonds, options contracts, futures contracts and commodities.",Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Sum,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: Market capitalization figures include: shares of listed domestic companies; shares of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange); common and preferred shares of domestic companies; and shares without voting rights. Market capitalization figures exclude: collective investment funds ; rights, warrants, ETFs, convertible instruments ; options, futures ; foreign listed shares other than exclusively listed ones; companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status; and companies admitted to trading (i.e., companies whose shares are traded at the exchange but not listed at the exchange).
Statistical concept(s): Market capitalization figures include: shares of listed domestic companies; shares of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange); common and preferred shares of domestic companies; and shares without voting rights. Market capitalization figures exclude: collective investment funds ; rights, warrants, ETFs, convertible instruments ; options, futures ; foreign listed shares other than exclusively listed ones; companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status; and companies admitted to trading (i.e., companies whose shares are traded at the exchange but not listed at the exchange).","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
CM.MKT.LCAP.GD.ZS,Financial Sector,Market capitalization of listed domestic companies (% of GDP),,"Market capitalization (also known as market value) is the share price times the number of shares outstanding (including their several classes) for listed domestic companies. Investment funds, unit trusts, and companies whose only business goal is to hold shares of other listed companies are excluded. Data are end of year values.","End-of-year total market capitalization of listed domestic companies, divided by gross domestic product, expressed as a percentage.",Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Weighted average,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: Market capitalization figures include: shares of listed domestic companies; shares of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange); common and preferred shares of domestic companies; and shares without voting rights. Market capitalization figures exclude: collective investment funds ; rights, warrants, ETFs, convertible instruments ; options, futures ; foreign listed shares other than exclusively listed ones; companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status; and companies admitted to trading (i.e., companies whose shares are traded at the exchange but not listed at the exchange).
Statistical concept(s):  Market capitalization figures include: shares of listed domestic companies; shares of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange); common and preferred shares of domestic companies; and shares without voting rights. Market capitalization figures exclude: collective investment funds ; rights, warrants, ETFs, convertible instruments ; options, futures ; foreign listed shares other than exclusively listed ones; companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status; and companies admitted to trading (i.e., companies whose shares are traded at the exchange but not listed at the exchange).","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
CM.MKT.LDOM.NO,Financial Sector,"Listed domestic companies, total",,"Listed domestic companies, including foreign companies which are exclusively listed, are those which have shares listed on an exchange at the end of the year. Investment funds, unit trusts, and companies whose only business goal is to hold shares of other listed companies, such as holding companies and investment companies, regardless of their legal status, are excluded. A company with several classes of shares is counted once. Only companies admitted to listing on the exchange are included.","End-of-year total market capitalization of listed domestic companies, divided by gross domestic product, expressed as a percentage. (percentile)",Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Sum,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: A company is considered domestic when it is incorporated in the same country as where the exchange is located. The only exception is the case of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange as defined in the domestic market capitalization definition).
Statistical concept(s):  A company is considered domestic when it is incorporated in the same country as where the exchange is located. The only exception is the case of foreign companies which are exclusively listed on an exchange (i.e., the foreign company is not listed on any other exchange as defined in the domestic market capitalization definition).","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
CM.MKT.TRAD.CD,Financial Sector,"Stocks traded, total value (current US$)",,"The value of shares traded is the total number of shares traded, both domestic and foreign, multiplied by their respective matching prices. Figures are single counted (only one side of the transaction is considered). Companies admitted to listing and admitted to trading are included in the data. Data are end of year values converted to U.S. dollars using corresponding year-end foreign exchange rates.","stocks, bonds, options contracts, futures contracts and commodities",Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Sum,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards. Only EOB trades are included in the total value of shares traded.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: The value of shares traded represent the transfer of ownership effected automatically through the exchange's electronic order book (EOB), where orders placed by trading members are usually exposed to all market users and automatically matched according to precise rules set up by the exchange, generally on a price/time priority basis. For data before 2001, the WFE used two different approaches for the collection of trading data, depending on the individual stock exchange's market organization and rules. The first approach is the Trading System View (TSV). Stock exchanges adopting this view count only those transactions which pass through their trading system or trading floor. The TSV is generally adopted by exchanges which operate a centralized order book (order-driven market). Trades done by their members off the exchange are not included. The second approach is the Regulated Environment View (REV). Stock exchanges in this category include all transactions subject to supervision by the market authority, including transactions made by members, and sometimes non-members, on outside trading systems and transactions into foreign markets. Figures reported under the REV approach will be higher than those reported under the TSV approach.
Statistical concept(s):  The value of shares traded is the total number of shares traded, both domestic and foreign, multiplied by their respective matching prices. Figures are single counted (only one side of the transaction is considered). Companies admitted to listing and admitted to trading are included in the data. Data are end of year values converted to U.S. dollars using corresponding year-end foreign exchange rates. The value of shares traded represent the transfer of ownership effected automatically through the exchange's electronic order book (EOB), where orders placed by trading members are usually exposed to all market users and automatically matched according to precise rules set up by the exchange, generally on a price/time priority basis. https://data.worldbank.org/indicator/CM.MKT.TRAD.CD","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
CM.MKT.TRAD.GD.ZS,Financial Sector,"Stocks traded, total value (% of GDP)",,"The value of shares traded is the total number of shares traded, both domestic and foreign, multiplied by their respective matching prices. Figures are single counted (only one side of the transaction is considered). Companies admitted to listing and admitted to trading are included in the data. Data are end of year values.","stocks, bonds, options contracts, futures contracts and commodities. (total number of shares traded, both domestic and foreign, multiplied by respective prices)",Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Weighted average,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards. Only EOB trades are included in the total value of shares traded.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: The value of shares traded represent the transfer of ownership effected automatically through the exchange's electronic order book (EOB), where orders placed by trading members are usually exposed to all market users and automatically matched according to precise rules set up by the exchange, generally on a price/time priority basis. For data before 2001, the WFE used two different approaches for the collection of trading data, depending on the individual stock exchange's market organization and rules. The first approach is the Trading System View (TSV). Stock exchanges adopting this view count only those transactions which pass through their trading system or trading floor. The TSV is generally adopted by exchanges which operate a centralized order book (order-driven market). Trades done by their members off the exchange are not included. The second approach is the Regulated Environment View (REV). Stock exchanges in this category include all transactions subject to supervision by the market authority, including transactions made by members, and sometimes non-members, on outside trading systems and transactions into foreign markets. Figures reported under the REV approach will be higher than those reported under the TSV approach.
Statistical concept(s): The value of shares traded represent the transfer of ownership effected automatically through the exchange's electronic order book (EOB), where orders placed by trading members are usually exposed to all market users and automatically matched according to precise rules set up by the exchange, generally on a price/time priority basis. For data before 2001, the WFE used two different approaches for the collection of trading data, depending on the individual stock exchange's market organization and rules. The first approach is the Trading System View (TSV). Stock exchanges adopting this view count only those transactions which pass through their trading system or trading floor. The TSV is generally adopted by exchanges which operate a centralized order book (order-driven market). Trades done by their members off the exchange are not included. The second approach is the Regulated Environment View (REV). Stock exchanges in this category include all transactions subject to supervision by the market authority, including transactions made by members, and sometimes non-members, on outside trading systems and transactions into foreign markets. Figures reported under the REV approach will be higher than those reported under the TSV approach.","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
CM.MKT.TRNR,Financial Sector,"Stocks traded, turnover ratio of domestic shares (%)",,Turnover ratio is the value of domestic shares traded divided by their market capitalization. The value is annualized by multiplying the monthly average by 12.,,Annual,,"Stock market data were previously sourced from Standard & Poor's until they discontinued their ""Global Stock Markets Factbook"" and database in April 2013. Time series have been replaced in December 2015 with data from the World Federation of Exchanges and may differ from the previous S&P definitions and methodology.",Weighted average,"Data cover measures of size (market capitalization, number of listed domestic companies) and liquidity (value of shares traded as a percentage of gross domestic product, value of shares traded as a percentage of market capitalization). The comparability of such data across countries may be limited by conceptual and statistical weaknesses, such as inaccurate reporting and differences in accounting standards. Only domestic shares are used in order to be consistent with domestic market capitalization.",,,"World Federation of Exchanges database, World Federation of Exchanges (WFE)","Methodology: Turnover ratio is the value of electronic order book (EOB) domestic shares traded divided by their market capitalization. The value is annualized by multiplying the monthly average by 12, according to the following formula: (Monthly EOB domestic shares traded / Month-end domestic market capitalization) x 12.
Statistical concept(s): Statistical Concept and Methodology: Turnover ratio is the value of electronic order book (EOB) domestic shares traded divided by their market capitalization. The value is annualized by multiplying the monthly average by 12, according to the following formula: (Monthly EOB domestic shares traded / Month-end domestic market capitalization) x 12.","Stock market size can be measured in various ways, and each may produce a different ranking of countries.

The development of an economy's financial markets is closely related to its overall development. Well-functioning financial systems provide good and easily accessible information which can lower transaction costs and subsequently improve resource allocation and boosts economic growth. Both banking systems and stock markets enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient relative to domestic banks.

Open economies with sound macroeconomic policies, good legal systems, and shareholder protection attract capital and therefore have larger financial markets. Recent research on stock market development shows that modern communications technology and increased financial integration have resulted in more cross-border capital flows, a stronger presence of financial firms around the world, and the migration of stock exchange activities to international exchanges. Many firms in emerging markets now cross-list on international exchanges, which provides them with lower cost capital and more liquidity-traded shares. However, this also means that exchanges in emerging markets may not have enough financial activity to sustain them, putting pressure on them to rethink their operations.",,,,CC BY-4.0
FB.AST.NPER.ZS,Financial Sector,Bank nonperforming loans to total gross loans (%),,"The indicator measures the proportion of a deposit taker’s loan portfolio that is impaired or at risk of default. It is calculated as the ratio of non-performing loans (NPLs) to total gross loans, where NPLs are defined as loans that are past due by 90 days or more or are otherwise considered unlikely to be repaid in full without the realization of collateral. Both non-performing loans and total gross loans should be reported at their gross book value, without deducting for loan-loss provisions or collateral. This indicator provides a key measure of asset quality and potential credit risk in the banking system.",Percentage,Annual,,,Ratio of non-performing/total loan portfolio,"Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.",,,"Financial Soundness Indicators, International Monetary Fund (IMF), uri: https://data.imf.org/en/datasets/IMF:EXTERNAL_DATASET_CARDS/IMF.STA:LFSI","Methodology: The ratio is calculated by dividing the value of non-performing loans (NPLs) by the total value of gross loans, expressed as a percentage. Both NPLs and total gross loans should be reported at their gross book value, meaning before any deductions for provisions, write-offs, or collateral. Gross loans include all outstanding loans on the balance sheet, including those classified as non-performing. The classification of NPLs should be based on either quantitative criteria (e.g., days past due) or qualitative assessments (e.g., evidence of financial difficulties), following supervisory standards aligned with Basel guidance. Data should be compiled using a consistent consolidation basis, typically the cross-border, cross-sector, domestically incorporated consolidation approach (CBCSDI), to ensure comparability across reporting entities and jurisdictions. 
Statistical concept(s): The Non-performing Loans (NPLs) to Total Gross Loans ratio is a core indicator of asset quality within the banking sector. It measures the proportion of a deposit taker’s loan portfolio that is impaired or at significant risk of default. A loan is classified as non-performing when payments of principal or interest are overdue by 90 days or more, or when it is assessed that full repayment is unlikely without the realization of collateral, even if the loan is not yet past due. Data are submitted by national authorities to the IMF following the Financial Soundness Indicators (FSI) Compilation Guide.","This indicator serves as a key measure of asset quality within the banking sector. A higher ratio indicates a greater share of impaired loans, which can signal deteriorating credit risk and financial health of lending institutions. Conversely, a lower ratio reflects better asset quality and lower credit risk. Importantly, total gross loans include the full book value of loans before provisioning and do not net out collateral or guarantees. This indicator helps assess potential vulnerabilities in a financial system, especially when tracked over time or compared across institutions and jurisdictions.",,,,CC BY-4.0
FB.ATM.TOTL.P5,Financial Sector,"Automated teller machines (ATMs) (per 100,000 adults)",,"Automated teller machines (ATMs) are electromechanical devices which enable customers of financial institutions to perform financial transactions such as cash withdrawals, balance inquiries, deposits, transfer of funds, and obtaining account information, using an electronic card.","(number of ATMs)*100,000/adult population",Annual,,Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,Median,"Population-based ratios of the number of branches and ATMs assume a uniform distribution of bank outlets within a country's area and across its population, while in most countries bank branches and ATMs are concentrated in urban centers of the country and are accessible only to some individuals.",,,"Financial Access Survey, International Monetary Fund (IMF), uri: https://data.imf.org/?sk=E5DCAB7E-A5CA-4892-A6EA-598B5463A34C","Methodology: Data are shown as the total number of ATMs for every 100,000 adults in the reporting country. Calculated as (number of ATMs)*100,000/adult population in the reporting country.
Statistical concept(s):  Data are shown as the total number of ATMs for every 100,000 adults in the reporting country. Calculated as (number of ATMs)*100,000/adult population in the reporting country.","Financial inclusion acts as a powerful driver not only of economic growth but, more importantly, of inclusive growth. It ensures that diverse segments of society—especially low-income households and small enterprises—have access to and can effectively use financial services, allowing them to share in the benefits of economic development. By promoting savings and investment, stabilizing consumption, and reducing the financial vulnerability of individuals and businesses, financial inclusion supports broader economic expansion. Accessible and affordable financial tools—such as savings accounts, credit, and insurance—enable people, particularly those traditionally underserved or excluded, to invest in their futures, manage spending more effectively, and mitigate financial risks. These benefits can translate into higher income levels and contribute to reducing poverty and inequality. Ultimately, financial inclusion aims to expand economic opportunity and participation, helping to build a more equitable and prosperous society.",,,,CC BY-4.0
FB.BNK.CAPA.ZS,Financial Sector,Bank capital to assets ratio (%),,"The indicator is a measure of capital adequacy that evaluates the financial strength of deposit takers by comparing Tier 1 capital to total assets. Tier 1 capital, often referred to as core capital, includes the most stable and readily available forms of capital, such as common equity, disclosed reserves, retained earnings, and certain other instruments that meet regulatory requirements under the Basel framework. This capital is considered the highest quality because it is fully available to cover losses and does not need to be repaid.",Percentage,Annual,,,,"Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.",,,"Financial Soundness Indicators, International Monetary Fund (IMF), uri: https://data.imf.org/en/datasets/IMF:EXTERNAL_DATASET_CARDS/IMF.STA:LFSI","Methodology: The ratio is calculated by dividing Tier 1 capital by total assets, expressed as a percentage. Tier 1 capital should be measured in accordance with the Basel regulatory framework as adopted by national supervisory authorities, ensuring consistency with international standards. Total assets are recorded at gross book value and include all financial and non-financial assets, without deduction for provisions, write-downs, or collateral. The data are compiled on a consolidated basis, typically using the cross-border, cross-sector, domestically incorporated consolidation approach (CBCSDI), which includes all relevant financial entities under common control, regardless of location or legal form.
Statistical concept(s): The Tier 1 Capital to Assets ratio is a core financial soundness indicator that assesses the capital adequacy and financial resilience of deposit takers by measuring the proportion of high-quality, loss-absorbing capital relative to their total balance sheet size. Tier 1 capital, often referred to as core capital, comprises components such as common equity, retained earnings, and other instruments that meet Basel criteria for being fully available to cover losses.","The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. 

Total assets in this context refer to the gross value of all assets on the balance sheet, without deducting for provisions or reserves. By calculating the ratio of Tier 1 capital to total assets, this indicator provides a non-risk-weighted measure of leverage, offering insight into the overall capital buffer relative to the size of a deposit taker’s balance sheet. A higher ratio indicates a stronger capital position and lower leverage, while a lower ratio may suggest vulnerability in times of financial stress. This metric is useful for analyzing systemic stability and comparing institutions that may have different levels of risk exposure.",,,,CC BY-4.0
