Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
SG.DMK.ALLD.FN.ZS,Gender,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",,"Women participating in the three decisions (own health care, major household purchases, and visiting family) is the percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in all of the three decisions (own health care, large purchases and visits to family, relatives, and friends).",% of women ages 15-49,Annual,,,,,,,"Demographic and Health Surveys (DHS), DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: WE_DMAK_W_3DC; 	Indicator name from the original source: Final say in all of the decisions [Women], publisher: The DHS program (ICF), type: API, date accessed: 2023-08-18","Methodology: Women participating in the three decisions (own health care, major household purchases, and visiting family) is the number of currently married women aged 15-49 who say they alone or jointly have the final say in the three decisions, expressed as percentage of currently married women age 15-49 who have been interviewed and It’s derived by dividing the number of currently married women aged 15-49 who responded they alone or jointly have the final say in the three decisions by total number of currently married women age 15-49 who have been interviewed.
Statistical concept(s): This indicator assesses the level of women's participation in household decision-making. It emphasizes the importance of decisions regarding their own health care, which are deemed essential to women's self-interest. The indicator also evaluates women's involvement in making substantial economic decisions, such as those related to significant purchases, to gauge their economic decision-making power within the household. Additionally, it measures women's autonomy in deciding on visits to family or friends, which can indicate their freedom of movement and the ability to engage with their birth family.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.",,,,CC BY-4.0
SG.DMK.SRCR.FN.ZS,Gender,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",,Proportion of women ages 15-49 years (married or in union) who make their own decision on all three selected areas i.e. can say no to sexual intercourse with their husband or partner if they do not want; decide on use of contraception; and decide on their own health care. Only women who provide a “yes” answer to all three components are considered as women who “make her own decisions regarding sexual and reproductive”.,% of women ages 15-49,Annual,,This is the Sustainable Development Goal indicator 5.6.1[https://unstats.un.org/sdgs/metadata/].,,"Current estimates of the indicator are based on currently married or in union women of reproductive age (15-49 years old) who are using any type of contraception.  In the current Demographic and Health Surveys (DHS),  the question on decision-making on use of contraception is only asked to women who are currently using contraception. Because the questions on decision- making on sexual relations and health care are restricted to women (15-49) currently married or in union, the denominator for Indicator 5.6.1 is women 15-49, who are currently married or in union and currently using contraception.  However, agreement has been reached with Macro/ICF for upcoming DHS surveys to ask the question on decision on use of contraception to all married/ in union women aged 15-49 years, whether they are currently using any contraception or not. The DHS model questionnaire for Phase 7 already includes the question on decision-making for women who are not currently using any contraception.",,,"Demographic and Health Surveys compiled by United Nations Population Fund, United Nations (UN), uri: https://unstats.un.org/sdgs/UNSDGAPIV5/swagger/index.html, note: Indicator code from the original source: SH_FPL_INFM; 	Indicator name from the original source: Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care, publisher: UN Statistics Division, type: API","Methodology: Numerator of the indicator is number of married or in union women ages 15-49 who have been interviewed and satisfy all three empowerment criteria: 1)who can say 'no' to sex; and 2)for whom the decision on contraception is not mainly made by the husband/partner; and 3) for whom decision on health care for themselves ins not usually made by the husband/partner or someone else.  Denominator of the indicator is the total number of women ages 15-49 who are married or in union and who have been interviewed.  













The data for this indicator are primarily sourced from nationally representative Demographic and Health Surveys (DHS).
Statistical concept(s): A woman is deemed to possess autonomy in reproductive health decision-making and to be empowered to assert her reproductive rights when she has the ability to: (1) make decisions regarding her own health care, independently or in conjunction with her husband or partner, (2) determine the use or non-use of contraception, on her own or together with her husband or partner, and (3) refuse sexual relations with her husband or partner if she chooses.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.",,,,CC BY-4.0
SG.GEN.PARL.ZS,Gender,Proportion of seats held by women in national parliaments (%),,Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,% of single or lower chamber seats,Annual,,"Relevance to gender indicator: Women are vastly underrepresented in decision making positions in government, although there is some evidence of recent improvement. Gender parity in parliamentary representation is still far from being realized. Without representation at this level, it is difficult for women to influence policy.

This is the Sustainable Development Goal indicator 5.5.1 (a). [https://unstats.un.org/sdgs/metadata/].",Weighted average,"The number of countries covered varies with suspensions or dissolutions of parliaments. There can be difficulties in obtaining information on by-election results and replacements due to death or resignation. These changes are ad hoc events which are more difficult to keep track of. By-elections, for instance, are often not announced internationally as general elections are. Parliaments vary considerably in their internal workings and procedures, however, generally legislate, oversee government and represent the electorate. In terms of measuring women's contribution to political decision making, this indicator may not be sufficient because some women may face obstacles in fully and efficiently carrying out their parliamentary mandate.











The data is compiled by the Inter-Parliamentary Union on the basis of information provided by National Parliaments. The percentages do not take into account the case of parliaments for which no data was available at that date. Information is available in all countries where a national legislature exists and therefore does not include parliaments that have been dissolved or suspended for an indefinite period.",,,"Monthly ranking of women in national parliaments, Inter-Parliamentary Union (IPU), uri: https://data.ipu.org/women-ranking/, note: For the year of 1998, the data is as of August 10, 1998., type: Excel, date accessed: 2024-03-21","Methodology: The proportion of seats held by women in national parliaments is the number of seats held by women members in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats; it is derived by dividing the total number of seats occupied by women by the total number of seats in parliament.
Statistical concept(s): This indicator assesses the extent to which women are provided with equal opportunities to participate in parliamentary decision-making processes. It applies to the sole chamber of unicameral national parliaments and the lower chamber in the case of bicameral systems. The upper chamber in bicameral parliaments is not included in this measure. Parliamentary seats are typically occupied by individuals who are victorious in general elections, though they can also be acquired through nomination, appointment, indirect election, member rotation, or by-elections. The term 'seats' refers to the total count of parliamentary mandates or the total number of parliament members.","Despite much progress in recent decades, gender inequalities remain pervasive in many dimensions of life - worldwide. But while disparities exist throughout the world, they are most prevalent in developing countries. Gender inequalities in the allocation of such resources as education, health care, nutrition, and political voice matter because of the strong association with well-being, productivity, and economic growth. These patterns of inequality begin at an early age, with boys routinely receiving a larger share of education and health spending than do girls, for example.













Women are vastly underrepresented in decision-making positions in government, although there is some evidence of recent improvement. Gender parity in parliamentary representation is still far from being realized. Without representation at this level, it is difficult for women to influence policy.













A strong and vibrant democracy is possible only when parliament is fully inclusive of the population it represents. Parliaments cannot consider themselves inclusive, however, until they can boast the full participation of women. This is not just about women's right to equality and their contribution to the conduct of public affairs, but also about using women's resources and potential to determine political and development priorities that benefit societies and the global community.",,,,CC BY-4.0
SG.TIM.UWRK.FE,Gender,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",,"The average time women spend on household provision of services for own consumption. Data are expressed as a proportion of time in a day. Domestic and care work includes food preparation, dishwashing, cleaning and upkeep of a dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household members, among others.",% of a 24 hour day,Annual,,This is the Sustainable Development Goal indicator 5.4.1[https://unstats.un.org/sdgs/metadata/].,,Data may not be strictly comparable across countries as the methods and sampling involved for data collection may differ.,,,"National statistical offices or national database and publications, United Nations (UN), uri: https://unstats.un.org/sdgs/dataportal/database, note: Indicator code from the original source: SH_FPL_INFM; 	Indicator name from the original source: Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%), publisher: UN Statistics Division, type: Excel","Methodology: The proportion of time allocated to unpaid domestic and caregiving tasks is determined by dividing the daily average time spent on such activities by the total number of hours in a day (24 hours). The data for this indicator are presented as a daily time proportion. For instance, if women ages 15+ dedicate 10% of their day to unpaid domestic and caregiving work, while men of the same age bracket allocate 1%, this translates to women spending an average of 2.4 hours (or 2 hours and 24 minutes) and men spending 14.4 minutes per day on these tasks.






To ascertain the daily average, weekly data are averaged across all seven days.
Statistical concept(s): This indicator measures the average amount of on unpaid domestic and care work as a proportion in a day.  The objective of this indicator is to quantify the time allocation of both women and men to unpaid tasks, thereby recognizing the value of all forms of work, irrespective of monetary compensation. Furthermore, it serves as a gauge for gender equality by revealing the disparity in time spent by women and men on unpaid activities, such as household chores, caregiving, and childcare.











The daily average is derived from a mean calculated over the data collection reference period, which does not imply that individuals allocate the specified amounts of time to these activities every day.","Women often spend disproportionately more time on unpaid domestic and care work than men.  This unequal division of responsibilities is correlated with gender differences in economic opportunities, includign low female labor force participation, occupational sex segregation, and earnings diffrentials.  The need for a gender balance  in the distribution of unpaid domestic and care work has been increasingly recognized and the Sustainable Development Goals address the issue in the target 5.4.",,,,CC BY-4.0
SG.TIM.UWRK.MA,Gender,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",,"The average time men spend on household provision of services for own consumption.  Data are expressed as a proportion of time in a day. Domestic and care work includes food preparation, dishwashing, cleaning and upkeep of a dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household members, among others.",% of a 24 hour day,Annual,,This is the Sustainable Development Goal indicator 5.4.1[https://unstats.un.org/sdgs/metadata/].,,Data may not be strictly comparable across countries as the methods and sampling involved for data collection may differ.,,,"National statistical offices or national database and publications compiled by United Nations Statistics Division., United Nations (UN), uri: https://unstats.un.org/sdgs/dataportal/database, note: Indicator code from the original source: SH_FPL_INFM; 	Indicator name from the original source: Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%), publisher: UN Statistics Division, type: Excel","Methodology: The proportion of time allocated to unpaid domestic and caregiving tasks is determined by dividing the daily average time spent on such activities by the total number of hours in a day (24 hours). The data for this indicator are presented as a daily time proportion. For instance, if women ages 15+ dedicate 10% of their day to unpaid domestic and caregiving work, while men of the same age bracket allocate 1%, this translates to women spending an average of 2.4 hours (or 2 hours and 24 minutes) and men spending 14.4 minutes per day on these tasks.






To ascertain the daily average, weekly data are averaged across all seven days.
Statistical concept(s): This indicator measures the average amount of on unpaid domestic and care work as a proportion in a day.  The objective of this indicator is to quantify the time allocation of both women and men to unpaid tasks, thereby recognizing the value of all forms of work, irrespective of monetary compensation. Furthermore, it serves as a gauge for gender equality by revealing the disparity in time spent by women and men on unpaid activities, such as household chores, caregiving, and childcare.











The daily average is derived from a mean calculated over the data collection reference period, which does not imply that individuals allocate the specified amounts of time to these activities every day.","Women often spend disproportionately more time on unpaid domestic and care work than men.  This unequal division of responsibilities is correlated with gender differences in economic opportunities, includign low female labor force participation, occupational sex segregation, and earnings diffrentials.  The need for a gender balance  in the distribution of unpaid domestic and care work has been increasingly recognized and the Sustainable Development Goals address the issue in the target 5.4.",,,,CC BY-4.0
SG.VAW.1549.ZS,Gender,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),,"Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women age 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.",% of ever-partnered women and girls ages 15 years and older,Annual,,This is the Sustainable Development Goal indicator 5.2.1[https://unstats.un.org/sdgs/metadata/].,Weighted average,"Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.",,,"United Nations (UN), uri: https://unstats.un.org/sdgs/dataportal/database, note: Indicator code from the original source: VC_VAW_MARR; 	Indicator name from the original source: Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)








, publisher: UN Statistics Division, type: API;
Global Health Observatory, World Health Organization (WHO), uri: https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-ever-partnered-women-and-girls-aged-15-49-years-subjected-to-physical-and-or-sexual-violence-by-a-current-or-former-intimate-partner-in-the-previous-12-months, publisher: WHO","Methodology: The indicator is calculated by the number of ever-partnered women (ages 15 and above) subjected to any act of physical violece, sexual violence or both divided by a current or former intimate partner in the previous 12 months divided by the number of ever-partnered women (aged 15 years and above) in the population multiplied by 100.  The main source of data are from the Demographic and Health Surveys (DHS), specialized surveys on violence against women and crime victimasation surveys.
Statistical concept(s): Physical violence is defined as acts that can physically hurt the victim, including, but not limited to: being slapped or having something thrown at you that could hurt you; being pushed or shoved; being hit with a fist or something else that could hurt; being kicked, dragged or beaten up; being choked or burnt on purpose; and/or being threatened with or actually having a gun, knife or other weapon used on you. Sexual violence is operationalized as: being physically forced to have sexual intercourse when you do not want to; having sexual intercourse out of fear for what your partner might do or through coercion; and/or being forced to do something sexual that you consider humiliating or degrading (Reference: WHO, Violence Against Women Prevalence Estimates, 2018. https://www.who.int/publications/i/item/9789240022256).  











Current intimate partner includes current or most recent husbands of ever-married women (and men they live with as if married) and the current intimate partner of never-married women. Former husband/intimate partner is a husband (or partner she is living with as if married) other than the current husband (or man she is living with as if married) for currently married women, any intimate partner for never-married women who do not currently have an intimate partner, and a husband/partner other than the most recent husband/partner for divorced, separated, or widowed women.","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.",,,,CC BY-4.0
SG.VAW.ARGU.ZS,Gender,Women who believe a husband is justified in beating his wife when she argues with him (%),,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him.,% of women ages 15-49,Annual,,"Supportive attitudes should not automatically be seen as approval of wife-beating, nor do they mean that a woman or girl will inevitably become a victim of domestic violence. Instead, these attitudes should be viewed as reflecting the level of social acceptance of such practices. This acceptance can be shaped by the belief that women and girls hold a lower status in society compared to men and boys, or by the expectation that they should adhere to specific gender roles.",,,,,"Demographic and Health Surveys (DHS), DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: WE_AWBT_W_ARG; 	Indicator name from the original source: Wife beating justified if she argues with him [Women], publisher: The DHS Program (ICF), type: API, date accessed: 2023-02-10","Methodology: This indicator is calculated by dividing the number of women ages 15-49 who agree that a husband is justified in hitting or beating his wife when she burns the food by total number of women ages 15-49 who have been interviewed.  The data for this indicator are sourced from Demographic and Health Surveys (DHS).
Statistical concept(s): This indicator is one of the sets of attitude questions concerning justifications of a husband beating his wife in Demographic and Health Surveys. These questions aim to understand women's perspectives on gender equality.  Acceptance of wife beating indicates an underlying acceptance of a lower status for women.","The collection of this data is crucial for assessing the degree to which women possess the empowerment necessary to exert control over their own actions, bodies, and sexual autonomy. Societal attitudes that condone the physical abuse of wives by their husbands reflect a diminished status of women and contribute to their disempowerment within domestic and intimate relationships. The empowerment and autonomy of women are vital to achieving sustainable development goals, with the elimination of violence against women being a specific target outlined in SDG 5.2. Furthermore, a woman's autonomy can affect the health of household members and the educational attainment of children.",,,,CC BY-4.0
SG.VAW.BURN.ZS,Gender,Women who believe a husband is justified in beating his wife when she burns the food (%),,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she burns the food.,% of women ages 15-49,Annual,,"Supportive attitudes should not automatically be seen as approval of wife-beating, nor do they mean that a woman or girl will inevitably become a victim of domestic violence. Instead, these attitudes should be viewed as reflecting the level of social acceptance of such practices. This acceptance can be shaped by the belief that women and girls hold a lower status in society compared to men and boys, or by the expectation that they should adhere to specific gender roles.",,,,,"Demographic and Health Surveys (DHS), DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: WE_AWBT_W_BFD; 	Indicator name from the original source: Wife beating justified if she burns the food [Women], publisher: The DHS Program (ICF), type: API, date accessed: 2023-02-10","Methodology: This indicator is calculated by dividing the number of women ages 15-49 who agree that a husband is justified in hitting or beating his wife when she burns the food by total number of women ages 15-49 who have been interviewed.  The data for this indicator are sourced from Demographic and Health Surveys (DHS).
Statistical concept(s): This indicator is one of the sets of attitude questions concerning justifications of a husband beating his wife in Demographic and Health Surveys. These questions aim to understand women's perspectives on gender equality.  Acceptance of wife beating indicates an underlying acceptance of a lower status for women.","The collection of this data is crucial for assessing the degree to which women possess the empowerment necessary to exert control over their own actions, bodies, and sexual autonomy. Societal attitudes that condone the physical abuse of wives by their husbands reflect a diminished status of women and contribute to their disempowerment within domestic and intimate relationships. The empowerment and autonomy of women are vital to achieving sustainable development goals, with the elimination of violence against women being a specific target outlined in SDG 5.2. Furthermore, a woman's autonomy can affect the health of household members and the educational attainment of children.",,,,CC BY-4.0
SG.VAW.GOES.ZS,Gender,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she goes out without telling him.,% of women ages 15-49,Annual,,"Supportive attitudes should not automatically be seen as approval of wife-beating, nor do they mean that a woman or girl will inevitably become a victim of domestic violence. Instead, these attitudes should be viewed as reflecting the level of social acceptance of such practices. This acceptance can be shaped by the belief that women and girls hold a lower status in society compared to men and boys, or by the expectation that they should adhere to specific gender roles.",,,,,"Demographic and Health Surveys (DHS), DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: WE_AWBT_W_OUT; 	Indicator name from the original source: Wife beating justified if she goes out without telling him [Women], publisher: The DHS Program (ICF), type: API, date accessed: 2023-02-10","Methodology: This indicator is calculated by dividing the number of women ages 15-49 who agree that a husband is justified in hitting or beating his wife when she burns the food by total number of women ages 15-49 who have been interviewed.  The data for this indicator are sourced from Demographic and Health Surveys (DHS).
Statistical concept(s): This indicator is one of the sets of attitude questions concerning justifications of a husband beating his wife in Demographic and Health Surveys. These questions aim to understand women's perspectives on gender equality.  Acceptance of wife beating indicates an underlying acceptance of a lower status for women.","The collection of this data is crucial for assessing the degree to which women possess the empowerment necessary to exert control over their own actions, bodies, and sexual autonomy. Societal attitudes that condone the physical abuse of wives by their husbands reflect a diminished status of women and contribute to their disempowerment within domestic and intimate relationships. The empowerment and autonomy of women are vital to achieving sustainable development goals, with the elimination of violence against women being a specific target outlined in SDG 5.2. Furthermore, a woman's autonomy can affect the health of household members and the educational attainment of children.",,,,CC BY-4.0
SG.VAW.NEGL.ZS,Gender,Women who believe a husband is justified in beating his wife when she neglects the children (%),,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she neglects the children.,% of women ages 15-49,Annual,,"Supportive attitudes should not automatically be seen as approval of wife-beating, nor do they mean that a woman or girl will inevitably become a victim of domestic violence. Instead, these attitudes should be viewed as reflecting the level of social acceptance of such practices. This acceptance can be shaped by the belief that women and girls hold a lower status in society compared to men and boys, or by the expectation that they should adhere to specific gender roles.",,,,,"Demographic and Health Surveys (DHS), DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: WE_AWBT_W_NEG; 	Indicator name from the original source: Wife beating justified if she neglects the children [Women], publisher: The DHS Program (ICF), type: API, date accessed: 2023-02-10","Methodology: This indicator is calculated by dividing the number of women ages 15-49 who agree that a husband is justified in hitting or beating his wife when she burns the food by total number of women ages 15-49 who have been interviewed.  The data for this indicator are sourced from Demographic and Health Surveys (DHS).
Statistical concept(s): This indicator is one of the sets of attitude questions concerning justifications of a husband beating his wife in Demographic and Health Surveys. These questions aim to understand women's perspectives on gender equality.  Acceptance of wife beating indicates an underlying acceptance of a lower status for women.","The collection of this data is crucial for assessing the degree to which women possess the empowerment necessary to exert control over their own actions, bodies, and sexual autonomy. Societal attitudes that condone the physical abuse of wives by their husbands reflect a diminished status of women and contribute to their disempowerment within domestic and intimate relationships. The empowerment and autonomy of women are vital to achieving sustainable development goals, with the elimination of violence against women being a specific target outlined in SDG 5.2. Furthermore, a woman's autonomy can affect the health of household members and the educational attainment of children.",,,,CC BY-4.0
