Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
SH.ALC.PCAP.FE.LI,Health,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",,"Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.",,Annual,,This is a sex-disaggregated indicator for Sustainable Development Goal 3.5.2 [https://unstats.un.org/sdgs/metadata/].,Weighted average,,,,"Global Health Observatory Data Repository, World Health Organization (WHO), uri: https://www.who.int/data/gho",Methodology: The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",,,,CC BY-4.0
SH.ALC.PCAP.LI,Health,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,"Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.",,Annual,,This is the Sustainable Development Goal indicator 3.5.2[https://unstats.un.org/sdgs/metadata/].,Weighted average,,,,"Global Health Observatory Data Repository, World Health Organization (WHO), uri: https://www.who.int/data/gho",Methodology: The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",,,,CC BY-4.0
SH.ALC.PCAP.MA.LI,Health,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",,"Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.",,Annual,,This is a sex-disaggregated indicator for Sustainable Development Goal 3.5.2 [https://unstats.un.org/sdgs/metadata/].,Weighted average,,,,"Global Health Observatory Data Repository, World Health Organization (WHO), uri: https://www.who.int/data/gho",Methodology: The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",,,,CC BY-4.0
SH.ANM.ALLW.ZS,Health,Prevalence of anemia among women of reproductive age (% of women ages 15-49),,Prevalence of anemia among women of reproductive age refers to the combined prevalence of both non-pregnant with haemoglobin levels below 12 g/dL and pregnant women with haemoglobin levels below 11 g/dL.,Percent of women ages 15-49,Annual,,,Weighted average,,,,"Global Health Observatory Data Repository/World Health Statistics, World Health Organization (WHO)","Methodology: Data on the prevalence of anaemia and/or mean haemoglobin levels in women of reproductive age, collected between 1995 and 2019, were obtained from 408 population-representative data sources across 124 countries worldwide. A Bayesian hierarchical mixture model was employed to estimate haemoglobin distributions, systematically addressing missing data, non-linear time trends, and the representativeness of data sources. Full details on data sources are available on the GHO Anaemia page. Detailed information on the statistical methods can be found in the following reference: Finucane MM, Paciorek CJ, Stevens GA EM. Semiparametric Bayesian density estimation with disparate data sources: a meta-analysis of global childhood undernutrition. J Am Stat Assoc. 2015;110(511):889–901.",,,,,CC BY-4.0
SH.ANM.CHLD.ZS,Health,Prevalence of anemia among children (% of children ages 6-59 months),,"Prevalence of anemia, children ages 6-59 months, is the percentage of children ages 6-59 months whose hemoglobin level is less than 110 grams per liter, adjusted for altitude.",,Annual,,"Anemia is defined as a low blood haemoglobin concentration. Anaemia may result from a number of causes, with the most significant contributor being iron deficiency. Anaemia resulting from iron deficiency adversely affects cognitive and motor development and causes fatigue and low productivity. Children under age 5 and pregnant women have the highest risk for anemia.",Weighted average,"Data for blood haemoglobin concentrations are still limited, compared to other nutritional indicators such as hild anthropometry. As a result, the estimates may not capture the full variation across countries and regions.",,,"Global Health Observatory Data Repository/World Health Statistics, World Health Organization (WHO)","Methodology: Data on anemia are compiled by the WHO, and a statistical model was used to estimate trends. WHO’s hemoglobin threshold concentration in blood was used.",,,,,CC BY-4.0
SH.ANM.NPRG.ZS,Health,Prevalence of anemia among non-pregnant women (% of women ages 15-49),,"Prevalence of anemia, non-pregnant women, is the percentage of non-pregnant women whose hemoglobin level is less than 120 grams per liter at sea level.",Percent of women ages 15-49,Annual,,,Weighted average,,,,"Global Health Observatory Data Repository/World Health Statistics, World Health Organization (WHO)","Methodology: Data on the prevalence of anaemia and/or mean haemoglobin levels in women of reproductive age, collected between 1995 and 2019, were obtained from 408 population-representative data sources across 124 countries worldwide. A Bayesian hierarchical mixture model was employed to estimate haemoglobin distributions, systematically addressing missing data, non-linear time trends, and the representativeness of data sources. Full details on data sources are available on the GHO Anaemia page. Detailed information on the statistical methods can be found in the following reference: Finucane MM, Paciorek CJ, Stevens GA EM. Semiparametric Bayesian density estimation with disparate data sources: a meta-analysis of global childhood undernutrition. J Am Stat Assoc. 2015;110(511):889–901.",,,,,CC BY-4.0
SH.CON.1524.FE.ZS,Health,"Condom use, population ages 15-24, female (% of females ages 15-24)",,"Condom use, female is the percentage of the female population ages 15-24 who used a condom at last intercourse in the last 12 months.",Percentage,Annual,,,Weighted average,,,,"Demographic and Health Surveys;
UNAIDS, Joint United Nations Programme on HIV/AIDS (UNAIDS)","Methodology: Household Surveys
Statistical concept(s): When used the right way every time, condoms are highly effective in preventing HIV and other sexually transmitted diseases (STDs).","According to UNAIDS estimates, HIV incidence has fallen in many of the most severely affected countries because adolescents and young people are adopting safer sexual practices and more young people living with HIV are accessing treatment to lower their viral load. When used the right way every time, condoms are highly effective in preventing HIV and other sexually transmitted diseases (STDs).",,,,CC BY-4.0
SH.CON.1524.MA.ZS,Health,"Condom use, population ages 15-24, male (% of males ages 15-24)",,"Condom use, male is the percentage of the male population ages 15-24 who used a condom at last intercourse in the last 12 months.",Percentage,Annual,,,Weighted average,,,,"Demographic and Health Surveys;
UNAIDS, Joint United Nations Programme on HIV/AIDS (UNAIDS)","Methodology: Household Surveys
Statistical concept(s): When used the right way every time, condoms are highly effective in preventing HIV and other sexually transmitted diseases (STDs).","According to UNAIDS estimates, HIV incidence has fallen in many of the most severely affected countries because adolescents and young people are adopting safer sexual practices and more young people living with HIV are accessing treatment to lower their viral load. When used the right way every time, condoms are highly effective in preventing HIV and other sexually transmitted diseases (STDs).",,,,CC BY-4.0
SH.DTH.0509,Health,Number of deaths ages 5-9 years,,Number of deaths of children ages 5-9 years,Unit,Annual,,"Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation.",Sum,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",,,"UN Inter-agency Group for Child Mortality Estimation, UN Children's Fund (UNICEF), uri: www.childmortality.org;
World Health Organization (WHO), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
World Bank (WB), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
United Nations (UN), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation, publisher: UN Population Division","Methodology: Estimates of neonatal, infant, and child mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparisons across countries and over time difficult. To make neonatal, infant, and child mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the World Bank, the United Nations Population Division, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific regression model of mortality rates against their reference dates.
Statistical concept(s): The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.","Mortality for different age groups (infants, children, adolescents, youth and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.",,,,CC BY-4.0
SH.DTH.1014,Health,Number of deaths ages 10-14 years,,Number of deaths of adolescents ages 10-14 years,Unit,Annual,,"Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation.",Sum,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",,,"UN Inter-agency Group for Child Mortality Estimation, UN Children's Fund (UNICEF), uri: www.childmortality.org;
World Health Organization (WHO), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
World Bank (WB), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
United Nations (UN), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation, publisher: UN Population Division","Methodology: Estimates of neonatal, infant, and child mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparisons across countries and over time difficult. To make neonatal, infant, and child mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the World Bank, the United Nations Population Division, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific regression model of mortality rates against their reference dates.
Statistical concept(s): The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.","Mortality for different age groups (infants, children, adolescents, youth and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.",,,,CC BY-4.0
