Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
BX.GSR.CCIS.CD,Infrastructure,"ICT service exports (BoP, current US$)",,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions). Data are in current U.S. dollars.,,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Sum,,,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.
The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual.",,,,,CC BY-4.0
BX.GSR.CCIS.ZS,Infrastructure,"ICT service exports (% of service exports, BoP)",,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions).,,Annual,,Note: Data are based on the sixth edition of the IMF's Balance of Payments Manual (BPM6) and are only available from 2005 onwards.,Weighted average,"Discrepancies may arise in the balance of payments because there is no single source for balance of payments data and therefore no way to ensure that the data are fully consistent. Sources include customs data, monetary accounts of the banking system, external debt records, information provided by enterprises, surveys to estimate service transactions, and foreign exchange records. Differences in collection methods - such as in timing, definitions of residence and ownership, and the exchange rate used to value transactions - contribute to net errors and omissions. In addition, smuggling and other illegal or quasi-legal transactions may be unrecorded or misrecorded.",,,"Balance of Payments Statistics Yearbook and data files, International Monetary Fund (IMF)","Methodology: The balance of payments (BoP) is a double-entry accounting system that shows all flows of goods and services into and out of an economy; all transfers that are the counterpart of real resources or financial claims provided to or by the rest of the world without a quid pro quo, such as donations and grants; and all changes in residents' claims on and liabilities to nonresidents that arise from economic transactions. All transactions are recorded twice - once as a credit and once as a debit. In principle the net balance should be zero, but in practice the accounts often do not balance, requiring inclusion of a balancing item, net errors and omissions.

The concepts and definitions underlying the data are based on the sixth edition of the International Monetary Fund's (IMF) Balance of Payments Manual.","The balance of payments records an economy's transactions with the rest of the world. Balance of payments accounts are divided into two groups: the current account, which records transactions in goods, services, income, and current transfers, and the capital and financial account, which records capital transfers, acquisition or disposal of non-produced, nonfinancial assets, and transactions in financial assets and liabilities.",,,,CC BY-4.0
GB.XPD.RSDV.GD.ZS,Infrastructure,Research and development expenditure (% of GDP),,"Gross domestic expenditures on research and development (R&D), expressed as a percent of GDP. They include both capital and current expenditures in the four main sectors: Business enterprise, Government, Higher education and Private non-profit. R&D covers basic research, applied research, and experimental development.",% of GDP,Annual,,,Weighted average,"Estimates of the resources allocated to R&D are affected by national characteristics such as the periodicity and coverage of national R&D surveys across institutional sectors and industries; and the use of different sampling and estimation methods. R&D typically involves a few large performers, hence R&D surveys use various techniques to maintain up-to-date registers of known performers, while attempting to identify new or occasional performers. 







R&D totals from SNA accounts may differ from these estimates, due in part to the different treatments of software R&D in the totals.",,,"Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources/bulk, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2025-03-26, date published: 2025-02","Methodology: This indicator is calculated by taking the number of researchers in a specified year, dividing it by the total population—referencing the mid-year population figure—and then multiplying the result by one million.









The calculation of this indicator is performed by dividing the total domestic intramural expenditure on research and development (R&D) for a specified year by the gross domestic product (GDP)—which is the aggregate of gross value added by all resident producers in the economy, inclusive of distributive trades and transport, along with product taxes and less any subsidies not included in product values—and then multiplying the quotient by 100.  









Data are collected through national research and experimental development (R&D) surveys, either by the national statistical office or a line ministry (such as the Ministry for Science and Technology).  The data compilers are the UNESCO Institute for Statistics (UIS), Organisation for Economic Co-operation and Development (OECD), Eurostat (Statistical Office of the European Union) and the Network on Science and Technology Indicators – Ibero-American and Inter-American (RICYT), African Science, Technology and Innovation (STI) Indicators Initiative (ASTII) of the African Union Development Agency-NEPAD (AUDA-NEPAD).
Statistical concept(s): The gross domestic expenditure on R&D indicator consists of the total expenditure (current and capital) on R&D by all resident companies, research institutes, university and government laboratories, etc. It excludes R&D expenditures financed by domestic firms but performed abroad. 









The OECD's Frascati Manual defines research and experimental development as ""creative work undertaken on a systemic basis in order to increase the stock of knowledge, including knowledge of man, culture and society, and the use of this stock of knowledge to devise new applications."" R&D covers basic research, applied research, and experimental development.









(1) Basic research - Basic research is experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundation of phenomena and observable facts, without any particular application or use in view









(2) Applied research - Applied research is also original investigation undertaken in order to acquire new knowledge; it is, however, directed primarily towards a specific practical aim or objective.









(3) Experimental development - Experimental development is systematic work, drawing on existing knowledge gained from research and/or practical experience, which is directed to producing new materials, products or devices, to installing new processes, systems and services, or to improving substantially those already produced or installed.









The fields of science and technology used to classify R&D according to the Revised Fields of Science and Technology Classification are:




1. Natural sciences;




2. Engineering and technology;




3. Medical and health sciences;




4. Agricultural sciences;




5. Social sciences;




6. Humanities and the arts.









The data are obtained through statistical surveys which are regularly conducted at national level covering R&D performing entities in the private and public sectors.","Science, technology, and innovation constitute pivotal elements for achieving sustainable growth. Sustainable Development Goal (SDG) target 9.5 is dedicated to the enhancement of scientific research and the advancement of technological capabilities within industrial sectors, with a particular focus on low- and middle-income countries. Furthermore, this target encompasses the objective of augmenting the cadre of research and development personnel, as well as escalating expenditures in research.",,,,CC BY-4.0
IP.IDS.NRCT,Infrastructure,"Industrial design applications, nonresident, by count",,"Industrial design applications are applications to register an industrial design with a national or regional Intellectual Property (IP) offices and designations received by relevant offices through the Hague System. Non-resident application refers to an application filed with the IP office of or acting on behalf of a state or jurisdiction in which the first-named applicant in the application is not domiciled. Design count is used to render application data for industrial applications across offices comparable, as some offices follow a single-class/single-design filing system while other have a multiple class/design filing system.",Number,Annual,,,Sum,"Data are based on information supplied to World Intellectual Property Organization (WIPO) by IP offices in annual surveys, supplemented by data in national IP office reports. Data may be missing for some offices or periods.",,,"Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Information about the World Intellectual Property Organization (WIPO) data collection can be accessed on the WIPO website: https://www.wipo.int/en/web/ip-statistics/about

Statistical concept(s): Industrial designs are applied to a wide variety of industrial products and handicrafts. They refer to the ornamental or aesthetic aspects of a useful article, including compositions of lines or colors or any three-dimensional forms that give a special appearance to a product or handicraft. The holder of a registered industrial design has exclusive rights against unauthorized copying or imitation of the design by third parties. Industrial design registrations are valid for a limited period. The term of protection is usually 15 years in most jurisdictions. However, differences in legislation exist, notably in China (which provides for a 10-year term from the application date).

Non-resident application refers to an application filed with the IP office of or acting on behalf of a state or jurisdiction in which the first-named applicant in the application is not domiciled. 

Design count: The number of designs contained in an industrial design application or registration. Under the Hague System for the International Registration of Industrial Designs, it is possible for an applicant to obtain protection for up to 100 industrial designs for products belonging to one and the same class by filing a single application. Some national or regional IP offices allow applications to contain more than one design for the same product or within the same class, while others allow only one design per application. In order to capture the differences in application and registration numbers across offices, it is useful to compare their respective application and registration design counts.","The progress and well-being of humanity depend on our capacity to come up with new ideas and creations. Technological progress requires the development and application of new inventions, while a vibrant culture will constantly seek new ways to express itself. 

Intellectual property rights are also vital. Inventors, artists, scientists and businesses put a lot of time, money, energy and thought into developing their innovations and creations. To encourage them to do that, they need the chance to make a fair return on their investment. That means giving them rights to protect their intellectual property. Essentially, intellectual property rights such as copyright, patents and trademarks can be viewed like any other property right. They allow the creators or owners of IP to benefit from their work or from their investment in a creation by giving them control over how their property is used. 

IP rights have long been recognized within various legal systems. For example, patents to protect inventions were granted in Venice as far back as the fifteenth century. Modern initiatives to protect IP through international law started with the Paris Convention for the Protection of Industrial Property (1883) and the Berne Convention for the Protection of Literary and Artistic Works (1886). These days, there are more than 25 international treaties on IP administered by WIPO. IP rights are also safeguarded by Article 27 of the Universal Declaration of Human Rights.

Creativity and inventiveness are vital. They spur economic growth, create new jobs and industries, and enhance the quality and enjoyment of life. The intellectual property system needs to balance the rights and interests of different groups: of creators and consumers; of businesses and their competitors; of high- and low-income countries. An efficient and fair IP system benefits everyone – including ordinary users and consumers.

Some examples: (a) The multibillion-dollar film, recording, publishing and software industries – which bring pleasure to millions of people worldwide – would not thrive without copyright protection.
(b) The patent system rewards researchers and inventors while also ensuring that they share their knowledge by making patent applications publicly available, which helps stimulate more innovation. (c) Trademark protection discourages counterfeiting, so businesses can compete on a level playing field and users can be confident they are buying the genuine article.

(source: https://doi.org/10.34667/tind.42176)",,,,CC BY-4.0
IP.IDS.RSCT,Infrastructure,"Industrial design applications, resident, by count",,"Industrial design applications are applications to register an industrial design with a national or regional Intellectual Property (IP) offices and designations received by relevant offices through the Hague System.  A resident application refers to an application filed with the IP office of, or acting for, the state or jurisdiction in which the first named applicant in the application is resident. Design count is used to render application data for industrial applications across offices comparable, as some offices follow a single-class/single-design filing system while other have a multiple class/design filing system.",Number,Annual,,,Sum,"Data are based on information supplied to World Intellectual Property Organization (WIPO) by IP offices in annual surveys, supplemented by data in national IP office reports. Data may be missing for some offices or periods.",,,"Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Information about the World Intellectual Property Organization (WIPO) data collection can be accessed on the WIPO website: https://www.wipo.int/en/web/ip-statistics/about
Statistical concept(s): Industrial designs are applied to a wide variety of industrial products and handicrafts. They refer to the ornamental or aesthetic aspects of a useful article, including compositions of lines or colors or any three-dimensional forms that give a special appearance to a product or handicraft. The holder of a registered industrial design has exclusive rights against unauthorized copying or imitation of the design by third parties. Industrial design registrations are valid for a limited period. The term of protection is usually 15 years in most jurisdictions. However, differences in legislation exist, notably in China (which provides for a 10-year term from the application date).

For statistical purposes, a resident application refers to an application filed with the IP office of, or acting for, the state or jurisdiction in which the first named applicant in the application is resident. For example, an application filed with the Japan Patent Office (JPO) by a resident of Japan is considered a resident application from the perspective of the JPO. Resident applications are sometimes referred to as “domestic applications.” A resident grant/registration is an IP right issued on the basis of a resident application.

Design count: The number of designs contained in an industrial design application or registration. Under the Hague System for the International Registration of Industrial Designs, it is possible for an applicant to obtain protection for up to 100 industrial designs for products belonging to one and the same class by filing a single application. Some national or regional IP offices allow applications to contain more than one design for the same product or within the same class, while others allow only one design per application. In order to capture the differences in application and registration numbers across offices, it is useful to compare their respective application and registration design counts.","The progress and well-being of humanity depend on our capacity to come up with new ideas and creations. Technological progress requires the development and application of new inventions, while a vibrant culture will constantly seek new ways to express itself. 

Intellectual property rights are also vital. Inventors, artists, scientists and businesses put a lot of time, money, energy and thought into developing their innovations and creations. To encourage them to do that, they need the chance to make a fair return on their investment. That means giving them rights to protect their intellectual property. Essentially, intellectual property rights such as copyright, patents and trademarks can be viewed like any other property right. They allow the creators or owners of IP to benefit from their work or from their investment in a creation by giving them control over how their property is used. 

IP rights have long been recognized within various legal systems. For example, patents to protect inventions were granted in Venice as far back as the fifteenth century. Modern initiatives to protect IP through international law started with the Paris Convention for the Protection of Industrial Property (1883) and the Berne Convention for the Protection of Literary and Artistic Works (1886). These days, there are more than 25 international treaties on IP administered by WIPO. IP rights are also safeguarded by Article 27 of the Universal Declaration of Human Rights.

Creativity and inventiveness are vital. They spur economic growth, create new jobs and industries, and enhance the quality and enjoyment of life. The intellectual property system needs to balance the rights and interests of different groups: of creators and consumers; of businesses and their competitors; of high- and low-income countries. An efficient and fair IP system benefits everyone – including ordinary users and consumers.

Some examples: (a) The multibillion-dollar film, recording, publishing and software industries – which bring pleasure to millions of people worldwide – would not thrive without copyright protection.
(b) The patent system rewards researchers and inventors while also ensuring that they share their knowledge by making patent applications publicly available, which helps stimulate more innovation. (c) Trademark protection discourages counterfeiting, so businesses can compete on a level playing field and users can be confident they are buying the genuine article.

(source: https://doi.org/10.34667/tind.42176)",,,,CC BY-4.0
IP.JRN.ARTC.SC,Infrastructure,Scientific and technical journal articles,,"Article counts refer to publications from a selection of conference proceedings and peer-reviewed journals from Scopus in science and engineering fields, according to the National Center for Science and Engineering Statistics Taxonomy of Disciplines.",Fractional count,Annual,,,Gap-filled total,"Because the bibliometric database is constantly updated, the National Center for Science and Engineering Statistics (NCSES) does not recommend comparing bibliometric data across different editions of the Science and Engineering Indicators publication. For each edition of Indicators, NCSES uses a fixed snapshot of the database. This means that although trends are comparable, the exact number of articles, citations, and other data will vary across editions. For more information about comparing fixed versus dynamic journal data sets, see Schneider et al. (2019). Data before 2003 is sourced from earlier editions of the Science and Engineering Indicators report and may not be strictly comparable with 2003-2022 data.

The Scopus database is constructed from articles and conference proceedings with an English-language title and abstract; therefore, the database contains an unmeasurable bias because not all science and engineering (S&E) articles and conference proceedings meet the English language requirement (Elsevier 2020). (Source: https://ncses.nsf.gov/pubs/nsb202333/technical-appendix)",,,"Science and Engineering Indicators, National Science Foundation (NSF), uri: https://ncses.nsf.gov/indicators","Methodology: The Science and Engineering Indicators 2024 report “Publications Output: U.S. Trends and International Comparisons” uses a large database of publication records as a source of bibliometric data. Bibliometric data include each article’s title, author(s), authors’ institution(s), references, journal title, unique article-identifying information (journal volume, issue, and page numbers or digital object identifier), and year or date of publication. The PBS report uses Scopus, a bibliometric database owned by Elsevier and containing scientific literature with English titles and abstracts, to examine national and global scientific publication–related activity.? 

Article counts refer to publications from a selection of conference proceedings and peer-reviewed journals in science and engineering fields from Scopus, according to the National Center for Science and Engineering Statistics Taxonomy of Disciplines:  agricultural sciences, astronomy and astrophysics, biological and biomedical sciences, chemistry, computer and information sciences; engineering; geosciences, atmospheric sciences, and ocean sciences; health sciences; material sciences; mathematics and statistics; natural resources and conservation; physics; psychology; social sciences.



Statistical concept(s): The number of journal articles is presented using fractional counting: a method of counting science and engineering publications in which credit for coauthored publications is divided among the collaborating institutions or regions, countries, or economies based on the proportion of their participating authors. Fractional counting allocates the publication count based on the proportion of the coauthors named on the article with institutional addresses from each region, country, or economy. Fractional counting enables the counts to sum up to the number of total articles. (Source: https://ncses.nsf.gov/pubs/nsb202333/glossary)","A scientific journal is a periodical publication intended to further the progress of science, usually by reporting new research. Most journals are highly specialized, although some of the oldest journals such as Nature publish articles and scientific papers across a wide range of scientific fields. Scientific journals contain articles that have been peer reviewed. When a scientific journal describes experiments or calculations, they must supply enough details that an independent researcher could repeat the experiment or calculation to verify the results. Each such journal article becomes part of the permanent scientific record.

Some journals, such as Nature, Science, Proceedings of the National Academy of Sciences of the United States of America (PNAS), and Physical Review Letters, have a reputation of publishing articles that mark a fundamental breakthrough in their respective fields.",,,,CC BY-4.0
IP.PAT.NRES,Infrastructure,"Patent applications, nonresidents",,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.",,Annual,,,Sum,"A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.

Unless otherwise stated, statistics on the number of resident and non-resident patent applications include those filed via the PCT system as PCT national/regional phase entries.",,,"WIPO Patent Report: Statistics on Worldwide Patent Activity, World Intellectual Property Organization (WIPO), note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Non-resident patent applications are from applicants outside the relevant State or region. Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.",,,,CC BY-4.0
IP.PAT.RESD,Infrastructure,"Patent applications, residents",,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.",,Annual,,,Sum,A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.,,,"WIPO Patent Report: Statistics on Worldwide Patent Activity, World Intellectual Property Organization (WIPO), note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Resident patent applications are those for which the first-named applicant or assignee is a resident of the State or region concerned. In the case of regional offices such as the European Patent Office, a resident is an applicant from any of the member States of the regional patent convention.

Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.",,,,CC BY-4.0
IP.TMK.NRCT,Infrastructure,"Trademark applications, nonresident, by count",,"A trademark is a sign capable of distinguishing the goods or services of one enterprise from those of other enterprises. Trademarks are protected by intellectual property rights. Non-resident application refers to an application filed with the IP office of or acting on behalf of a state or jurisdiction in which the first-named applicant in the application is not domiciled. Class count is used to render application data for trademark applications across offices comparable, as some offices follow a single-class/single-design filing system while other have a multiple class/design filing system.",Number,Annual,,,Sum,"Data are based on information supplied to World Intellectual Property Organization (WIPO) by IP offices in annual surveys, supplemented by data in national IP office reports. Data may be missing for some offices or periods.",,,"Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Information about the World Intellectual Property Organization (WIPO) data collection can be accessed on the WIPO website: https://www.wipo.int/en/web/ip-statistics/about
Statistical concept(s): Trademark: A sign used to distinguish the goods or services of one undertaking from those of another. A trademark may consist of words and combinations of words (for instance, names or slogans), logos, figures and images, letters, numbers, sounds, or, in rare instances, smells or moving images, or a combination thereof. The procedures for registering trademarks are governed by the legislation and procedures of national and regional IP offices and WIPO. Trademark rights are limited to the jurisdiction of the IP office that registers the trademark. Trademarks can be registered by filing an application at the relevant national or regional office(s), or by filing an international application through the Madrid System.

Non-resident application refers to an application filed with the IP office of or acting on behalf of a state or jurisdiction in which the first-named applicant in the application is not domiciled.

Class count: The number of classes specified in a trademark application or registration. In the international trademark system, and at certain national and regional offices, an applicant can file a trademark application specifying one or more of the 45 goods and services classes of the Nice Classification. Offices use either a multi-class or a single filing system. For example, the offices of Japan, the Republic of Korea and the United States of America (US), as well as many European IP offices, have multi-class filing systems. On the other hand, the offices of Brazil, Mexico, and South Africa follow a single-class filing system, requiring a separate application for each class in which an applicant seeks trademark protection. To capture the differences in application and registration numbers across offices, it is useful to compare their respective application and registration class counts.","The progress and well-being of humanity depend on our capacity to come up with new ideas and creations. Technological progress requires the development and application of new inventions, while a vibrant culture will constantly seek new ways to express itself. 

Intellectual property rights are also vital. Inventors, artists, scientists and businesses put a lot of time, money, energy and thought into developing their innovations and creations. To encourage them to do that, they need the chance to make a fair return on their investment. That means giving them rights to protect their intellectual property. Essentially, intellectual property rights such as copyright, patents and trademarks can be viewed like any other property right. They allow the creators or owners of IP to benefit from their work or from their investment in a creation by giving them control over how their property is used. 

IP rights have long been recognized within various legal systems. For example, patents to protect inventions were granted in Venice as far back as the fifteenth century. Modern initiatives to protect IP through international law started with the Paris Convention for the Protection of Industrial Property (1883) and the Berne Convention for the Protection of Literary and Artistic Works (1886). These days, there are more than 25 international treaties on IP administered by WIPO. IP rights are also safeguarded by Article 27 of the Universal Declaration of Human Rights.

Creativity and inventiveness are vital. They spur economic growth, create new jobs and industries, and enhance the quality and enjoyment of life. The intellectual property system needs to balance the rights and interests of different groups: of creators and consumers; of businesses and their competitors; of high- and low-income countries. An efficient and fair IP system benefits everyone – including ordinary users and consumers.

Some examples: (a) The multibillion-dollar film, recording, publishing and software industries – which bring pleasure to millions of people worldwide – would not thrive without copyright protection.
(b) The patent system rewards researchers and inventors while also ensuring that they share their knowledge by making patent applications publicly available, which helps stimulate more innovation. (c) Trademark protection discourages counterfeiting, so businesses can compete on a level playing field and users can be confident they are buying the genuine article.

(source: https://doi.org/10.34667/tind.42176)",,,,CC BY-4.0
IP.TMK.RSCT,Infrastructure,"Trademark applications, resident, by count",,"A trademark is a sign capable of distinguishing the goods or services of one enterprise from those of other enterprises. Trademarks are protected by intellectual property rights. A resident application refers to an application filed with the IP office of, or acting for, the state or jurisdiction in which the first named applicant in the application is resident. Class count is used to render application data for trademark applications across offices comparable, as some offices follow a single-class/single-design filing system while other have a multiple class/design filing system.",Number,Annual,,,Sum,"Data are based on information supplied to World Intellectual Property Organization (WIPO) by IP offices in annual surveys, supplemented by data in national IP office reports. Data may be missing for some offices or periods.",,,"Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.","Methodology: Information about the World Intellectual Property Organization (WIPO) data collection can be accessed on the WIPO website: https://www.wipo.int/en/web/ip-statistics/about
Statistical concept(s): Trademark: A sign used to distinguish the goods or services of one undertaking from those of another. A trademark may consist of words and combinations of words (for instance, names or slogans), logos, figures and images, letters, numbers, sounds, or, in rare instances, smells or moving images, or a combination thereof. The procedures for registering trademarks are governed by the legislation and procedures of national and regional IP offices and WIPO. Trademark rights are limited to the jurisdiction of the IP office that registers the trademark. Trademarks can be registered by filing an application at the relevant national or regional office(s), or by filing an international application through the Madrid System.

For statistical purposes, a resident application refers to an application filed with the IP office of, or acting for, the state or jurisdiction in which the first named applicant in the application is resident. For example, an application filed with the Japan Patent Office (JPO) by a resident of Japan is considered a resident application from the perspective of the JPO. Resident applications are sometimes referred to as “domestic applications.” A resident grant/registration is an IP right issued on the basis of a resident application.

Class count: The number of classes specified in a trademark application or registration. In the international trademark system, and at certain national and regional offices, an applicant can file a trademark application specifying one or more of the 45 goods and services classes of the Nice Classification. Offices use either a multi-class or a single filing system. For example, the offices of Japan, the Republic of Korea and the United States of America (US), as well as many European IP offices, have multi-class filing systems. On the other hand, the offices of Brazil, Mexico, and South Africa follow a single-class filing system, requiring a separate application for each class in which an applicant seeks trademark protection. To capture the differences in application and registration numbers across offices, it is useful to compare their respective application and registration class counts.","The progress and well-being of humanity depend on our capacity to come up with new ideas and creations. Technological progress requires the development and application of new inventions, while a vibrant culture will constantly seek new ways to express itself. 

Intellectual property rights are also vital. Inventors, artists, scientists and businesses put a lot of time, money, energy and thought into developing their innovations and creations. To encourage them to do that, they need the chance to make a fair return on their investment. That means giving them rights to protect their intellectual property. Essentially, intellectual property rights such as copyright, patents and trademarks can be viewed like any other property right. They allow the creators or owners of IP to benefit from their work or from their investment in a creation by giving them control over how their property is used. 

IP rights have long been recognized within various legal systems. For example, patents to protect inventions were granted in Venice as far back as the fifteenth century. Modern initiatives to protect IP through international law started with the Paris Convention for the Protection of Industrial Property (1883) and the Berne Convention for the Protection of Literary and Artistic Works (1886). These days, there are more than 25 international treaties on IP administered by WIPO. IP rights are also safeguarded by Article 27 of the Universal Declaration of Human Rights.

Creativity and inventiveness are vital. They spur economic growth, create new jobs and industries, and enhance the quality and enjoyment of life. The intellectual property system needs to balance the rights and interests of different groups: of creators and consumers; of businesses and their competitors; of high- and low-income countries. An efficient and fair IP system benefits everyone – including ordinary users and consumers.

Some examples: (a) The multibillion-dollar film, recording, publishing and software industries – which bring pleasure to millions of people worldwide – would not thrive without copyright protection.
(b) The patent system rewards researchers and inventors while also ensuring that they share their knowledge by making patent applications publicly available, which helps stimulate more innovation. (c) Trademark protection discourages counterfeiting, so businesses can compete on a level playing field and users can be confident they are buying the genuine article.

(source: https://doi.org/10.34667/tind.42176)",,,,CC BY-4.0
