Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
per_allsp.adq_pop_tot,NA,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,"Adequacy of social protection and labor programs (SPL) is measured by the total transfer amount received by the population participating in social insurance, social safety net, and unemployment benefits and active labor market programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_allsp.ben_q1_tot,NA,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,"Benefit incidence of social protection and labor programs (SPL) to poorest quintile shows the percentage of total social protection and labor programs benefits received by the poorest 20% of the population. Social protection and labor programs include social insurance, social safety nets, and unemployment benefits and active labor market programs. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_allsp.cov_pop_tot,NA,Coverage of social protection and labor programs (% of population),,"Coverage of social protection and labor programs (SPL) shows the percentage of population participating in social insurance, social safety net, and unemployment benefits and active labor market programs. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.adq_pop_tot,NA,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,"Adequacy of unemployment benefits and active labor market programs (ALMP) is measured by the total transfer amount received by the population participating in unemployment benefits and active labor market programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Unemployment benefits and active labor market programs include unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.ben_q1_tot,NA,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),,"Benefit incidence of unemployment benefits and active labor market programs (ALMP) to poorest quintile shows the percentage of total unemployment and active labor market programs benefits received by the poorest 20% of the population. Unemployment benefits and active labor market programs include unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.cov_pop_tot,NA,Coverage of unemployment benefits and ALMP (% of population),,"Coverage of unemployment benefits and active labor market programs (ALMP) shows the percentage of population participating in unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.cov_q1_tot,NA,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,"Coverage of unemployment benefits and active labor market programs (ALMP) shows the percentage of population participating in unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.cov_q2_tot,NA,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,"Coverage of unemployment benefits and active labor market programs (ALMP) shows the percentage of population participating in unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.cov_q3_tot,NA,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,"Coverage of unemployment benefits and active labor market programs (ALMP) shows the percentage of population participating in unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
per_lm_alllm.cov_q4_tot,NA,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,"Coverage of unemployment benefits and active labor market programs (ALMP) shows the percentage of population participating in unemployment compensation, severance pay, and early retirement due to labor market reasons, labor market services (intermediation), training (vocational, life skills, and cash for training), job rotation and job sharing, employment incentives and wage subsidies, supported employment and rehabilitation, and employment measures for the disabled. Estimates include both direct and indirect beneficiaries.",% of Total,Annual,,,Weighted average,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, World Bank (WB), uri: datatopics.worldbank.org/aspire/, note: Data are based on national representative household surveys.","Methodology: ASPIRE performance indicators are generally based on national representative household surveys (except for Argentina where the survey is only urban representative) including household income expenditure/budget surveys, Living Standard Measurement Surveys (LSMS), Multiple Indicator Cluster Surveys (MICs), Surveys on Income and Living Conditions (SILCs), and Welfare Monitoring Surveys. Efforts are made to ensure that welfare aggregates (either income or consumption per capita) used to rank households are those harmonized by World Bank regional poverty teams and are up-to-date.
Statistical concept(s): Population Coverage Rate","By harmonizing survey data for 129 countries, ASPIRE aims to meet the increasing demand on comparable and up-to-date SPL data from policymakers, practitioners and other country stakeholders, World Bank staff, other development organizations, researchers and civil society.



In summary, ASPIRE indicators based on household surveys are useful for:



Benchmarking SPL programs and systems performance in terms of overall coverage, benefit incidence, adequacy of benefits, impact on poverty and inequality, benefit-cost ratios as well as programs overlaps and spending. These indicators are provided by program type, by extreme poor, poor and non-poor, by quintiles of (before and after-transfer) welfare distribution, and by urban/rural geographical areas.

Complementing administrative data on SPL programs and systems collected through countries’ Management Information Systems for a broader analysis.

Providing a description of country SPL systems based on nationally representative household surveys (with related caveats) and on information directly collected from beneficiaries.",,,,CC BY-4.0
