Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
IC.BRE.BE.OS,Private Sector & Trade,B-READY: Business Entry: Overall Score,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business.  The Business Entry topic measures the process of registration and start of operations of new limited liability companies (LLCs) across three different dimensions, or pillars. The overall topic score is generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Registered companies benefit from a variety of advantages, including the legal and financial services provided by courts and banks. Their employees enjoy social security protection. Additionally, the economy takes advantage of positive spillovers: where formal entrepreneurship is high, job creation and economic growth also tend to be high. As more businesses formalize, the tax base also expands, enabling the government to spend on productivity-enhancing areas and pursue other social and economic policy goals. However, entrepreneurs often encounter barriers to entry into the formal economy.

There is evidence that higher costs for business start-ups are associated with lower business entry and lower levels of employment and productivity. Cumbersome regulations for business start-ups are associated with high levels of corruption and informality. A simple business start-up process is a positive factor for fostering formal entrepreneurship. Moreover, digital technology and transparency of information can encourage businesses to register and promote private sector growth.",,,,CC BY-4.0
IC.BRE.BE.P1,Private Sector & Trade,B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business.  The Business Entry topic measures the process of registration and start of operations of new limited liability companies (LLCs) across three different dimensions, or pillars. The first pillar assesses the quality of regulations for business entry, covering de jure features of a regulatory framework that are necessary for the adoption of good practices for business start-ups.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Registered companies benefit from a variety of advantages, including the legal and financial services provided by courts and banks. Their employees enjoy social security protection. Additionally, the economy takes advantage of positive spillovers: where formal entrepreneurship is high, job creation and economic growth also tend to be high. As more businesses formalize, the tax base also expands, enabling the government to spend on productivity-enhancing areas and pursue other social and economic policy goals. However, entrepreneurs often encounter barriers to entry into the formal economy.

There is evidence that higher costs for business start-ups are associated with lower business entry and lower levels of employment and productivity. Cumbersome regulations for business start-ups are associated with high levels of corruption and informality. A simple business start-up process is a positive factor for fostering formal entrepreneurship. Moreover, digital technology and transparency of information can encourage businesses to register and promote private sector growth.",,,,CC BY-4.0
IC.BRE.BE.P2,Private Sector & Trade,B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business.  The Business Entry topic measures the process of registration and start of operations of new limited liability companies (LLCs) across three different dimensions, or pillars. The second pillar measures the availability of digital public services and transparency of information for business entry.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Registered companies benefit from a variety of advantages, including the legal and financial services provided by courts and banks. Their employees enjoy social security protection. Additionally, the economy takes advantage of positive spillovers: where formal entrepreneurship is high, job creation and economic growth also tend to be high. As more businesses formalize, the tax base also expands, enabling the government to spend on productivity-enhancing areas and pursue other social and economic policy goals. However, entrepreneurs often encounter barriers to entry into the formal economy.

There is evidence that higher costs for business start-ups are associated with lower business entry and lower levels of employment and productivity. Cumbersome regulations for business start-ups are associated with high levels of corruption and informality. A simple business start-up process is a positive factor for fostering formal entrepreneurship. Moreover, digital technology and transparency of information can encourage businesses to register and promote private sector growth.",,,,CC BY-4.0
IC.BRE.BE.P3,Private Sector & Trade,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business.  The Business Entry topic measures the process of registration and start of operations of new limited liability companies (LLCs) across three different dimensions, or pillars. The third pillar measures the time and cost required to register new domestic and foreign firms.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Registered companies benefit from a variety of advantages, including the legal and financial services provided by courts and banks. Their employees enjoy social security protection. Additionally, the economy takes advantage of positive spillovers: where formal entrepreneurship is high, job creation and economic growth also tend to be high. As more businesses formalize, the tax base also expands, enabling the government to spend on productivity-enhancing areas and pursue other social and economic policy goals. However, entrepreneurs often encounter barriers to entry into the formal economy.

There is evidence that higher costs for business start-ups are associated with lower business entry and lower levels of employment and productivity. Cumbersome regulations for business start-ups are associated with high levels of corruption and informality. A simple business start-up process is a positive factor for fostering formal entrepreneurship. Moreover, digital technology and transparency of information can encourage businesses to register and promote private sector growth.",,,,CC BY-4.0
IC.BRE.BI.OS,Private Sector & Trade,B-READY: Business Insolvency: Overall Score,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Business Insolvency topic measures key features of insolvency systems on a regulatory level. It also assesses the institutional and operational infrastructure associated with insolvency proceedings (judicial services), as well as the operational efficiency of insolvency proceedings across three different dimensions, or pillars. The overall topic score is generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","The efficient and rapid exit of nonviable firms plays an important cyclical role in renewing the economy by removing firms that are not productive and making way for more productive ones. The purpose of an efficient insolvency framework is to ensure that nonviable firms are swiftly liquidated, and viable firms are effectively restructured in a sustainable way. When insolvency regimes do not have the adequate tools to handle the restructuring and liquidation of companies in a timely and effective manner these companies’ economic distress is amplified, jeopardizing the stability of the financial system. In economies where creditor recovery rates are high and resolution times are quicker, restructuring within the formal bankruptcy process fulfills its cyclical role during economic downturns by keeping companies afloat.",,,,CC BY-4.0
IC.BRE.BI.P1,Private Sector & Trade,B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Business Insolvency topic measures key features of insolvency systems on a regulatory level. It also assesses the institutional and operational infrastructure associated with insolvency proceedings (judicial services), as well as the operational efficiency of insolvency proceedings across three different dimensions, or pillars. The first pillar assesses the quality of regulation pertaining to judicial insolvency proceedings—liquidation and reorganization, covering de jure features of a regulatory framework that are necessary for structured debt resolution processes and effective creditor and debtor regimes.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","The efficient and rapid exit of nonviable firms plays an important cyclical role in renewing the economy by removing firms that are not productive and making way for more productive ones. The purpose of an efficient insolvency framework is to ensure that nonviable firms are swiftly liquidated, and viable firms are effectively restructured in a sustainable way. When insolvency regimes do not have the adequate tools to handle the restructuring and liquidation of companies in a timely and effective manner these companies’ economic distress is amplified, jeopardizing the stability of the financial system. In economies where creditor recovery rates are high and resolution times are quicker, restructuring within the formal bankruptcy process fulfills its cyclical role during economic downturns by keeping companies afloat.",,,,CC BY-4.0
IC.BRE.BI.P2,Private Sector & Trade,B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Business Insolvency topic measures key features of insolvency systems on a regulatory level. It also assesses the institutional and operational infrastructure associated with insolvency proceedings (judicial services), as well as the operational efficiency of insolvency proceedings across three different dimensions, or pillars. The second pillar measures the quality of institutional and operational infrastructure for judicial insolvency proceedings, thus assessing the de facto aspects of insolvency resolution mechanisms and the infrastructure required to implement the legal framework on insolvency.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","The efficient and rapid exit of nonviable firms plays an important cyclical role in renewing the economy by removing firms that are not productive and making way for more productive ones. The purpose of an efficient insolvency framework is to ensure that nonviable firms are swiftly liquidated, and viable firms are effectively restructured in a sustainable way. When insolvency regimes do not have the adequate tools to handle the restructuring and liquidation of companies in a timely and effective manner these companies’ economic distress is amplified, jeopardizing the stability of the financial system. In economies where creditor recovery rates are high and resolution times are quicker, restructuring within the formal bankruptcy process fulfills its cyclical role during economic downturns by keeping companies afloat.",,,,CC BY-4.0
IC.BRE.BI.P3,Private Sector & Trade,B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Business Insolvency topic measures key features of insolvency systems on a regulatory level. It also assesses the institutional and operational infrastructure associated with insolvency proceedings (judicial services), as well as the operational efficiency of insolvency proceedings across three different dimensions, or pillars.  The third pillar measures the time and cost required to resolve in-court liquidation and reorganization proceedings.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","The efficient and rapid exit of nonviable firms plays an important cyclical role in renewing the economy by removing firms that are not productive and making way for more productive ones. The purpose of an efficient insolvency framework is to ensure that nonviable firms are swiftly liquidated, and viable firms are effectively restructured in a sustainable way. When insolvency regimes do not have the adequate tools to handle the restructuring and liquidation of companies in a timely and effective manner these companies’ economic distress is amplified, jeopardizing the stability of the financial system. In economies where creditor recovery rates are high and resolution times are quicker, restructuring within the formal bankruptcy process fulfills its cyclical role during economic downturns by keeping companies afloat.",,,,CC BY-4.0
IC.BRE.BL.OS,Private Sector & Trade,B-READY: Business Location: Overall Score,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business. The Business Location topic measures three different options—purchase, lease, or build—that are available to entrepreneurs to choose the adequate location to set up their company, across three different dimensions, or pillars. The overall topic score is generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Acquiring the physical space where a business will operate is a crucial ingredient of success for many firms, even in the digital age. Getting the right location can influence business access to customers, transportation, labor, and materials, as well as determine taxes, regulations, and environmental commitments they must comply with.

Whether an entrepreneur is leasing or purchasing a commercial property, the regulatory framework and the public services related to acquiring a location can have an impact on how conducive the business environment is for individual firms and the private sector development of an economy.

Firms are more likely to invest in economies with strong property rights in which they are confident that their immovable property investments will be safe. A reliable land administration system, which provides clear information on property ownership, facilitates the development of real estate markets, and supports tenure security. These factors not only provide confidence to the private sector but also indicate the economy’s prospects for economic growth. Transparency in land administration also reduces information asymmetries, which increases market efficiency, further supporting economic development.  

When investors and entrepreneurs acquire a new location for their business, the process often involves licensing requirements for altering a property or changing tenancy. Building-related permits are essential for public safety, strengthening property rights, and contributing to capital formation. Last but not least, transparent and accessible environmental regulations related to building control reduce the regulatory burden on firms by offering clarity on rules and regulations.",,,,CC BY-4.0
IC.BRE.BL.P1,Private Sector & Trade,B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,,"B-READY focuses on ten topics that are organized following the life cycle of the firm and its participation in the market while opening, operating (or expanding), and closing (or reorganizing) a business.  The Business Location topic measures three different options—purchase, lease, or build—that are available to entrepreneurs to choose the adequate location to set up their company, across three different dimensions, or pillars. The first pillar assesses the quality of regulations pertaining to property transfer, building, and environmental permitting, covering de jure features of a regulatory framework that are necessary for immovable property lease, property ownership, urban planning, and environmental licenses.",0-100 scale,Annual,,,,,,,"Business Ready (B-READY) project, World Bank (WB), uri: https://www.worldbank.org/en/businessready","Methodology: B-READY is designed for benchmarking across economies. This requires the application of a homogeneous methodology across economies at different income levels and in different geographic locations. It also requires quantifying the business environment conditions using indicators that can be aggregated into comparable scores.  
B-READY granular data provide a wealth of information that can be used to guide specific policy reform. These data are presented in the main body of the report and, in more detail, in the Business Ready website through accessible facilities and tools, including economy profiles.  
Based on the data collected, B-READY generates scores for each topic area and potentially a set of aggregate scores. B-READY collects both de jure information and de facto measures. While de jure data are collected from expert consultations, de facto data are collected from both expert consultations and firm surveys.
All data obtained from either experts or firms are collected in raw form and then converted to a score that can be combined with other scores. The objective of the scoring methodology of raw data is to allow for score aggregation that preserves absolute cardinal differences, which can be used to compare across economies and over time (rather than purely ordinal or relative scoring). The granular data produced by the B-READY project are combined to produce a score for each of the ten B-READY topics. Every topic score will be generated by averaging the scores assigned to each of the three pillars (regulatory framework, public services, and efficiency) for that topic.
In addition, to facilitate international benchmarking, these granular data are used to obtain topic-specific pillar scores, topic scores, and overall pillar scores. A topic-specific pillar score is built from the points assigned to sets of indicators, organized in categories by subject matter. Each score can range from 0 to 100 (where 100 represents the best performance). Within each topic, there are three topic-specific pillars: Regulatory Framework, Public Services, and Operational Efficiency. The average of the three topic-specific pillar scores, in turn, equals the topic score. Each overall pillar score is the average of the corresponding topic-specific pillar scores across the ten B-READY topics. 
Details about the B-READY methodology are available on the project website: https://www.worldbank.org/en/businessready/methodology#1","Acquiring the physical space where a business will operate is a crucial ingredient of success for many firms, even in the digital age. Getting the right location can influence business access to customers, transportation, labor, and materials, as well as determine taxes, regulations, and environmental commitments they must comply with.

Whether an entrepreneur is leasing or purchasing a commercial property, the regulatory framework and the public services related to acquiring a location can have an impact on how conducive the business environment is for individual firms and the private sector development of an economy.

Firms are more likely to invest in economies with strong property rights in which they are confident that their immovable property investments will be safe. A reliable land administration system, which provides clear information on property ownership, facilitates the development of real estate markets, and supports tenure security. These factors not only provide confidence to the private sector but also indicate the economy’s prospects for economic growth. Transparency in land administration also reduces information asymmetries, which increases market efficiency, further supporting economic development.  

When investors and entrepreneurs acquire a new location for their business, the process often involves licensing requirements for altering a property or changing tenancy. Building-related permits are essential for public safety, strengthening property rights, and contributing to capital formation. Last but not least, transparent and accessible environmental regulations related to building control reduce the regulatory burden on firms by offering clarity on rules and regulations.",,,,CC BY-4.0
