Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
LP.LPI.CUST.XQ,Trade,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.",,Annual,,,Unweighted average,"The Logistics Performance Index is an interactive benchmarking tool created to help countries identify the challenges and opportunities they face in their performance on trade logistics and what they can do to improve their performance. Despite being the most comprehensive data source for country logistics and trade facilitation, the LPI has two important limitations. First, the experience of international freight forwarders might not represent the broader logistics environment in poor countries, which often rely on traditional operators. And the international and traditional operators might differ in their interactions with government agencies - and in their service levels. Second, for landlocked countries and small-island states, the LPI might reflect access problems outside the country assessed, such as transit difficulties. The low rating of a landlocked country might not adequately reflect its trade facilitation efforts, which depend on the workings of complex international transit systems. Landlocked countries cannot eliminate transit inefficiencies with domestic reforms.",,,"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Methodology: The indicator presents data from Logistics Performance Surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics.  The Logistics Performance Index (LPI) uses a structured online survey of logistics professionals at multinational freight forwarders and the main express carriers. The 2023 International LPI covers 139 countries. Each survey respondent rates eight overseas markets on six core components of logistics performance (the efficiency of customs and border management clearance, the quality of trade and transport infrastructure, the ease of arranging competitively priced shipments, the competence and quality of logistics services, the ability to track and trace consignments, and the frequency shipments reach consignees within scheduled or expected delivery times). The components are rated on a scale (lowest score to highest score) from 1 to 5.  The eight countries are chosen based on the most important export and import markets of the country where the respondent is located, on random selection, and - for landlocked countries - on neighboring countries that form part of the land bridge connecting them with international markets.  The method used to select the group of countries rated by each respondent varies by the characteristics of the country where the respondent is located. If respondents did not provide information for all six components, interpolation is used to fill in missing values. The missing values are replaced with the country mean response for each question, adjusted by the respondent's average deviation from the country mean in the answered questions.  
Statistical concept(s): The LPI is constructed from the six indicators using principal component analysis (PCA), a standard statistical technique used to reduce the dimensionality of a dataset. In the LPI, the inputs for PCA are country scores the questions covering the main six components, averaged across all respondents providing data on a given overseas market. Scores are normalized by subtracting the sample mean and dividing by the standard deviation before conducting PCA. The output from PCA is a single indicator - the LPI - that is a weighted average of those scores. The weights are chosen to maximize the percentage of variation in the LPI's original six indicators. To construct the international LPI, normalized scores for each of the six original indicators are multiplied by their component loadings and then summed. The component loadings represent the weight given to each original indicator in constructing the international LPI. Since the loadings are similar for all six, the international LPI is close to a simple average of the indicators. To account for the sampling error created by the LPI's survey-based dataset, LPI scores are presented with approximate 80 percent confidence intervals.","The LPI measures on-the-ground trade logistics performance, helping national leaders, key policymakers, and private sector traders understand the challenges they and their trading partners face in reducing logistical barriers to international commerce. As the backbone of international trade, logistics encompasses freight transportation, warehousing, border clearance, payment systems, and many other functions. These functions are performed mostly by private service providers for private traders and owners of goods, but logistics is also important for the public policies of national governments and regional and international organizations. Because global supply chains are so varied and complex, the efficiency of logistics depends on government services, investments, and policies. Building infrastructure, developing a regulatory regime for transport services, and designing and implementing efficient customs clearance procedures are all areas where governments play an important role.  The improvements in global logistics over the past two decades have been driven by innovation and a great increase in global trade. While policies and investments that enable good logistics practices help modernize the best-performing countries, logistics still lags in many developing countries. Indeed, the ""logistics gap"" evident in the first two editions of this report remains.  The importance of logistics performance for economic growth, diversification, and poverty reduction has long been widely recognized. National governments can facilitate trade through investments in both ""hard"" and ""soft"" infrastructure. Countries have improved their logistics performance by implementing strategic and sustained interventions, mobilizing actors across traditional sector silos, and involving the private sector. Logistics is also increasingly important for sustainability. A focus on the environmental impacts of logistics practices is also included in the LPI.",,,,CC BY-4.0
TM.QTY.MRCH.XD.WD,Trade,Import volume index (2015 = 100),,"Import volume indexes are derived from UNCTAD's volume index series and are the ratio of the import value indexes to the corresponding unit value indexes. Unit value indexes are based on data reported by countries that demonstrate consistency under UNCTAD quality controls, supplemented by UNCTAD's estimates using the previous year's trade values at the Standard International Trade Classification three-digit level as weights.",,Annual,,,,,,,UN Conference on Trade and Development (UNCTAD),"Methodology: This indicator is constructed as the ratio of the import value index to the corresponding unit value index, both compiled by the United Nations Conference on Trade and Development (UNCTAD). The import value index reflects the nominal value of imports over time, while the unit value index serves as a proxy for import prices by capturing changes in average prices per unit. Unit value indexes are based primarily on data reported by national statistical authorities. To ensure data reliability, only values from countries that demonstrate internal consistency and meet quality thresholds defined by UNCTAD are used. Where data are incomplete or fail to meet these standards, UNCTAD supplements them with its own estimates.

The estimation procedure for unit value indexes involves applying trade values from the previous year as weights, using the Standard International Trade Classification (SITC) at the three-digit level of aggregation. This method helps to reduce distortions from shifts in trade structure or classification inconsistencies. The resulting indexes are chain-linked to ensure temporal comparability and are rebased to the year 2015 (2015 = 100). The final import volume index allows for the analysis of changes in the physical volume of imports over time, net of price effects, and is particularly useful for assessing trends in trade flows in real terms.",,,,,CC BY-4.0
TM.TAX.MANF.BC.ZS,Trade,"Binding coverage, manufactured products (%)",,Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator is calculated as the proportion of tariff lines for manufactured products that are bound under World Trade Organization (WTO) commitments. A tariff line is considered bound if a maximum rate is legally committed in the WTO schedule of concessions. The binding coverage is computed by dividing the number of bound tariff lines by the total number of tariff lines in the relevant product category and multiplying the result by 100 to express it as a percentage. Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in Standard International Trade Classification (SITC) revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator is compiled using only officially reported bound statuses without imputation. It is methodologically consistent across countries, with tariff line concordance procedures applied to standardize classification and maintain comparability across HS revisions.",,,,,CC BY-4.0
TM.TAX.MANF.BR.ZS,Trade,"Bound rate, simple mean, manufactured products (%)",,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator represents the unweighted average of final bound tariff rates across all manufactured products tariff lines. The calculation involves summing the bound rates applied to each individual tariff line and dividing by the total number of lines within the product category. Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Manufactured products are commodities classified in Standard International Trade Classification (SITC) revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator reflects commitments under WTO agreements and is not adjusted for trade volume. It includes only those lines for which binding rates have been reported. The methodology ensures consistency across countries by converting national tariff submissions to a harmonized HS version.",,,,,CC BY-4.0
TM.TAX.MANF.SM.AR.ZS,Trade,"Tariff rate, applied, simple mean, manufactured products (%)",,"Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the simple (unweighted) average of applied most-favored-nation (MFN) tariff rates across all tariff lines within the manufactured products category. Each line is given equal weight regardless of the trade volume associated with it. The mean is calculated by summing the applied rates and dividing by the number of lines. Simple mean applied tariff is the unweighted average of effectively applied rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of simple mean tariffs. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator excludes missing or unreported lines. Harmonization across HS revisions is conducted to ensure international comparability, and no adjustments are made beyond validation of submitted data.",,,,,CC BY-4.0
TM.TAX.MANF.SM.FN.ZS,Trade,"Tariff rate, most favored nation, simple mean, manufactured products (%)",,Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator calculates the simple (unweighted) mean of statutory most-favored-nation (MFN) tariff rates across all tariff lines for manufactured products. It reflects tariff rates that apply to all World Trade Organization (WTO) members on a non-discriminatory basis unless preferential agreements are in force. Simple mean most favored nation tariff rate is the unweighted average of most favored nation rates for all products subject to tariffs calculated for all traded goods. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The calculation is performed by summing the MFN rates and dividing by the total number of tariff lines. No trade-based weighting is applied. Only reported rates are included, and harmonized classifications ensure comparability across countries.",,,,,CC BY-4.0
TM.TAX.MANF.WM.AR.ZS,Trade,"Tariff rate, applied, weighted mean, manufactured products (%)",,"Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.",,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator computes the average of applied most-favored-nation (MFN) tariff rates for manufactured products, using import values as weights. Tariff lines with higher trade volumes have a proportionally greater influence on the final average. The weighted mean is derived by multiplying each tariff rate by its corresponding import value, summing these products, and dividing by the total import value. Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Trade data used for weighting are obtained from official national or international sources. Only lines with both valid tariff rates and trade values are included. Harmonized classifications are used to align trade and tariff data consistently.",,,,,CC BY-4.0
TM.TAX.MANF.WM.FN.ZS,Trade,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",,Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.,,Annual,,,,,,,"Staff estimates;
World Integrated Trade Solution system (WITS), World Bank (WB);
Trade Analysis and Information System (TRAINS), UN Conference on Trade and Development (UNCTAD);
Integrated Data Base (IDB), World Trade Organization (WTO);
Consolidated Tariff Schedules (CTS), World Trade Organization (WTO)","Methodology: This indicator represents the trade-weighted average of most-favored-nation (MFN) tariff rates across all manufactured products tariff lines. Import values are used to weight each rate, reflecting the relative economic significance of different products in international trade. The weighted average is calculated by taking the sum of the products of MFN rates and import values, divided by the total import value. Weighted mean most favored nations tariff is the average of most favored nation rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. Import weights were calculated using the United Nations Statistics Division's Commodity Trade (Comtrade) database. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. Only tariff lines with both reported MFN rates and corresponding trade values are included. The WTO applies standardized concordance procedures to match trade and tariff data using harmonized product classifications.",,,,,CC BY-4.0
TM.TAX.MRCH.BC.ZS,Trade,"Binding coverage, all products (%)",,Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable.,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator is calculated as the proportion of tariff lines for all products that are bound under World Trade Organization (WTO) commitments. A tariff line is considered bound if a maximum rate is legally committed in the WTO schedule of concessions. The binding coverage is computed by dividing the number of bound tariff lines by the total number of tariff lines in the relevant product category and multiplying the result by 100 to express it as a percentage. Binding coverage is the percentage of product lines with an agreed bound rate. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Tariff data are primarily sourced from the World Trade Organization (WTO) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator is compiled using only officially reported bound statuses without imputation. It is methodologically consistent across countries, with tariff line concordance procedures applied to standardize classification and maintain comparability across HS revisions.",,,,,CC BY-4.0
TM.TAX.MRCH.BR.ZS,Trade,"Bound rate, simple mean, all products (%)",,Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable.,,Annual,,,,,,,"Staff estimates, World Bank (WB);
World Integrated Trade Solution system (WITS), World Bank (WB);
World Trade Organization (WTO)","Methodology: This indicator represents the unweighted average of final bound tariff rates across all all products tariff lines. The calculation involves summing the bound rates applied to each individual tariff line and dividing by the total number of lines within the product category. Simple mean bound rate is the unweighted average of all the lines in the tariff schedule in which bound rates have been set. Bound rates result from trade negotiations incorporated into a country's schedule of concessions and are thus enforceable. Tariff data are primarily sourced from the World Trade Organization (World Trade Organization (WTO)) Consolidated Tariff Schedules (Consolidated Tariff Schedules (CTS)) and Integrated Database (Integrated Database (IDB)), with supplementary inputs from the United Nations Conference on Trade and Development (United Nations Conference on Trade and Development (UNCTAD)). Data are submitted by national authorities using the Harmonized System (Harmonized System (HS)) classification. The WTO Secretariat validates and harmonizes submissions to a common HS version for comparability. Data are generally updated annually or as new schedules are submitted. Due to validation and alignment processes, there is typically a one- to two-year time lag between national reporting and publication. The indicator reflects commitments under WTO agreements and is not adjusted for trade volume. It includes only those lines for which binding rates have been reported. The methodology ensures consistency across countries by converting national tariff submissions to a harmonized HS version.",,,,,CC BY-4.0
