Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Eastern and Southern,AFE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,1.5267476136736748,2.975855185519785,3.99562086325361,4.32886394028457,5.43304258923081,5.65200044183349,4.7022748225107,5.18063298960855,6.720409344877066,7.61731471336048,8.47631584211759,8.132530581097456,8.31947407540491,8.05084587682472,8.886368707082745,8.64189317731994,7.767982860863065,8.10400471588382,8.49797167945346,
Africa Eastern and Southern,AFE,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,18.002896725357935,17.617572656611785,19.35570520853896,15.679550101404265,17.54598279304228,14.687824680093726,15.930275104643792,18.18874492743073,18.655126123724173,15.650522638696188,18.19101872279075,20.98257082814794,22.50598170484839,18.47174017409668,20.106110877443015,18.566680997967474,19.500355529644224,17.14628584956816,15.672109199293406,14.71433273077901
Africa Eastern and Southern,AFE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,7.117409901993135,7.26945164388613,15.5092905997239,16.824737789388198,17.4576464641524,19.38215426373905,21.592407363251752,30.55596342546695,30.497409151726004,35.683709248385256,35.3345772669669,38.16571681882545,32.97616979816015,39.4594976237586,50.32013437053005,53.0602788230137,61.4583734430213,68.358825697459,,
Africa Eastern and Southern,AFE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,44.783675715408954,46.481185734122086,48.71749246916496,48.19728523885755,49.35105454542351,49.06353627191416,48.19735825654155,46.91670525568621,44.54885005630459,44.56227930754759,46.54631483244888,46.20029997773265,44.830843164381264,45.91892474314337,47.93624725773108,52.020642511297574,50.078868935964636,46.95069044906856,48.43074588567853,
Africa Eastern and Southern,AFE,Broad money (current LCU),FM.LBL.BMNY.CN,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,,,,,,,,,,,,,,,,,,,,
