Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Eastern and Southern,AFE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,19.305943358595936,19.772545889864325,20.22630834512023,21.444201312910288,22.38086050549874,22.642244738893215,25.246212121212128,25.02227766886473,25.91505524861879,25.746907706945766,28.149710068529256,28.989169675090253,28.70592262923658,28.771570134973533,29.274563820018386,30.128447298828874,30.47478836952523,30.523627075351218,30.518059102517334,30.232558139534888
Africa Eastern and Southern,AFE,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.70786920589293,11.184439041333805,12.309820193637629,11.203170028818453,11.143166245943027,11.203007518796998,11.859086152772935,13.643235071806497,14.70588235294117,15.614156835530874,15.084915084915082,14.843750000000002,15.279106858054222,15.318471337579613,15.398773006134963,16.345270890725438,17.824377457404978,19.182782283218963,20.767716535433074,20.784835384103754
Africa Western and Central,AFW,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,,,,,,,,,,,,,,,,,,,,
