Indicator Name,total_values,null_values,coverage_percent
Urban population (% of total population),5320,20,99.62406015037594
Urban population,5320,20,99.62406015037594
Rural population,5320,20,99.62406015037594
Rural population (% of total population),5320,20,99.62406015037594
Urban population growth (annual %),5320,21,99.60526315789474
Rural population growth (annual %),5320,256,95.18796992481202
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),5320,300,94.3609022556391
Total greenhouse gas emissions excluding LULUCF (% change from 1990),5320,300,94.3609022556391
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),5320,300,94.3609022556391
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),5320,300,94.3609022556391
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),5320,300,94.3609022556391
Methane (CH4) emissions from Waste (Mt CO2e),5320,300,94.3609022556391
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),5320,300,94.3609022556391
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),5320,300,94.3609022556391
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),5320,300,94.3609022556391
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),5320,300,94.3609022556391
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),5320,300,94.3609022556391
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),5320,300,94.3609022556391
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),5320,300,94.3609022556391
Access to electricity (% of population),5320,331,93.7781954887218
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),5320,340,93.60902255639098
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),5320,343,93.55263157894737
Methane (CH4) emissions from Agriculture (Mt CO2e),5320,343,93.55263157894737
Capture fisheries production (metric tons),5320,353,93.36466165413533
Aquaculture production (metric tons),5320,361,93.21428571428571
Total fisheries production (metric tons),5320,361,93.21428571428571
Surface area (sq. km),5320,367,93.1015037593985
"Access to electricity, urban (% of urban population)",5320,378,92.89473684210526
Land area (sq. km),5320,388,92.70676691729324
Population density (people per sq. km of land area),5320,388,92.70676691729324
Methane (CH4) emissions from Building (Energy) (Mt CO2e),5320,420,92.10526315789474
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),5320,420,92.10526315789474
Forest area (sq. km),5320,426,91.99248120300751
Forest area (% of land area),5320,426,91.99248120300751
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),5320,430,91.9172932330827
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),5320,480,90.97744360902256
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),5320,480,90.97744360902256
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),5320,480,90.97744360902256
