Indicator Name,total_values,null_values,coverage_percent
Proportion of seats held by women in national parliaments (%),5320,608,88.57142857142857
Women who were first married by age 18 (% of women ages 20-24),5320,5051,5.056390977443609
Women who were first married by age 15 (% of women ages 20-24),5320,5054,5.0
Women who believe a husband is justified in beating his wife (any of five reasons) (%),5320,5160,3.007518796992481
Women who believe a husband is justified in beating his wife when she neglects the children (%),5320,5160,3.007518796992481
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),5320,5161,2.988721804511278
Women who believe a husband is justified in beating his wife when she argues with him (%),5320,5163,2.9511278195488724
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",5320,5164,2.9323308270676693
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",5320,5164,2.9323308270676693
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",5320,5164,2.9323308270676693
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),5320,5164,2.9323308270676693
Women who believe a husband is justified in beating his wife when she burns the food (%),5320,5165,2.9135338345864663
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",5320,5206,2.142857142857143
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),5320,5215,1.9736842105263157
