Indicator Name,total_values,null_values,coverage_percent
Fixed telephone subscriptions (per 100 people),5320,545,89.75563909774436
Fixed telephone subscriptions,5320,577,89.15413533834587
Mobile cellular subscriptions,5320,594,88.83458646616542
Mobile cellular subscriptions (per 100 people),5320,594,88.83458646616542
Fixed broadband subscriptions,5320,810,84.77443609022556
Fixed broadband subscriptions (per 100 people),5320,811,84.75563909774436
Individuals using the Internet (% of population),5320,896,83.15789473684211
Scientific and technical journal articles,5320,910,82.89473684210526
"ICT service exports (BoP, current US$)",5320,969,81.78571428571429
"ICT service exports (% of service exports, BoP)",5320,984,81.50375939849624
Secure Internet servers (per 1 million people),5320,1407,73.55263157894737
"Air transport, passengers carried",5320,1576,70.37593984962406
"Air transport, registered carrier departures worldwide",5320,1577,70.35714285714286
ICT goods imports (% total goods imports),5320,1643,69.11654135338345
"Air transport, freight (million ton-km)",5320,1721,67.65037593984962
ICT goods exports (% of total goods exports),5320,1796,66.2406015037594
High-technology exports (% of manufactured exports),5320,1982,62.744360902255636
High-technology exports (current US$),5320,2094,60.6390977443609
Secure Internet servers,5320,2117,60.20676691729323
Container port traffic (TEU: 20 foot equivalent units),5320,2239,57.91353383458647
Medium and high-tech exports (% manufactured exports),5320,2567,51.74812030075188
Liner shipping connectivity index (maximum value in 2004 = 100),5320,2692,49.3984962406015
"Patent applications, nonresidents",5320,3144,40.902255639097746
Research and development expenditure (% of GDP),5320,3150,40.78947368421053
"Patent applications, residents",5320,3273,38.47744360902256
"Trademark applications, nonresident, by count",5320,3299,37.98872180451128
"Trademark applications, resident, by count",5320,3314,37.70676691729323
Researchers in R&D (per million people),5320,3563,33.026315789473685
"Industrial design applications, resident, by count",5320,3635,31.672932330827066
"Industrial design applications, nonresident, by count",5320,3637,31.63533834586466
"Railways, passengers carried (million passenger-km)",5320,3823,28.139097744360903
"Railways, goods transported (million ton-km)",5320,3826,28.082706766917294
"Individuals using the Internet, male (% of male population)",5320,3898,26.729323308270676
"Individuals using the Internet, female (% of female population)",5320,3899,26.710526315789473
Rail lines (total route-km),5320,4100,22.93233082706767
Technicians in R&D (per million people),5320,4381,17.650375939849624
