Indicator Name,total_values,null_values,coverage_percent
Coverage of social protection and labor programs (% of population),5320,4729,11.109022556390977
Coverage of social safety net programs in 3rd quintile (% of population),5320,4767,10.394736842105264
Coverage of social safety net programs in 2nd quintile (% of population),5320,4767,10.394736842105264
Coverage of social safety net programs (% of population),5320,4767,10.394736842105264
Coverage of social safety net programs in richest quintile (% of population),5320,4767,10.394736842105264
Coverage of social safety net programs in poorest quintile (% of population),5320,4767,10.394736842105264
Coverage of social safety net programs in 4th quintile (% of population),5320,4767,10.394736842105264
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),5320,4790,9.962406015037594
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),5320,4791,9.943609022556391
Coverage of social insurance programs in 2nd quintile (% of population),5320,4811,9.56766917293233
Coverage of social insurance programs in 3rd quintile (% of population),5320,4811,9.56766917293233
Coverage of social insurance programs in poorest quintile (% of population),5320,4811,9.56766917293233
Coverage of social insurance programs in 4th quintile (% of population),5320,4811,9.56766917293233
Coverage of social insurance programs (% of population),5320,4811,9.56766917293233
Coverage of social insurance programs in richest quintile (% of population),5320,4811,9.56766917293233
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),5320,4835,9.11654135338346
Adequacy of social insurance programs (% of total welfare of beneficiary households),5320,4836,9.097744360902256
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),5320,4845,8.928571428571429
Adequacy of social safety net programs (% of total welfare of beneficiary households),5320,4846,8.909774436090226
Coverage of unemployment benefits and ALMP in richest quintile (% of population),5320,5049,5.093984962406015
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),5320,5049,5.093984962406015
Coverage of unemployment benefits and ALMP (% of population),5320,5049,5.093984962406015
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),5320,5049,5.093984962406015
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),5320,5050,5.075187969924812
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),5320,5050,5.075187969924812
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),5320,5207,2.1240601503759398
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),5320,5207,2.1240601503759398
