Indicator Name,total_values,null_values,coverage_percent
Merchandise exports (current US$),5320,312,94.13533834586467
Merchandise imports (current US$),5320,318,94.02255639097744
Merchandise trade (% of GDP),5320,360,93.23308270676692
Merchandise exports by the reporting economy (current US$),5320,536,89.92481203007519
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",5320,536,89.92481203007519
Merchandise exports to high-income economies (% of total merchandise exports),5320,537,89.90601503759399
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",5320,537,89.90601503759399
Merchandise imports by the reporting economy (current US$),5320,537,89.90601503759399
Merchandise imports from high-income economies (% of total merchandise imports),5320,540,89.84962406015038
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),5320,550,89.66165413533835
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),5320,553,89.60526315789474
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),5320,574,89.21052631578948
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),5320,583,89.04135338345864
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),5320,588,88.94736842105263
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),5320,621,88.32706766917293
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),5320,624,88.27067669172932
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),5320,629,88.17669172932331
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),5320,645,87.87593984962406
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),5320,666,87.4812030075188
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),5320,667,87.4624060150376
Merchandise exports to economies in the Arab World (% of total merchandise exports),5320,681,87.19924812030075
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),5320,701,86.82330827067669
Merchandise imports from economies in the Arab World (% of total merchandise imports),5320,702,86.80451127819549
Commercial service imports (current US$),5320,740,86.09022556390977
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),5320,747,85.95864661654136
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),5320,766,85.6015037593985
Commercial service exports (current US$),5320,781,85.31954887218045
"Computer, communications and other services (% of commercial service imports)",5320,804,84.88721804511279
Travel services (% of commercial service imports),5320,810,84.77443609022556
Transport services (% of commercial service imports),5320,812,84.73684210526316
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),5320,825,84.49248120300751
"Computer, communications and other services (% of commercial service exports)",5320,828,84.43609022556392
Insurance and financial services (% of commercial service imports),5320,829,84.4172932330827
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),5320,838,84.24812030075188
Travel services (% of commercial service exports),5320,863,83.7781954887218
Transport services (% of commercial service exports),5320,863,83.7781954887218
Manufactures imports (% of merchandise imports),5320,1083,79.64285714285714
Food imports (% of merchandise imports),5320,1083,79.64285714285714
Fuel imports (% of merchandise imports),5320,1089,79.53007518796993
Ores and metals imports (% of merchandise imports),5320,1089,79.53007518796993
