Indicator Name,total_values,null_values,coverage_percent
Net migration,5320,20,99.62406015037594
Asylum-seekers by country or territory of origin,5320,570,89.28571428571429
Refugees under the mandate of the UNHCR by country or territory of origin,5320,579,89.11654135338345
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",5320,629,88.17669172932331
"Employment in services, male (% of male employment) (modeled ILO estimate)",5320,629,88.17669172932331
Employment in agriculture (% of total employment) (modeled ILO estimate),5320,629,88.17669172932331
"Employers, total (% of total employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Employment in industry, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Employers, male (% of male employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Employers, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",5320,629,88.17669172932331
"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",5320,629,88.17669172932331
"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",5320,629,88.17669172932331
"Unemployment, female (% of female labor force) (modeled ILO estimate)",5320,629,88.17669172932331
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",5320,629,88.17669172932331
"Self-employed, male (% of male employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",5320,629,88.17669172932331
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",5320,629,88.17669172932331
"Unemployment, total (% of total labor force) (modeled ILO estimate)",5320,629,88.17669172932331
"Employment in services, female (% of female employment) (modeled ILO estimate)",5320,629,88.17669172932331
