Indicator Name,total_values,null_values,coverage_percent
Fixed telephone subscriptions (per 100 people),5320,545,89.75563909774436
Fixed telephone subscriptions,5320,577,89.15413533834587
Mobile cellular subscriptions,5320,594,88.83458646616542
Mobile cellular subscriptions (per 100 people),5320,594,88.83458646616542
Fixed broadband subscriptions,5320,810,84.77443609022556
Fixed broadband subscriptions (per 100 people),5320,811,84.75563909774436
Individuals using the Internet (% of population),5320,896,83.15789473684211
Scientific and technical journal articles,5320,910,82.89473684210526
"ICT service exports (BoP, current US$)",5320,969,81.78571428571429
"ICT service exports (% of service exports, BoP)",5320,984,81.50375939849624
