Indicator Name,total_values,null_values,coverage_percent
"Foreign direct investment, net outflows (BoP, current US$)",5320,160,96.99248120300751
GDP per capita (current US$),5320,163,96.93609022556392
GDP (current US$),5320,163,96.93609022556392
GDP per capita growth (annual %),5320,207,96.10902255639098
GDP growth (annual %),5320,207,96.10902255639098
GDP per capita (constant 2015 US$),5320,216,95.93984962406014
GDP (constant 2015 US$),5320,216,95.93984962406014
"Foreign direct investment, net outflows (% of GDP)",5320,280,94.73684210526316
"Foreign direct investment, net inflows (BoP, current US$)",5320,337,93.66541353383458
GNI (current US$),5320,354,93.34586466165413
"GDP, PPP (current international $)",5320,395,92.57518796992481
"GDP per capita, PPP (current international $)",5320,395,92.57518796992481
"GNI per capita, Atlas method (current US$)",5320,401,92.4624060150376
"GNI, Atlas method (current US$)",5320,401,92.4624060150376
"Foreign direct investment, net inflows (% of GDP)",5320,405,92.38721804511279
"GDP per capita, PPP (constant 2021 international $)",5320,414,92.21804511278195
"GDP, PPP (constant 2021 international $)",5320,414,92.21804511278195
"Industry (including construction), value added (% of GDP)",5320,446,91.61654135338345
"Industry (including construction), value added (current US$)",5320,450,91.54135338345864
"Agriculture, forestry, and fishing, value added (% of GDP)",5320,456,91.42857142857143
"Agriculture, forestry, and fishing, value added (current US$)",5320,460,91.35338345864662
"Services, value added (% of GDP)",5320,472,91.12781954887218
"Services, value added (current US$)",5320,476,91.05263157894737
"GNI, PPP (current international $)",5320,493,90.73308270676692
"GNI per capita, PPP (current international $)",5320,493,90.73308270676692
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",5320,639,87.98872180451127
"Agriculture, forestry, and fishing, value added (annual % growth)",5320,644,87.89473684210526
"Industry (including construction), value added (constant 2015 US$)",5320,656,87.66917293233082
"Manufacturing, value added (% of GDP)",5320,660,87.59398496240601
"Industry (including construction), value added (annual % growth)",5320,663,87.5375939849624
"Manufacturing, value added (current US$)",5320,664,87.5187969924812
"Services, value added (constant 2015 US$)",5320,714,86.57894736842105
Gross value added at basic prices (GVA) (current US$),5320,714,86.57894736842105
"Services, value added (annual % growth)",5320,730,86.2781954887218
"Personal remittances, received (current US$)",5320,741,86.07142857142857
"Imports of goods, services and primary income (BoP, current US$)",5320,741,86.07142857142857
Trade in services (% of GDP),5320,749,85.92105263157895
"Exports of goods, services and primary income (BoP, current US$)",5320,781,85.31954887218045
"Personal remittances, received (% of GDP)",5320,784,85.26315789473684
"Travel services (% of service imports, BoP)",5320,810,84.77443609022556
"Communications, computer, etc. (% of service imports, BoP)",5320,812,84.73684210526316
"Transport services (% of service imports, BoP)",5320,812,84.73684210526316
"Insurance and financial services (% of service imports, BoP)",5320,829,84.4172932330827
"Communications, computer, etc. (% of service exports, BoP)",5320,836,84.28571428571429
Imports of goods and services (% of GDP),5320,849,84.04135338345864
Imports of goods and services (current US$),5320,853,83.96616541353383
"Transport services (% of service exports, BoP)",5320,863,83.7781954887218
"Travel services (% of service exports, BoP)",5320,863,83.7781954887218
"Personal remittances, paid (current US$)",5320,866,83.7218045112782
Exports of goods and services (% of GDP),5320,870,83.64661654135338
External balance on goods and services (% of GDP),5320,870,83.64661654135338
Exports of goods and services (current US$),5320,874,83.57142857142857
Trade (% of GDP),5320,930,82.5187969924812
"Industry (including construction), value added per worker (constant 2015 US$)",5320,950,82.14285714285714
Gross value added at basic prices (GVA) (constant 2015 US$),5320,954,82.06766917293233
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",5320,960,81.95488721804512
"Services, value added per worker (constant 2015 US$)",5320,970,81.76691729323308
Gross domestic savings (% of GDP),5320,1020,80.82706766917293
Gross domestic savings (current US$),5320,1024,80.75187969924812
Final consumption expenditure (current US$),5320,1024,80.75187969924812
Households and NPISHs final consumption expenditure (% of GDP),5320,1054,80.18796992481202
Households and NPISHs Final consumption expenditure (current US$),5320,1058,80.11278195488721
Gross capital formation (% of GDP),5320,1061,80.05639097744361
