Country Name,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","Communications, computer, etc. (% of service exports, BoP)","Communications, computer, etc. (% of service imports, BoP)",Exports of goods and services (% of GDP),Exports of goods and services (current US$),"Exports of goods, services and primary income (BoP, current US$)",External balance on goods and services (% of GDP),Final consumption expenditure (current US$),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Foreign direct investment, net outflows (BoP, current US$)",GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita (current US$),GDP per capita growth (annual %),"GDP per capita, PPP (constant 2021 international $)","GDP per capita, PPP (current international $)","GDP, PPP (constant 2021 international $)","GDP, PPP (current international $)",GNI (current US$),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Gross domestic savings (current US$),Gross value added at basic prices (GVA) (constant 2015 US$),Gross value added at basic prices (GVA) (current US$),Households and NPISHs Final consumption expenditure (current US$),Households and NPISHs final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Imports of goods, services and primary income (BoP, current US$)","Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Insurance and financial services (% of service imports, BoP)","Manufacturing, value added (% of GDP)","Manufacturing, value added (current US$)","Personal remittances, paid (current US$)","Personal remittances, received (% of GDP)","Personal remittances, received (current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)",Trade (% of GDP),Trade in services (% of GDP),"Transport services (% of service exports, BoP)","Transport services (% of service imports, BoP)","Travel services (% of service exports, BoP)","Travel services (% of service imports, BoP)"
Afghanistan,1.7917956948515998,1.9863674578203385,-0.15492801731990002,-0.1639248567562135,-0.65948799285849,0.3650222784422011,-1.003087425875405,0.0,0.0,-0.2702858810501661,-6.349984233731583e-17,0.0,-0.22654272561811162,-0.10957815902162711,-0.1443551823883741,-0.12734035602650182,-0.204525787959854,-0.21362828289541738,0.3045596801645268,-0.6915763511850909,-0.6749350676714476,-0.22222240283775002,-0.9186624853080783,-0.9247410814485975,-0.3083774508374453,-0.32297336524612547,-0.26241006265081557,-0.7634035540929056,-0.9431088077447439,-0.21460144585110852,-0.33066698496858915,-5.02475213438554e-16,0.0,0.0,-0.2805970154329958,-0.1558552375459876,5.385742708976772e-17,-5.357006877457916e-16,0.0,-5.3748888996173685e-17,-0.27186511684576686,-1.1357352748240566,0.1774617101493933,-0.2011316110502266,-0.2127599526750438,-0.7594578905220948,-1.0203939274393081,-0.743995031143742,-0.2257315096589652,-0.07368917223137766,-0.002621955993456714,-0.10235262767999434,-0.20202105420865685,-1.7613344580347428,-0.1965194993079686,-0.17987144149904588,-0.8295269599185395,0.0,-0.6100984308519382,-0.17972088535787506,3.4394830707637176,-1.342604871350219,-1.0391565699374528
Africa Eastern and Southern,0.3568549081714679,-0.05690216198106172,-0.1545512117951769,-0.16356116867148296,-0.6828938961757495,-0.46978543457275296,-0.39601143568734287,-0.604015715368229,-0.262938319917965,-0.2700865996443875,0.0542782567970787,-0.24226748945624016,-0.18531049655316534,-0.10946119686903796,-0.1431851057490188,-0.12732705207131156,-0.20321782327236812,-0.2124027098145539,-0.2036942495497725,-0.6507423283488729,-0.6349130408918489,-0.6498974621655367,-0.8654019701161397,-0.8699252765885244,1.7797721521391006,-0.32096735710449176,0.8657672181494518,-0.7132784762690212,-0.8915240109140778,-0.2133014594271038,-0.3287298389697809,-0.4368967782445891,-0.12230272817319053,-0.23503456989489002,-0.2794429363750979,-0.15408206411813974,-0.2749433673751463,0.33402839600784356,-0.6822699342119111,-0.24197637524391383,-0.27161946777257573,0.06823057707994688,-0.16108430596665374,-0.20086753550059935,-0.21251469937382567,-0.5778450479112873,-0.21354379646241062,-0.2577583675525526,-0.22564238357005748,-0.07303484522295724,-0.5621526747217709,-0.10085173377013135,-0.44983780115270267,-0.3527697015074024,-0.19581496599707526,-0.179151510662992,-0.710284512520925,-0.6429890243430451,-0.5875881835927868,0.5579379973022911,0.828973960228742,0.2556234334193227,-0.710044815449314
Africa Western and Central,1.533412560929201,0.04021030742208093,-0.1543977184329486,-0.1632492334382467,-0.6101133952818432,0.6855765417143429,0.8062957302939822,0.0,0.0,-0.27015336312258714,-6.349984233731583e-17,0.0,-0.19333136248422345,-0.10948019632103083,-0.14278928560638685,-0.12732583807299605,-0.20342153494459939,1.0451141392645868,0.13440016583716732,-0.6352466006520553,-0.6068199417241241,-0.23976890705419526,-0.7871565038616876,-0.7941851393160292,-0.30639170835478347,-0.32099036863804187,-0.2612887789544109,-0.6988769037670738,-0.810956504744978,-0.21354768400987156,1.6789441204703401,-5.02475213438554e-16,0.0,0.0,-0.2795831021176485,-0.15396611627445914,5.385742708976772e-17,-5.357006877457916e-16,0.0,-5.3748888996173685e-17,-0.27168071150978224,-0.2030520806902505,0.13957561282143177,-0.20093056876724716,-0.21253856986053488,-0.6486835463782283,-0.5841949391137506,-0.30740044709591685,-0.1376174558358821,-0.07320825045016527,-0.15940699651023824,-0.09849852734476117,-0.6370526749074015,-0.12609013504014424,-0.1959483669918931,-0.1791757470336611,-0.7433836535587477,0.0,-0.6181391360264185,0.03859688277815159,-0.393052222519215,-0.6874743858098481,-0.0798492197092169
Albania,0.9396232842964177,0.020173669123804236,-0.15493625666062302,-0.1639306219217283,-0.4346477333520299,-0.46095644999390867,-1.4454766515668707,-0.35172680634572734,-0.26312550933023987,-0.2702833644830229,-0.6706944341189599,-0.24311779055295804,0.0018457271753752013,-0.1095689871288899,-0.14084282785014357,-0.12734025409445665,-0.2045366025088272,-0.21363222262875609,-0.19491479276603818,-0.49152633997133505,-0.4542127084904409,0.5408187070022361,-0.3720001142642112,-0.3439655217677624,-0.3084288888545658,-0.32302046219859276,-0.26241426948715785,-0.48878669509676187,-0.3328748666715403,-0.21460739873655146,-0.3307155087836471,0.027641198069784684,-0.6984441857106809,-0.2352113709076541,-0.28060841969951694,-0.15586375181191006,-0.27551237900617254,1.0556506867730395,-0.000576375085840259,-0.24221114669458635,-0.27186498014899035,-0.24017802295691118,-0.28010422391539147,-0.2011339021247315,-0.21275907803798025,-0.4954491193383912,-0.8423840736936857,-0.7555577562757883,-0.22573171605848982,-0.07370292260524326,0.9318677786520058,-0.10227987968619325,-1.07541149690915,0.18951475536991672,-0.1965254785124867,-0.17987602167772504,-0.5109246980162006,-0.2036152518688455,0.3883457804208236,-0.9145159347350709,-1.5134547396338434,0.9462530752223302,4.03981722357521
Algeria,0.1918076484775221,0.06555751196784863,-0.15488178624478688,-0.16387518240061857,0.26762492098071,1.8414035921588385,-0.46847297701457474,-0.7407500900048879,-0.26309856323491065,-0.2702581525993982,-0.11168454407385874,-0.2430073147437476,-0.20878634589177839,-0.10956758381059155,-0.14809100365125105,-0.12734031999310153,-0.2042836907118447,-0.2134142059131163,-0.5089602078027982,-0.5092410691174251,-0.5176226649254978,-0.7128826259903019,-0.4034487543900025,-0.41574987276043096,-0.3079745382241812,0.16508244539806285,-0.2622161052990426,-0.5612692117834763,-0.4137898643829043,-0.21437377085604326,-0.3302707341917965,2.763266592247314,1.2550699304976458,-0.23514631944159167,-0.2803802428311247,-0.1555418176620899,-0.2754511732929665,-1.4131697945438941,-0.7376764618381497,-0.24217368252761323,-0.27182568903755294,0.8264383370101549,-0.40584988097458746,-0.20106426716254747,-0.21270174978946074,-0.3527831174766691,-0.8866311250916168,-0.8416369011950612,-0.22572192139127087,-0.07370829445416312,-0.6483207238380273,-0.10224453255825273,-0.6372378454543115,-0.6190143042570895,-0.1963913689553199,-0.17975198709325305,-0.34423218479788387,-0.7841517042225501,-0.7139348924579709,0.1099603290060841,0.3044429338813262,-1.6924005577844814,-1.379771074705825
American Samoa,0.0,0.0,4.685778274109762e-17,2.2352033255497266e-17,-9.941763363507451e-17,2.1119985690818453e-16,4.850460512487648e-16,0.7838824554197784,-0.2631289475359252,0.0,-2.080594606351684,0.0,2.6755107125788575e-17,-3.042388800893678e-17,-0.14857643651335986,-0.12734055249644308,-0.20455316638775398,-0.21365053192608516,-0.8838458457619064,-0.16133167330372003,-0.18422498880918184,-0.21094395489493245,1.5273335091135795e-16,0.0,0.0,5.0723065244995297e-17,3.5556055642192453e-17,0.0,0.0,-4.0805083218944424e-17,5.053728202280641e-17,-5.02475213438554e-16,0.0,0.0,0.0,0.0,-0.27552208624939933,1.2912146582789419,2.026408244556482,-0.24221657572771976,0.0,-3.571923777433669e-16,0.0,-3.37494125663302e-17,2.919021781897503e-17,0.0,0.0,-2.71345090312471e-16,-2.7079334124047354e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3497461569141135e-16,1.4286390318529463,1.187452157019452e-16,0.0,0.0,0.0,2.851999704592373e-16
Andorra,-1.034537236777713,-0.5862366296537532,-0.15494296068653032,-0.16393867245414817,-9.941763363507451e-17,-1.3591517395285428,0.18540160476758696,0.0,0.0,-0.2702851178087715,-6.349984233731583e-17,0.0,0.1728148535773592,-0.10957505287157975,-0.05118908045768042,-0.12733979176350166,-0.2045499860136819,-0.21364745774442365,-0.2076190068390683,1.0272180732927263,0.9394871863414721,-0.3836395801193041,1.6124375388136964,1.5457881472054984,-0.30845548150507157,-0.3230491701650429,-0.26242783306457335,1.581048552541459,1.9683861991909435,-0.21462252964763606,-0.33074334915631637,-5.02475213438554e-16,0.0,0.0,-0.2806193701515952,-0.15588427252362452,5.385742708976772e-17,-5.357006877457916e-16,0.0,-5.3748888996173685e-17,-0.2718689885114718,-1.3728399171565808,0.47037795511238945,-0.20113700092477704,-0.21276207650877987,0.0,-0.7451218447104735,-1.2586973551698641,-0.2257325565837113,-0.07370689431135576,-0.6953830441976029,-0.10244380644923369,1.72292763112209,-0.5860441320294464,-0.19653009471026306,-0.17988237163518384,-1.3497461569141135e-16,0.0,1.9856418516997711,-1.3457358872294,-1.0208829554383902,2.0844873598413294,0.6925510837131366
Angola,0.2938836427359244,-0.3482268246041348,-0.15490055398711267,-0.1639100977830617,-0.6056500137753084,-1.1846060640133977,-1.1420007917455022,-0.12173815119391584,-0.2631059334000351,-0.27026088765371115,1.2679296371332585,-0.24307960498613046,-0.3832151372351168,-0.10961026237290881,-0.236314152593229,-0.12735808947220562,-0.20442059212795888,-0.21355237062027163,-0.8073658159378142,-0.5796391030964423,-0.5958372152364704,-1.4200760442057891,-0.636504410692237,-0.6551738555825711,-0.308229056549798,-0.32282748437876224,-0.2623472064148952,-0.6653990244883339,-0.6892861661144533,-0.21452390424458512,-0.3305406395419844,-0.05888145700648654,1.2078166410529045,-0.2351856398385961,-0.2804964907024251,-0.1557366857526804,-0.2754872312904191,-0.8152734281773033,-0.8398987400193586,-0.24220074983131493,-0.2718476545495365,1.6961942886813821,-0.4302248243019374,-0.20109932819980766,-0.2127305781153292,0.31561998885057185,-0.19029839693330608,-0.9885446624566139,-0.22572884966011383,-0.0736424341140826,-0.8185958147365057,-0.10244580143669295,-1.2140719690310862,-0.3762329086448975,-0.19646748006905193,-0.17983722829516122,-0.5364522810867306,-0.49850081185290024,-0.5844511980571363,-0.9265764910082734,0.5857532753986661,2.0133114462088226,-1.4339073228521602
Antigua and Barbuda,-0.9087212903750668,-0.18373491154292124,-0.15494293346919244,-0.16393863829376004,-9.941763363507451e-17,-1.4066123574192764,1.2863403850336512,1.0608444048834824,-0.2631283293933305,-0.27028635172094984,0.35178295991958847,0.0,0.0033545512709738687,-0.10957729835963244,-0.16128382772275626,-0.12734060681141263,-0.20455174503269632,-0.21364920887149788,0.10483167665445653,0.10459562123527777,0.05382138377198416,0.2752750353398004,0.2033178311076833,0.15395674362961337,-0.3084570462889518,-0.3230507686154909,-0.2624298897430148,0.14160702397431155,0.1564682147257563,-0.21462498996492507,-0.33074536925256404,-5.02475213438554e-16,0.0,0.0,-0.28062082477222794,-0.15588669560815988,5.385742708976772e-17,-5.357006877457916e-16,0.9607008259891917,-0.24221608861149227,-0.2718697520739404,-0.42967466455484865,-0.08462451553685073,-0.2011369954853415,-0.21276208136479696,0.0,0.2689247413834239,-1.3598111204139103,-0.22573261196777603,-0.07371308304629393,-0.4235704481757328,-0.1024420265232352,0.927507911011684,0.07943626801027927,-0.1965316182868547,-0.17988410473670063,-1.3497461569141135e-16,1.0460216475655177,2.3470606944349335,-0.5213490764205239,-0.8060401720656387,1.761725298217134,-0.43166695542867023
Arab World,-0.5567487775927176,0.2524500118659792,-0.15445850493806124,-0.16353222868941675,-0.26880930580193896,2.1119985690818453e-16,-0.2815866835812956,0.06289909024911804,0.7087428838700296,0.0,0.656263566132541,-0.24100396052272544,-0.19469362889577385,-0.10931031176590648,-0.10175314284362974,-0.12699931858112884,-0.2007738658027589,3.4208304746257774,-0.2799503718956559,-0.43413480987137165,-0.43025441300864864,-0.4968815326482103,-0.33698193069682414,-0.3323298785945059,5.181309001188951,5.354404916155921,3.1111425172332963,-0.45353700937271163,-0.31618294028311994,3.6087359528219354,5.286600517562205,0.1262970517923137,0.769258569609151,-0.23436828640957966,3.2581517965934585,-0.15034173089720917,-0.27425781094053897,-0.9084502340129241,-0.29543168924244145,-0.24127084631188023,0.6993053704953105,1.7175872128129526,-0.28285217043437594,1.0049194792287581,-0.2115869621533849,0.10761159522648164,0.4709234817661929,-0.23232362179858856,0.04131473281652702,-0.062225211316814084,-0.3795939994797377,-0.095688043785068,-0.5771137823817131,-0.31693444047901875,-0.19452257824274882,-0.17780786105150864,-0.08206409335422538,-0.12947834151136764,-0.35624249663890445,0.0,-0.21161692200384616,0.0,0.3113567094821334
