Country Name,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Agricultural land (% of land area),Agricultural land (sq. km),Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Capture fisheries production (metric tons),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Land area (sq. km),Land under cereal production (hectares),Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Methane (CH4) emissions from Agriculture (Mt CO2e),Methane (CH4) emissions from Building (Energy) (Mt CO2e),Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),Methane (CH4) emissions from Transport (Energy) (Mt CO2e),Methane (CH4) emissions from Waste (Mt CO2e),Mineral rents (% of GDP),Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),Nitrous oxide (N2O) emissions from Waste (Mt CO2e),Permanent cropland (% of land area),Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km),Total fisheries production (metric tons),Total greenhouse gas emissions excluding LULUCF (% change from 1990),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Total greenhouse gas emissions including LULUCF (Mt CO2e),Total natural resources rents (% of GDP),Urban population,Urban population (% of total population),Urban population growth (annual %)
Afghanistan,-0.9902852045689409,-1.1141541884687804,0.23634594794030414,0.5048323327589317,0.5261887592226187,0.4505327751859131,1.014484507729694,-0.215567294223106,-0.16728566822646385,-0.13749559100123596,0.10432621352975996,-0.2172229391528745,-0.05137426316826399,-0.13849965000588704,-0.6496465312939885,-0.0756300257341366,-0.07947503727332694,-0.0907842266175282,-0.15173699400278068,-0.07323141456376024,-0.1709227342905236,0.6928484495596163,0.39055194428138845,0.40115107086281593,-0.3472719531553592,0.23842304578571427,-0.3542602003582421,-0.5363465276385655,0.8606682092778106,-0.6658621099845042,2.244298908226364,-0.7999870098796443,-0.38650594595114995,-0.41008872466737734,-1.7123578979668221,-0.45359274090820223,-0.3025092786756901,-0.9816273028606922,-0.08431040968533339,0.3389499448929165,-0.07399913246345893,-0.33098017557711956,-0.3349852661047273,-0.15128013262773907,-0.3615038538428031,-0.041641958020367166,-0.09618753438200418,0.013482931799149762,-0.09101874206721691,-0.281574869937432,-0.1538364951017609,-0.12684042472571622,-0.09018008371194869,-0.16154973585299784,-0.4142264627307214,0.08978569138415836,-0.11367306082226676,-0.15985278687209262,-0.1241626603876276,-0.10503185667783965,-0.09524600301359604,-0.08202974934445521,-0.1503664474599531,-0.17253103763268934,-0.09590534236322233,-0.5393118044258499,-0.07414411008675464,2.074483802473273,-0.39239384506442515,-0.25343433738102095,1.5789805413594067,1.3223673047186326,-0.2469998669988457,-0.11079286588654827,0.06507592836421505,-0.10868427660579205,-0.7309068641932338,-0.14147037626017078,-0.5526948771675708,-0.305691702056952,-1.5789805413594067,0.9963595124939939
Africa Eastern and Southern,-1.3691041351266513,-1.2984238979769511,-1.2104110316692045,-1.7490918062101757,-1.7916685711553497,-1.5346776495402812,0.43483964207047804,1.6306588151198764,-0.16549608423205425,-0.4257300984984577,-0.012231166154566604,-0.21415221331333684,-0.13275623066813652,-0.13480450669445881,-0.5490357920157473,-0.07470259000483255,-0.07707961645430429,-0.08832489445262998,-0.14200646688694002,-0.07198121239778625,-0.15920104857374912,-0.08998879627461229,0.21534460380585757,0.11774033796805057,0.17629787188325796,0.44591700070940693,-0.11069926612208954,-0.6961467971114572,-0.3416015929480793,1.97574461364003,0.04202943021096518,-0.7012141015720694,-0.05511739051867824,-0.6284763284710913,0.1109487469715301,-0.3382525214100539,-0.23684233880099623,0.7342386618484412,-0.08409065174400338,-0.41074837056866537,-0.06285454494381157,0.6572854633921942,0.555340681636841,1.8099413790804275,0.22463881853759726,-0.047186633614327476,-0.08456419112252109,-0.1269126918280614,-0.07477220714934654,-0.08539034433411168,-0.1335196491114031,-0.12587464924219674,-0.0878299566863723,-0.15687649456928485,0.6248704454770132,-0.043640998774025615,-0.10967246473419182,-0.09757391240819013,-0.12016369207337767,11.894035697293827,-0.09087804380396718,-0.06703387120894125,-0.1391196340770441,-0.16527500826688826,-0.08701533097334145,-0.4732156900487663,-0.07427236739420111,-0.052896767741999626,1.2607999805215535,0.6237325516216793,1.0886129824364894,0.983363857358368,1.3618884837890814,-0.11007022575788965,-0.12480008768739409,-0.10786386986409918,-0.5536480041194076,-0.13354977695459005,0.2492385251818724,0.1400959229575395,-1.0886129824364894,1.120033154449199
Africa Western and Central,-1.483875921771502,-1.4262959921868947,-1.4269430015093765,-1.4573277414258607,-1.8846262204443187,-0.8065260616003957,0.16743471213272318,0.7767954187642795,-0.16531477989603904,-0.10900118140380363,0.281666985853204,-0.21373491619912927,-0.11282117759405956,-0.1371953144415044,-0.6199326263468387,-0.07541954433680177,-0.07834957792420584,-0.0902827387963705,-0.14466125499802257,-0.07306893569264264,-0.16136238039435763,-0.20180904419809897,0.23692397241366267,0.10843795254059303,-0.4479643727595555,-0.43239121551999166,-0.1468117753861598,-0.8211748085901909,-0.3416015929480793,-0.621745223288545,0.2625198020030313,1.0823364523500207,-0.38650594595114995,-0.33700389501415257,0.17458577307343576,-0.7198116170151975,-0.30041787240578244,0.3869636816227919,-0.08425830448695915,-0.41074837056866537,-0.06695110660243506,0.06175613221958791,0.24547345192282496,-0.15017119515210303,0.2780150023190139,-0.06360198958582881,-0.08752828857709213,-0.12842880915856375,-0.08328221216608166,-0.06105264133562817,-0.1444417268957958,-0.1262814879966069,-0.08726259490168166,-0.1585077628909818,-0.013137207301694688,0.24105145289989519,-0.11151327813124062,-0.12312783023618827,-0.12257865715121939,-0.10087913565603153,-0.09296560606927193,-0.0775723458796807,-0.14987501563101324,-0.16745980969878646,-0.0891190196301065,-0.20814832336618344,-0.07421400925144984,-4.340902131424105e-05,1.728476690015346,0.18960026706293823,0.471143707417866,0.5664575674775596,-0.24609644859141477,-0.11009945418405402,-0.08979162576027527,-0.10823099396864215,-0.60887039409008,-0.13825940786850105,0.49991272186895164,0.11571043516014679,-0.4711437074178666,1.0141031594080134
Albania,0.4353264366797621,0.20292179643442493,0.55249275225026,0.6020769248025418,0.6248690342660509,0.4879272666691536,0.2602070302194257,-0.2156659902943624,-0.16729827944953066,0.671486717060763,0.2659812196508187,-0.21721719279663115,-0.165614586210959,-0.10993809953639375,-0.4043464425311038,-0.07563993160193518,-0.0794751593705984,-0.0908476815818859,-0.15158256145018142,-0.07324580898520107,-0.17111891985127195,-0.24390344060182628,0.2485111122648303,0.11150422515233678,-0.2950777052174542,-0.20079403057421308,-0.3690630776954913,0.4603128413151487,0.24277162524409926,-0.6658621099845042,2.825914189978238,-0.7999870098796443,-0.38650594595114995,-0.7586909404644021,-2.1251039917968217,-0.7426793132896099,-0.3026145593831383,-0.9487709085764009,-0.08289345243411443,-0.09206683370933182,-0.06347921971664601,-0.3319016301992326,-0.4194086831950637,-0.15136268387015261,-0.39131904395234135,-0.13400004885043992,-0.09643258634124977,-0.1310854387841391,-0.09106516382754802,-0.28330969258440525,-0.0880896112839623,-0.12687495003285654,-0.09025072508749994,-0.16162485449295047,-0.376137106864364,-0.34297730518531927,-0.11374365037959241,-0.16112564440233965,-0.12417011117484372,-0.1050783423609196,-0.07628096606188478,-0.08206464022774007,-0.15041522351127795,-0.17270088085354365,-0.09628662591573664,-0.13629901878286618,-0.07377829314588948,-1.314396185479931e-16,0.4079519226187971,-0.31260750222176537,0.1634181445397031,-1.3345195042425821,-0.24706609595415782,-0.1107920536601008,-0.40661978248529873,-0.1086976378991835,-0.40861132970356845,-0.14162632254641488,-0.42644848466787644,-0.32101670135833066,-0.1634181445397031,-1.4192730433096827
Algeria,0.9494814548350323,1.0774602504101534,0.7665504843351258,0.5809367960974091,0.5806330489017538,0.4729694700758572,-0.9862955434059865,-0.2155584363337702,-0.1411489869360345,-0.825501145414817,-0.0570609440381196,-0.12984270944617296,-0.10642368503341558,-0.13752547039233212,-0.06306453819918352,-0.07490799498792157,-0.07854544969701777,-0.09041294330950574,-0.14747387913393795,-0.07307257876589517,-0.1668948386708423,-0.244408223556979,0.2482218053966807,0.11114495515206999,0.35116313623819595,0.987460834111825,-0.3546610737990029,-0.6820994467429582,1.2591391259851243,-0.6658621099845042,-0.8927022717211943,2.7637972180970998,-0.38650594595114995,-0.7471215864237382,1.2343986956279716,-0.7083838147499768,-0.3004623731659243,0.26280863065684085,-0.08414570852643406,0.5739775783266752,-0.07440473975720972,-0.3293756137028504,-0.4175974172300542,-0.15105163335711078,-0.35502246535903476,-0.11155876932634318,-0.09542724535369512,-0.13100630147051512,-0.0910538286869713,-0.23520355624745207,-0.15376062443155822,-0.12620870491668948,-0.08930413065511307,-0.16114497276838077,-0.4111895691955376,0.1226489851294386,-0.11360960210133587,-0.1597536099183828,-0.12416812050650354,-0.10433844523856385,-0.09524410003978992,-0.08096750199035556,-0.15031190219825644,-0.1703326124130221,-0.0954764165785062,-0.5291334510946692,-0.0745528831337278,-1.137221221593449,-1.0983592156151918,-0.28912863166205527,-0.5402649475304623,-0.21668621910575786,-0.24681640267963922,-0.11077491678184052,-0.10601864536368807,-0.10856361816812862,-0.11010775314495631,-0.14056046886232532,1.8115797800021287,-0.2641275049833931,0.5402649475304623,0.49301154684617826
American Samoa,0.0,0.0,4.679912817421024e-16,0.0,0.0,-1.0628153712343794e-15,-1.1401293336408889,-0.21566912822711334,-0.16733228480842274,-0.7010427114357989,-0.8443712164434529,-0.21722351703861184,-0.1572447868585503,-0.13856918551696357,-0.6977260171931877,0.0,0.0,0.0,-0.15180516980595982,0.0,2.2268087068810702e-17,3.272535236489806e-17,0.0,1.249127100642206e-17,0.0,-1.082535753302304,-8.640378947184883e-17,-1.5883238400836748e-16,1.082717458042254e-15,-0.6658621099845042,-0.8996792258187949,-0.7999870098796443,-0.38650594595114995,1.9856633088550846,1.1242198654901632,-0.4151876321948519,-0.3026651122466594,3.647792544058259e-16,-0.08375599084477006,-1.1321842551813203e-15,-0.04121724674943105,-0.3335966375646077,-0.47892435717805604,-0.15136627747768372,8.851247911060602e-17,-0.10443478966851827,-0.09648001870944432,-0.1310585182539653,1.9825481343037697e-17,3.521901798968313e-17,0.0,0.0,1.3208872695275979e-17,-0.1616545856853341,-0.4142264627307214,0.02479666868326348,-0.1137200922937694,-0.16101252881054295,0.0,0.0,-1.126786845228803e-17,-0.08209170859982583,1.8633047821477906e-17,-3.2267611442808406e-17,-0.09646991009955896,0.772655054187311,2.499564987579432,-1.0172251204511469,-1.0908087838445955,-0.31500183486578975,-1.0135382435617744,0.486061563628009,-0.2470691256070622,-0.11079462439710075,-0.2851630055343233,-0.10870250428796797,-0.8181401719230788,-1.7207230861643338e-17,-0.6431091173586223,-0.3237085257350046,1.0135382435617744,-1.9830414794060085
Andorra,0.9582454608263152,1.1064359220780238,0.7665504843351258,0.6020769248025418,0.6248690342660509,0.4879272666691536,0.12106154696247264,-0.215669085464621,-0.16733239310574405,-0.941397837304643,-0.8879258265559032,-0.21722476408264554,0.0,2.0898733168380208e-17,-1.3438762912676915e-16,0.0,0.0,0.0,-3.022890589925348e-17,0.0,2.2268087068810702e-17,-0.244408223556979,0.24859196249824883,0.11147099364558008,0.0,1.2796821235559308e-16,-8.640378947184883e-17,-1.5883238400836748e-16,1.082717458042254e-15,-0.6658621099845042,2.2089749216681027,-0.6773145919836785,-0.38650594595114995,-0.7586909404644021,-2.0099348608756693,0.376512010115883,-0.3026171161540846,-1.088410584284639,0.0,-1.1321842551813203e-15,-0.061428836203257356,-0.3335991853249206,-0.47892435717805604,-0.15136624180584424,8.851247911060602e-17,0.0,1.701285150667825e-17,2.1820845383000165e-17,1.9825481343037697e-17,3.521901798968313e-17,0.0,0.0,1.3208872695275979e-17,0.0,-0.4142264627307214,0.0,0.0,-2.6858299766867987e-17,0.0,0.0,-1.126786845228803e-17,0.0,1.8633047821477906e-17,-3.2267611442808406e-17,0.0,-0.5855740981725112,-0.07307079119667644,2.398825818875738,-0.4565725151144948,-0.3150012763303784,-1.2590873174159858,0.645152236539205,-0.24706909695535348,-0.11079490029242078,3.820352459332648e-17,1.6359479072250056e-17,1.1367836210707854e-16,-1.7207230861643338e-17,-0.6431091173586223,-0.3236590802876134,1.2590873174159858,0.015206828130881825
Angola,-0.5257928870309411,-1.3169838901438742,-0.00405735117039188,-1.697969078315892,0.0,-1.591206459799019,-0.03625891457477614,-0.21554627214212332,-0.16732192075477315,-0.7374930616884771,-0.10250044644182835,-0.2168762781006102,-0.11024262377157497,-0.13841410314560385,-0.5718605779728783,-0.07551377356123466,-0.07932241845893198,-0.09082770712072248,0.33132832301358367,-0.05684209759496089,-0.1705560811843287,-0.23528183063012795,0.24883352782088808,0.11340131622742677,-0.4427301855660888,-0.4596025929823173,-0.3625327700796779,-0.9637207711471565,0.3768650886102318,-0.6658621099845042,1.783787857690337,-0.4039684309777745,-0.38650594595114995,-0.2616581703682391,-1.164819655537332,0.3680709827378297,-0.2961701696666332,-0.8625228735801362,-0.08438330338769182,0.4082631791598219,-0.053685251647789214,-0.1861224310310874,-0.22932241974498688,-0.15120159248549622,-0.3568139727709363,-0.03493019424764527,-0.09578815747073674,-0.13102156775396914,-0.09050377791147753,-0.2521574823127076,-0.15387937852404934,-0.12683016044521506,-0.09012803217206881,-0.16148375505820736,-0.4142264627307214,-0.12463713641446202,-0.11361066428691763,-0.1599606105063784,-0.12406898522316209,-0.10451664035703698,-0.095262495453249,-0.0802799280893238,-0.1503806082490474,-0.17231351115464336,-0.09608760668274675,-0.5517118290733486,-0.07447298769114857,1.974806455236615,0.8194504541163028,-0.2915644219773136,-0.2797763755280674,0.43390188809102515,-0.24693685021843437,-0.11071849450035147,-0.04759442900965659,-0.10866248229582068,-0.559063653653868,-0.1410038385935182,3.1863274662010785,-0.2827553453402557,0.2797763755280674,1.553727710971625
Antigua and Barbuda,0.9582454608263152,1.1064359220780238,0.7665504843351258,0.6020769248025418,0.6248690342660509,0.4879272666691536,-0.8343886112232763,-0.21566911172239514,-0.16733228480842274,-0.36083244160271144,-0.7181188294696096,-0.21722201365277632,-0.12078128321984695,-0.1385672179914529,-0.13065089124228538,-0.07565691929627393,-0.07948087019297745,-0.0902772244564905,-0.15127340385908783,-0.07324508695838647,-0.17132070735594737,-0.24440708652876683,0.24858507893175774,0.11147252364634579,-0.27516023568897857,-0.6162753867669575,-0.3709940054009412,-0.604769716837105,-1.6215846523520683,-0.6658621099845042,-0.8996792258187949,-0.7999870098796443,-0.38650594595114995,2.002472762248905,1.1441223099191358,-0.46530955552318576,-0.3026447875358455,-0.2053949878943104,-0.08432267518684357,-1.8926175169645658,-0.06746279471946864,-0.3336163607435813,-0.47892435717805604,-0.15136624576938196,-0.3928892992900573,-0.12875704124516493,-0.09647913018261181,-0.13110635284871064,-0.09108389296751634,-0.28359184909634505,-0.1540641071123689,-0.12687308380003814,-0.09026931492317133,-0.16165228613513147,-0.4142264627307214,-0.24102464011062824,-0.11376558542753296,-0.16148247353736417,-0.12418324958588899,0.0,-0.09531070412300384,-0.0820894735966261,-0.15041365009026747,-0.17275537600461988,-0.09646874454036136,-0.26101422832388704,-0.07261001368908365,-1.03891765637305,-1.0794831361887007,-0.3148708267991275,1.59847187145543,0.1943614195389693,-0.24706910013887667,-0.11079429636076787,-0.1623796521153862,-0.10870227882668151,-0.26634996209343603,-0.14167083268071937,-0.6431091173586223,-0.3237448873786067,-1.5984718714554296,-0.8406603642917628
Arab World,0.5710174390002059,0.5061824827586673,0.5690529381110997,0.17627229633947705,0.08162861489600041,0.2939424842630324,0.11654350812273279,-0.21426834149689264,-0.15764012171060848,-0.7184158148710216,-0.26233385780397883,-0.2138475900484471,-0.09100541038389186,-0.12700993809981329,-0.005439121461055694,-0.07302087229214103,-0.0727076655802182,-0.08116307543593099,-0.09519790169692684,-0.07012380851855926,-0.12888845009730251,-0.2369953321458612,-2.165799128897342,0.11072735284253846,0.33601480957501456,0.5780610416649238,-0.20527049088963134,-0.618875167176579,-0.3416015929480793,-0.5726947518034035,-0.8024424667448394,1.7147064900361926,-0.38650594595114995,-0.07670660244154283,1.1134048634046148,-0.6531296576664635,-0.23991502728726696,0.07542158478143654,-0.08356530814190515,-0.41074837056866537,-0.0736188426481064,-0.2523030748810072,-0.4333497221693659,-0.14963548722554304,-0.044364939415248814,-0.07726805872113413,-0.08227765804227657,-0.12933903041945843,-0.08896662821720723,0.2829102731320364,-0.14503879608304288,-0.11742901262254977,-0.08304418939113119,-0.15296226781269093,-0.3610956951523964,-0.0019715171352753928,-0.1114375928301542,-0.13119896318318958,-0.12329910846165325,-0.09838246709394632,-0.0927778459870689,-0.0678124594069403,-0.14642712572338204,-0.15065759224320535,-0.0872398468137788,-0.49193305100768636,-0.07439152575065437,-1.0240710748314599,-0.9282354699550601,0.08185735836032278,0.06795638657143177,0.7221146813390794,-0.24567197990426679,-0.10986474377167336,0.029158409153979572,-0.10702185149734665,0.029957412078449437,-0.13264577009153,2.066094518102201,0.17368039897574045,-0.06795638657143177,0.18244811807587885
