Country Name,Commercial service exports (current US$),Commercial service imports (current US$),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Insurance and financial services (% of commercial service imports),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise trade (% of GDP),Transport services (% of commercial service exports),Transport services (% of commercial service imports),Travel services (% of commercial service exports),Travel services (% of commercial service imports)
Afghanistan,-0.10288869152053941,-0.07926582710772748,2.9680902250901107,-0.7114082465381593,-1.0935633128835012,-0.20562225193863307,-0.3028534158240125,-0.2581899644654232,-0.13451325392545516,-2.6134252475744923,-0.716654467105854,0.16644613813941134,-0.5041289387331119,1.7361144153945804,6.010097426196713,-0.48983810425287966,0.4625908510951181,2.6118062597096605,-0.14581720072906101,-0.1977606589028406,-0.2972871214278101,-0.38446594667294015,-1.980792497225477,-0.19553777230957448,5.757095355811425,-0.6209773593781035,0.9470334680743391,1.3305714008523832,-0.4444824315483635,3.5492057391661924,-0.3174223425134859,-0.843762446751782,-1.1170154241757821,2.1199456822941563,-1.8308612195445322,-1.4133892145333171
Africa Eastern and Southern,-0.1027843294360652,-0.0789589908438326,-0.8049400816706701,-0.0025005629618250207,-0.6982805643059078,-0.205459402419982,-0.19509600575718625,-0.2447662485658262,-0.23569462579156045,-0.623904197371515,0.7413247720802625,-0.46053393187487274,-0.4097719952557082,-0.38947220432409074,0.021288882686449732,0.7769817334523453,1.0181575821165663,0.017740937379022406,-0.1454791465691713,-0.19742158451294697,-0.2791060716246429,0.4778281184621287,-0.6615064304049983,0.166285499574593,-0.39962789962047035,-0.26616148488007146,0.29326301304584435,0.33255578600840907,0.8779815020957741,0.9981330014291935,0.0347091958261706,-0.36925923748777173,-0.4262698283041067,0.3191812428878601,0.9358955136597543,-0.09164825238066897
Africa Western and Central,-0.1028557124508391,-0.07905546182401912,-0.5579822116322958,-0.10239073175166948,-0.46219551869911224,-0.2054975571628414,-0.21115232209437915,-0.2580367770723977,-0.5002705594274331,-0.685216279760929,0.10513034951457927,-0.39449946273064657,-0.317584984080688,-0.5489844072980389,0.445526846608824,1.0665259348711174,0.7676791014992936,0.25459797954557706,-0.14565567472731134,-0.19756586970782086,-0.22928664800292506,0.023131023126983407,-0.4160743675985383,0.6680557500967266,-0.29185571678713956,-0.31604976030555704,-0.24071510073003585,0.27778516505939826,0.2775466681295256,1.3032932491276044,-0.45206885086685455,-0.5617966297513783,1.4462180320844282,0.31979258608633854,-0.444679948318833,-0.08897002627960814
Albania,-0.1028849288214844,-0.07925738507099077,-0.7076811834804414,-1.6827916118038968,-0.5300888686481144,-0.20562150234706175,-0.30232284014844646,-0.2581899644654184,-0.47295556366376734,0.7096077516136997,-0.3972945328131702,1.3056550361758337,-0.4993342575147923,-0.45158368980633495,-0.470967081678253,-0.5363539811537563,-0.6609747295771722,-0.3491910605892845,-0.1458148759405263,-0.19775847808404598,-0.27936461609001795,-0.6345810945412144,0.5816072356455128,-0.5821942462577908,1.4689427547248681,-0.4323879787278367,-0.36638222102705176,-0.4143014725570307,-0.45104131233985817,-0.5112431862789859,-0.25890419464172826,-0.367070413402978,-0.8815920999154108,-1.5346985965578532,1.2829657362484186,4.700194832723654
Algeria,-0.10288429390331094,-0.07920444744255395,1.3319280732518515,2.443325970521902,-1.0154595820915535,-0.20557347292084374,-0.268503824713468,-0.2581899644654184,-0.2880725839993091,0.8751062277587467,-0.5696863106097485,0.11998448611628612,-0.06232411055981675,-0.053538995391470195,-0.360893837704221,-0.5243474126309288,-0.12308426489486121,-0.8931969407970427,-0.14574851153749893,-0.19768970492008572,-0.29419682813192477,-0.21735247489358067,0.25713979352429495,-0.062391802852058566,0.24749948580887662,-0.01201293433015249,0.35725918782742117,-0.1800259110829649,-0.390126534165522,0.8398323173801587,-0.8519534228213123,-0.04889436912060503,0.4643005585671323,-0.73053073201268,-1.521008358143563,-1.850801142541037
American Samoa,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,-0.2056221636872998,-0.3031459404406116,2.670156307552099,-0.5276294456259493,-0.7302408627377744,1.738705888417991,0.19718296892641485,-0.4819794123057137,-0.5292689365029086,-0.3589005164494523,-0.157319741784673,-0.10593349960855315,0.6396133738473229,-0.14582265261606026,-0.19776701175951975,-0.2972871214278101,-0.7524686555007482,-0.042666992037463616,1.117146572833828,-0.5447129189592206,0.39845302684663,-0.6016134757379168,-0.47639008325931786,-0.4099893887359681,-0.6753629411768834,0.5374461765418789,2.600285406164975,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
Andorra,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,0.0,0.0,3.623928752544021e-17,0.0,0.0,-1.4663377404305856e-16,0.0,0.0,0.0,0.0,0.0,1.4745293383821513e-16,1.969214532966782e-16,2.984783965063758e-17,-3.0983777153110993e-17,0.0,-1.1933979037477711e-16,-7.664343758013458e-16,0.0,1.3472304932166062e-16,-1.095446353038879e-16,0.0,0.0,0.0,0.0,4.169178551969204e-16,0.0,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
Angola,-0.1028929204462595,-0.0791627062280061,-1.232977836345886,2.777728073955122,-0.6443245330541081,-0.20557820798620552,-0.2725505729728188,-0.2581899644654184,-0.49953974787627436,-1.0591544151397994,2.509144824319237,0.0,-0.3804824201530951,0.0,0.42632384275986196,-0.2739676650088098,3.035326304461377,-0.8419715513066188,-0.14578028683124286,-0.19771991384507653,-0.2965508908239958,0.05500385621613482,-0.18389182058778528,-0.3028962092230624,-0.4443460151179067,0.31862344619432126,-0.14109518916592687,0.2435381085480181,0.445953280815686,0.7595338567281757,-0.3155400598371088,0.6067298771781087,-1.2543095092524845,-0.9689767769020141,1.968275182062867,-2.177208800668549
Antigua and Barbuda,-0.10289207978414136,-0.07926780701273897,-1.4620642372054786,1.8274769111163927,-0.034293870620526815,-0.20562263545059978,-0.3030141552632891,-0.2573682176422397,-0.5653862441391596,0.7379195466554408,-0.7847863638497279,-0.5095461191249746,1.4416239828244464,-0.5970925720166096,-0.32525174202068,-0.5276403017483106,-0.991266488398406,-0.16033004066051942,-0.1458225532824499,-0.19776643085730544,-0.17575576043366586,-0.7456994110608682,1.0115675662304726,-0.7997214393639235,-0.5375579979252998,0.603323871983696,-0.5890729361491847,-0.4466094932904277,-0.447217584794649,-0.9269919719602119,-0.44689125220117887,-0.4756358473691517,-0.37277540816551075,-1.1599120205793367,1.4377644616257885,-0.9236994001070364
Arab World,0.0,-0.07796096139065678,2.046138096762526e-16,5.001938922180009e-16,0.0,-0.2048285328786479,0.1775837061769759,-0.25545324448835294,0.8067001113940626,-0.22709370740384047,0.20975466392805234,-0.2897556579489233,-0.39393647065243126,1.058977680477943,0.5290311217709556,-0.3069457488549239,1.2156637610151402,-0.5564035495555828,-0.14467238790301365,-0.19664727183440966,-0.27819360104513385,1.1419276631310153,-0.09893094304445704,-0.09475950320786693,0.41597589684212716,-0.2706880983721039,1.4281098711899554,0.38740902169781066,-0.3645087869105597,1.0877989041531255,-0.6403428969528846,0.4553099053978682,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
