Country Name,Asylum-seekers by country or territory of asylum,Asylum-seekers by country or territory of origin,"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Net migration,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Refugees under the mandate of the UNHCR by country or territory of asylum,Refugees under the mandate of the UNHCR by country or territory of origin,"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Afghanistan,-0.4154108391675614,0.012334609759456886,4.111497742541995,1.6781974674605065,1.8204506320193203,-1.091715698033457,-1.4781302843772912,-1.4013391637053045,1.2814880304223453,1.0774161560376092,1.3346447774261776,-0.5839995775809161,1.4008630963229072,-1.1297909326333193,-1.3277494635338873,-1.4726643444746381,-1.1791473186593968,-0.808603447544677,0.8594432004236421,0.15668506340329896,-0.5916353793891297,1.2162037279548772,0.3727385014044203,-0.8873331272496467,-0.5511217776585056,1.1916226667725378,0.30003448905494867,-0.8093614206352162,-0.9007554788710243,0.8489809642563249,0.7794664351741185,0.15399763846695785,0.022448888079474368,-2.867281336034725,-0.34107611494707274,0.05017211687417968,-2.817548951489144,-0.43678387163625876,1.4561966546042169,1.8527231210036201,2.2117283381906807,1.965237134492271,3.0261068696324243,0.5827540636933819,2.2588754793377888,0.5592770261778021,0.34718157223287427,0.5174533130478182,0.0014555250761125265,-0.2349969437564017,-0.16451183465440358,1.929509487568261,2.417900691175856,2.109058477959264,-1.852723074532156,-2.2117281844081695,-1.965237599178716
Africa Eastern and Southern,3.038367001757985,1.6130812314716783,1.3040894390627027,1.0092677984874083,1.3963237522386096,-0.33807577489161783,-0.39667338537237223,-0.4496549833394784,1.5686334683231091,1.5401554284611736,1.472111132749017,-1.37183451207436,-0.9892223123971203,-1.2749717141543935,-1.3462477373035164,-1.3104636917792198,-1.2815359742882826,-1.391745159688884,-1.6796542599627733,-1.5010821559498595,-1.2083146654544403,-1.3299577070223205,-1.348230914849378,-0.9134741342461509,-1.189985306510316,-1.298769560531025,-1.39989438603216,-1.4138105982919147,-1.4722360341409042,-1.7289418035998925,-1.6574565386138744,-1.4980748842076848,-1.6145116752705624,0.7652998589661703,0.16383653698854697,-0.5030861708393587,0.8986482247607885,0.5819368408225255,1.0098032639559984,1.2833553470376668,1.1921648081912914,1.2710930128694178,-1.258426161204315,-1.3595094535983288,-1.1525562801078721,-1.006455179052153,-1.0380357634035138,-0.8260034325664067,-0.9994169561162214,-1.0272417144341413,-0.97195183768938,1.307853915272263,1.2410966047684506,1.3133240499708967,-1.2833549952702943,-1.1921650770371661,-1.2710937079446563
Africa Western and Central,-0.23153948901063928,0.1206502086039082,0.23766904190200921,0.8253552269189637,0.5553521981394123,1.55056539673399,3.185890661213043,2.57222222441774,1.1221298893057978,0.8304908079047629,1.3297124953538015,-1.156883281529079,-0.2787486461476344,-1.3824781527143801,-0.8884966716411519,-0.7742804670687008,-1.0048650266066925,-1.391502553888765,-1.6794551125763502,-1.500857507538366,-1.2079956899643973,-1.3295572936087905,-1.3478551563802792,-0.8426420442001425,-1.1897898890340501,-1.2984689105565712,-1.3996334996526185,-1.4136704196655692,-1.4721128002645476,-1.728814164188564,-1.6573389702701176,-1.4979387010881735,-1.6143834568399416,0.6353978909551815,0.016944959129078764,-0.19423672155243965,0.8571397152731561,0.1474086114899304,-0.06511774838366922,1.6162068965316578,1.7868716604420491,1.7292328279690652,-1.2585562571547044,-1.359913982967399,-1.1527918293801176,-1.006991465072301,-1.0385235288586843,-0.8265246425731242,-1.0000461627741206,-1.0277707227823185,-0.9725203053601009,1.5114600639516853,1.2724642577021363,1.4325999085137773,-1.6162067604694428,-1.7868715228688574,-1.7292334286375286
Albania,-0.4153673851452149,-0.37801871757542954,1.901857659996562,1.2092748343994784,1.749451605560871,-0.9159205901958406,-0.8480320065462694,-0.9050248646555702,0.7958511967339517,1.2255378146279778,0.3742580712453172,-0.16843533785915477,-0.22981430597053762,-0.07642699307617123,-0.9070733770860351,-1.1908104725324697,-0.4896799994868701,0.2650804017080143,0.2901227269408937,0.3252689204038839,-0.08788107693964735,-0.0220701808479916,-0.08633624617000406,-0.44306955659208086,0.21350283391440625,-1.2994437258904097,0.1440560466270053,0.4131016332061335,0.46244610688475263,0.38163429077950495,0.5683519577224304,0.44589977774810935,0.5412594491958546,0.23307513438563748,-0.35462810137943046,0.061974112413693244,0.07478943889038067,-0.4367585544856493,-0.36149117152119253,0.734603221948687,0.4924691407750223,0.6146033572424592,1.0280767816429428,1.4878489199362586,1.3391258545804026,1.3777703921000846,1.2669331190063067,1.5276759645780664,1.1005210394715879,1.2318561432716915,1.2266642285482756,0.7981835692851235,0.6190507327988144,0.7114952610951433,-0.7346024995795697,-0.49246954647297225,-0.6146041030478695
Algeria,-0.41416805412845187,-0.3786823994990732,-0.8008246787054712,-0.5018360000404202,-0.6927945800912749,-0.29383584672387447,-0.18181944282911564,0.05198814361103477,-0.7034168350076391,-0.9855952806082331,-0.690376181156528,1.3623931241748624,2.1903810817642984,0.5962918892646802,0.2863500748492538,0.42493452450660524,0.6020817504828504,-0.8957144546998415,0.5670489565158764,-0.009664364048375144,-1.2104135808979106,0.42187550161581383,-1.3494949392581084,0.06730118358408954,-1.1920017716261035,-1.2990898372332411,-0.11726254629836674,-0.849729334680715,-0.9171496803442891,0.5846888148757046,0.6177267330721904,0.027212933373580318,-0.041682242888771995,-2.9100814765153284,-0.3294995823041933,0.1242482753504736,-2.7743648197814554,-0.36459163308028125,-0.3662635874556663,-0.5843853050682385,-0.37784553164465223,-0.4050266395130782,1.3022852197997454,-0.08433478221462122,-1.152201422419106,1.7606361352530304,-1.037633798473351,-0.8254642800324122,1.5986697765412443,-1.0267409239625216,-0.9713650036567496,-0.5648207771033581,-0.3455408178613045,-0.4083304397472376,0.5843892055898691,0.377845387533502,0.40502568148335133
American Samoa,-6.323392495176274e-17,0.0,2.297982846551314e-16,1.2251652977355274e-16,0.0,0.0,2.622657653725301e-16,0.0,0.0,0.0,1.785045110128885e-16,4.915101716118498e-16,0.0,0.0,-4.1748277311938417e-16,0.0,-5.153403397265218e-16,1.5580530869955902e-16,2.534788663534033e-16,0.0,0.0,0.0,-1.8284477803226773e-16,0.0,-1.7011302178834308e-16,1.4730428316342713e-16,0.0,2.8965999168446584e-16,2.6566484418231326e-16,2.3852375051535937e-16,-2.2162169812133392e-16,0.0,0.0,8.370569947834251e-16,0.0,0.1284399958456144,0.0,-8.931224957386792e-17,7.369443386440552e-17,2.4687800772312486e-16,0.0,0.0,0.0,4.074639160276335e-16,0.0,-1.382900575408892e-16,1.723339840827961e-16,0.0,-1.3400285035780183e-16,0.0,0.0,2.4712898591218532e-16,3.261974338168179e-16,-2.8857063405358233e-16,-2.468781569595943e-16,0.0,0.0
Andorra,-6.323392495176274e-17,-0.39950034065499684,2.297982846551314e-16,1.2251652977355274e-16,0.0,0.0,2.622657653725301e-16,0.0,0.0,0.0,1.785045110128885e-16,4.915101716118498e-16,0.0,0.0,-4.1748277311938417e-16,0.0,-5.153403397265218e-16,1.5580530869955902e-16,2.534788663534033e-16,0.0,0.0,0.0,-1.8284477803226773e-16,0.0,-1.7011302178834308e-16,1.4730428316342713e-16,0.0,2.8965999168446584e-16,2.6566484418231326e-16,2.3852375051535937e-16,-2.2162169812133392e-16,0.0,0.0,8.370569947834251e-16,0.0,0.12896247658721838,0.0,-8.931224957386792e-17,-0.3714310143389544,2.4687800772312486e-16,0.0,0.0,0.0,4.074639160276335e-16,0.0,-1.382900575408892e-16,1.723339840827961e-16,0.0,-1.3400285035780183e-16,0.0,0.0,2.4712898591218532e-16,3.261974338168179e-16,-2.8857063405358233e-16,-2.468781569595943e-16,0.0,0.0
Angola,-0.37878778913394273,-0.39007334843344654,0.14649577159283173,0.6381871689057177,0.4380719504693462,0.3136974755990772,1.6876771058192122,1.074499869251782,0.6457357194344757,0.5946071201754171,0.6393639774732981,-1.777444206300346,-1.7000177470190612,-1.4092065546320744,-0.03915496909932505,-0.15579932462284068,0.009333367547300735,1.2504112481283043,0.6731999467681059,-1.5011229731579379,0.660174731240366,0.2599884515799222,0.4260140906784393,-0.41164296133105066,1.555430249699596,0.9521202174418302,1.1524903911303677,1.5943607511134683,1.3209326659925558,0.8576683147383224,0.7539414125071853,1.2339329084569195,1.0537940761051818,1.1230713049003505,-0.3335841929086225,0.26876829563226423,1.4373911806733868,-0.4255169724286808,-0.28217309960533815,1.698162305257394,1.4910806394372569,1.6562955586353045,-1.2581231132759767,0.929066809084172,0.9398131922309402,1.7817712974048412,1.688533282082303,1.9942107690437063,1.877138014654717,2.1551458699525505,2.0995968533750653,1.6783631204603364,1.2127627363898963,1.5266692730909464,-1.6981621653547214,-1.4910807201675558,-1.6562960876244028
Antigua and Barbuda,-6.323392495176274e-17,-0.39894501496378487,2.297982846551314e-16,1.2251652977355274e-16,0.0,0.0,2.622657653725301e-16,0.0,0.0,0.0,1.785045110128885e-16,4.915101716118498e-16,0.0,0.0,-4.1748277311938417e-16,0.0,-5.153403397265218e-16,1.5580530869955902e-16,2.534788663534033e-16,0.0,0.0,0.0,-1.8284477803226773e-16,0.0,-1.7011302178834308e-16,1.4730428316342713e-16,0.0,2.8965999168446584e-16,2.6566484418231326e-16,2.3852375051535937e-16,-2.2162169812133392e-16,0.0,0.0,8.370569947834251e-16,0.0,0.13057609766545483,0.0,-8.931224957386792e-17,-0.3714170876708872,2.4687800772312486e-16,0.0,0.0,0.0,4.074639160276335e-16,0.0,-1.382900575408892e-16,1.723339840827961e-16,0.0,-1.3400285035780183e-16,0.0,0.0,2.4712898591218532e-16,3.261974338168179e-16,-2.8857063405358233e-16,-2.468781569595943e-16,0.0,0.0
Arab World,0.11850873340371572,0.6511352335309784,-0.0060053761042421425,-0.4422183374840785,-0.426931250282794,0.2650889133122033,0.6874599894853219,0.952659465052602,-0.2590341330422473,0.2904423063330535,-0.44154046335221775,0.6540234631867294,-0.3561254961902107,0.3345375879771525,0.04075853913350784,-0.20208068881707514,0.4160493870512758,-1.3935897325878686,-1.679840301381971,-1.5019702243948438,-1.2102007506023649,-1.330501873885618,-1.34940864917616,0.23309598556081074,-1.1916964289836094,-1.2991710352702297,-1.400904637529394,-1.4155754372786713,-1.473871700585116,-1.7291110707750348,-1.6575655834808887,-1.4989089359638923,-1.615294705279823,-2.3343038560147296,-0.07904567402816189,0.795591168853942,-2.2259327283816606,1.24205469144001,1.546091397886723,-0.35039597728763394,-0.5391529667323162,-0.47980424187316284,-1.2570394619521459,-1.3592469296336276,-1.151621647529989,-1.0048873892814543,-1.0379000131603322,-0.8255846952368763,-0.9978959211788414,-1.0268557681201582,-0.9713069755820534,-0.3689420474966283,-0.6402720384205414,-0.5828137832215946,0.3503977223739839,0.5391522866060487,0.47980310278504823
