Country Name,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,3351.5,514.5,52.45,461.5,82.0,847.0,458.0,343.5
Albania,4995.0,702.0,69.0,632.0,-31.0,877.0,563.0,271.0
Algeria,5329.0,807.0,66.15,566.0,-136.0,675.0,534.0,258.0
Angola,3866.0,738.0,52.150000000000006,415.5,-53.085,870.0,593.0,364.5
Argentina,6313.0,896.0,66.78,816.0,-135.0,851.0,735.0,292.0
Armenia,4358.0,709.0,65.64,505.0,-202.5,841.0,494.5,437.0
Australia,7244.0,942.5,70.56,920.0,265.0,408.0,725.0,214.5
Austria,7195.0,925.0,70.4,889.0,127.0,524.0,716.0,173.0
Azerbaijan,5029.0,769.5,62.4,692.5,-204.0,707.0,516.0,230.5
Bahrain,5937.0,877.5,65.9,875.5,34.5,525.0,680.0,311.5
Bangladesh,4607.0,582.0,63.28,777.0,-55.0,746.0,488.5,246.0
Belarus,5590.5,906.5,63.7,651.5,-174.5,674.0,532.0,216.0
Belgium,6916.0,922.5,69.92,856.0,0.05,586.0,715.5,217.5
Belize,6203.5,814.5,64.65,789.5,4.5,775.5,733.5,266.5
Benin,3646.0,461.0,54.45,725.5,-45.0,757.0,574.0,341.0
Bhutan,5082.0,819.0,62.42,0.83,276.0,634.0,723.0,312.0
Bolivia,5767.0,805.0,62.5,862.0,-46.0,812.0,721.0,392.0
Bosnia and Herzegovina,5120.5,774.0,67.0,388.5,59.0,925.5,517.0,300.0
Botswana,3553.0,816.0,52.36,818.0,-195.0,792.0,657.0,245.0
Brazil,6375.0,886.0,64.54,785.0,-61.0,729.0,698.0,299.0
Bulgaria,4851.5,897.0,65.95,652.5,-148.0,941.5,543.5,223.5
Burkina Faso,4036.0,742.0,52.96,622.0,-12.0,757.0,578.0,304.0
Burundi,3706.0,422.0,51.52,427.0,-23.0,677.0,607.0,251.0
Cambodia,4161.0,724.0,60.36,951.0,151.0,828.5,704.0,352.0
Cameroon,4712.0,695.0,51.36,715.0,-24.0,867.0,606.0,312.0
Canada,7413.0,932.5,71.04,918.0,242.0,413.0,791.0,257.0
Central African Republic,3476.0,387.0,42.84,624.0,37.0,834.0,551.0,277.0
Chad,4141.0,661.0,49.74,505.0,23.0,876.0,569.0,314.0
Chile,6436.0,841.0,69.22,737.0,79.0,758.0,752.0,285.0
China,5115.0,787.5,67.61,853.0,-163.0,783.25,665.5,147.0
Colombia,6168.0,882.0,68.08,805.0,-74.0,847.0,776.0,294.0
Comoros,3838.0,632.0,57.48,508.0,-14.0,741.0,626.0,212.0
"Congo, Dem. Rep.",4414.0,733.0,51.9,574.0,-21.0,836.0,541.0,283.0
"Congo, Rep.",4119.0,622.0,55.55,726.0,-104.0,739.5,574.0,304.0
Costa Rica,7141.0,902.0,69.84,907.0,-0.04,782.0,797.0,269.0
Cote d'Ivoire,4849.0,661.0,54.8,717.0,-44.0,757.0,655.0,347.0
Croatia,5579.0,768.0,67.9,662.0,-143.0,932.0,554.0,274.0
Cuba,5418.0,0.97,68.0,281.0,-11.0,783.25,596.0,277.0
Cyprus,6062.0,806.0,71.6,745.0,26.0,865.0,663.0,297.0
Czechia,6546.0,913.0,68.24000000000001,793.0,-67.0,885.0,652.0,239.5
Denmark,7649.0,954.0,70.28,938.0,181.0,187.0,782.0,206.0
Djibouti,4956.0,633.0,54.36,755.0,-36.5,586.5,0.74,181.0
Dominican Republic,5239.0,878.0,64.16,858.0,-68.0,737.0,724.0,278.0
Ecuador,5838.0,825.0,67.16,787.0,-94.0,774.0,796.0,323.0
