Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,27.74303581580444,13.0,,35901.64596055832,78.9,,-1.99594849465619,180.0,130577192.0,1240844672.0,,315.0,19.3954610828072,69.911025522268,,6.9,,63.6382914355326,,,,,,,,,,
Africa Eastern and Southern,AFE,31.723573573148343,80.11727675098983,7.0,65.51668124373677,3373.823792966009,10.0,10204.278732623648,5.905802962929371,14845099.378,224537017621.0,264826776329.0,1.7517010035686982,-91530.0,43.15595501887867,53.865978931214215,25.91505524861879,60.801799046695066,7179.189233628008,33.66731427727753,71.3157148128637,,,,,,,,,
Afghanistan,AFG,68.0,93.40951969123267,9.0,43.301,2133.241270986467,5.9,2560.460286446483,4.822785478769859,652230.0,373958198.0,1981277507.0,1.0769497676240298,18119.0,47.161386009242,50.4888449766978,27.710843373494,16.9,4111.12152901615,23.8077136743646,86.4837438686457,Afghanistan,3572.0,484.0,52.0,578.0,63.0,823.0,547.0,273.0
Africa Western and Central,AFW,47.19450307334764,83.45121151999184,9.0,70.7098818771657,4861.150622078751,12.6,8389.396527199702,1.5540253216717943,9045780.0,197904100064.0,164897570279.0,0.7655198994368275,-373991.0,44.15210615329604,52.90768832556142,14.70588235294117,76.70149874222163,6104.332858407069,46.44633091333924,73.17407650066983,,,,,,,,,
Angola,AGO,38.4,86.73052660830086,6.0,64.119,8504.095320720526,13.0,59391.57251615376,3.233508037842171,1246700.0,67589205296.99999,26752784626.0,4.455239421551091,124478.0,45.1839857033772,52.0969806945144,34.0909090909091,46.8,11465.641894960714,62.1333075212361,68.4179370315136,Angola,3937.0,722.0,52.46,0.41,-106.0,816.0,0.65,371.0
Albania,ALB,99.9,28.944946341721707,9.0,44.101,10196.543281169596,51.8,15627.282452844536,0.3525637852777095,27400.0,2429581496.0,4897000344.0,1.40898210141146,-20681.0,19.794192578173,68.3856722403311,17.8571428571429,41.1,12066.829588282766,54.2979678058548,57.7794652997091,Albania,4551.0,759.0,68.44,632.0,-129.0,863.0,541.0,338.0
Andorra,AND,100.0,21.679216588152386,10.0,,45609.23072242471,84.4,,0.4484922001947353,470.0,,,,-1642.0,15.5445616974871,71.7050010971693,50.0,19.1,,88.5809399121053,,,,,,,,,,
Arab World,ARB,88.96162991907488,55.39048778924005,9.0,42.08925175637636,16033.859876283172,,37809.90655710683,1.26026248256035,13100639.0,1220323246614.0,803061627410.0,5.673032309124356,735533.0,34.31306873365809,61.94758352221076,17.369308600337266,4.48323739439238,21896.45089982877,57.57471355968373,23.525188595839683,,,,,,,,,
United Arab Emirates,ARE,100.0,20.600612508787748,12.0,75.691,87526.32547970614,88.0,98025.6150374945,-0.6018374874312968,71020.0,245050998500.0,183894465605.0,6.03468625064444,279269.0,16.8283164877966,81.6884573970865,17.5,0.1,59486.53096528525,83.9558135814626,0.636339242197725,United Arab Emirates,6621.0,864.0,65.28,936.0,,,,291.0
Argentina,ARG,99.3,39.24669467368096,13.0,55.705,19928.989490167023,59.9,35257.58527217358,23.94879841627464,2736690.0,72571045546.0,73322021312.0,0.83773642721392,5275.0,25.1502863661773,64.0825562537135,36.5758754863813,8.9,26720.584317449942,91.3014507719473,19.68578509316161,Argentina,6582.0,0.91,66.66,737.0,-134.0,823.0,766.0,254.0
Armenia,ARM,99.4,28.21882033964023,12.0,51.339,9454.878528365563,41.9,13006.334445990664,3.3668246422446515,28470.0,1463689707.0,4474893938.0,3.99724455730484,-16265.0,19.6515983819432,69.6400159040937,10.6870229007634,6.8,7842.195226557537,64.3584061131466,45.712370742357294,Armenia,4277.0,723.0,65.52,504.0,-198.0,0.9,503.0,0.45
American Samoa,ASM,,52.137812841651154,,,,,,2.2435897435897374,200.0,50601025.0,271394907.0,,-1354.0,32.6713698477947,62.6652594156205,,0.2,,85.3846465194761,,,,,,,,,,
Antigua and Barbuda,ATG,100.0,31.484924420014547,11.0,,21760.523286425378,63.4,,-2.287571870390863,440.0,185712744.0,342278738.0,,145.0,22.1150406804104,70.2382912524343,10.5263157894737,0.1,,25.2475667667937,,,,,,,,,,
Australia,AUS,100.0,28.38574660758145,11.0,61.343,46123.47509628479,83.4535,125177.759937314,-0.13127264372919,7682300.0,248263777619.0,238444267736.0,1.63819651223089,215823.0,18.933376162926,66.700299430582,26.0,9.2,99326.897430491,86.5740515760243,10.398009041769589,Australia,7364.0,928.0,70.44,933.0,265.0,432.0,0.77,177.0
Austria,AUT,100.0,21.31778315720951,10.0,57.122,47519.852279657134,80.6188,90175.16395515208,1.708722881911612,82520.0,174987605184.0,183271970852.0,0.7571801925799959,56726.0,14.3738718336399,67.4266821192924,33.3333333333333,34.6,79774.71610862724,67.2981308784247,10.52930235338699,Austria,7499.0,0.95,70.2,922.0,164.0,679.0,725.0,163.0
