Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,85.3,80.60636155128067,9.0,32.333,2122.995815126633,17.1917,2972.188540346683,9.406239339313217,652230.0,432910523.0,4068476040.0,,-647402.0,43.5798414355935,54.0650161973572,,20.0,2930.15071218144,25.3939250580909,81.091381513011,1281.0,228.0,54875.0,368.0,,733.0,206.0,576.0
Angola,AGO,48.5,85.30381928566455,10.0,64.619,9588.241295111882,42.0719,34053.084305329256,18.1217716217607,1246700.0,50856991253.0,16225180697.0,1.410163657162,-995.0,44.7578771438631,52.4687842964853,33.6363636363636,,10341.851092222269,69.0506188977513,66.312487849522,,,,,,,,
Albania,ALB,100.0,25.704710448215508,9.0,55.457,21411.404264868648,82.6137,14821.203806895615,9.861609920162875,27400.0,4308978674.0,8393743423.00001,1.20878861551122,-16426.0,17.2224721389952,67.0011896981477,35.7142857142857,,13294.791850526582,57.8643477747383,48.97711716139701,5212.0,724.0,69175.0,802.0,-66.0,846.0,547.0,255.0
United Arab Emirates,ARE,100.0,20.120499014528733,12.0,75.023,75071.65863003506,100.0,90099.91893254012,12.597870386080842,71020.0,345819105552.0,331026461636.0,,322773.0,16.4756028959529,81.8846579747203,50.0,,56997.32764715562,85.5147347682487,1.146015325389917,6738.0,798.0,66.45,932.0,171.0,,715.0,242.0
Argentina,ARG,100.0,34.88566430450464,14.0,57.3,29808.807346800702,88.3754,31925.77415811373,68.99382676923139,2736690.0,86535962980.0,80516890000.0,0.684586409291956,5589.0,22.7507462136988,65.2151737723899,44.7470817120623,,23729.95443396094,92.112838186126,23.27979684080725,6261.0,893.0,67.25,825.0,-128.0,0.81,724.0,284.0
Armenia,ARM,100.0,29.547577010407,12.0,50.905,19161.37005141889,77.0277,14444.303368762268,7.985878528281745,28198.32,5344643857.0,8596679764.0,4.08174595925594,38001.0,19.8625625656376,67.2222792072338,35.5140186915888,,13429.509244458262,65.5624462874485,35.42815376027887,5382.0,811.0,67925.0,0.79,-154.0,705.0,531.0,549.0
Australia,AUS,100.0,28.18937220822487,11.0,64.396,66103.17970669566,97.0424,127336.28733133902,7.199544340720095,7692020.0,401694722486.0,302161284488.0,1.88329708969124,140972.0,18.2355418743903,64.6894260786269,38.4105960264901,,103888.9323428768,87.3343268253813,9.37931001488805,7035.0,942.0,71125.0,854.0,153.0,545.0,711.0,244.0
Austria,AUT,100.0,21.78145201955961,13.0,57.843,72065.49742701056,93.6141,95196.90709245048,5.023431563332707,82520.0,211766887497.0,233517615031.0,0.7667060083267719,157365.0,14.3461537570506,65.8640953229773,40.9836065573771,,85187.42558139387,68.998085127906,8.182661062093109,6999.0,876.0,71275.0,856.0,139.0,524.0,718.0,226.0
Azerbaijan,AZE,100.0,32.71949991777943,9.0,61.116,22552.088656052303,88.0,29120.906039704787,37.27072112937472,82650.0,38144989900.0,14539496600.0,3.7953702508048295,9086.0,22.7976026739958,69.6758832959182,18.3333333333333,,11507.79574445183,58.4382815854684,54.3428702003442,,,,,,,,
Burundi,BDI,10.3,89.25504062659807,,78.385,1104.7771876487784,11.0009,3039.187319005506,15.04938612787501,25680.0,168684935.0,1042466428.0,2.59858091417074,1995.0,45.9888909303456,51.5252590861977,38.2113821138211,83.0,2540.995117076273,22.3202446002597,83.78167422880469,,,,,,,,
