Attribute1,Attribute2,Years & Correlations,CountYears
Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)",2007: -0.852; 2008: -0.852; 2009: -0.857; 2011: -0.856; 2012: -0.855; 2013: -0.853; 2015: -0.858,7
"Age dependency ratio, young (% of working-age population)",Individuals using the Internet (% of population),2016: -0.860; 2017: -0.861; 2018: -0.875; 2019: -0.881; 2020: -0.882; 2021: -0.875; 2022: -0.873,7
"Age dependency ratio, young (% of working-age population)",Population ages 0-14 (% of total population),2005: 0.989; 2006: 0.989; 2007: 0.989; 2008: 0.989; 2009: 0.989; 2010: 0.989; 2011: 0.988; 2012: 0.988; 2013: 0.988; 2014: 0.988; 2015: 0.988; 2016: 0.988; 2017: 0.988; 2018: 0.988; 2019: 0.988; 2020: 0.988; 2021: 0.988; 2022: 0.988,18
"Age dependency ratio, young (% of working-age population)",Population ages 15-64 (% of total population),2005: -0.960; 2006: -0.956; 2007: -0.951; 2008: -0.947; 2009: -0.943; 2010: -0.939; 2011: -0.934; 2012: -0.928; 2013: -0.922; 2014: -0.915; 2015: -0.908; 2016: -0.901; 2017: -0.893; 2018: -0.885; 2019: -0.876; 2020: -0.867; 2021: -0.855,17
"Age dependency ratio, young (% of working-age population)",healthy_life_expectancy_at_birth,2014: -0.870; 2015: -0.883; 2017: -0.869; 2019: -0.857; 2021: -0.876,5
"GDP per capita, PPP (current international $)","Industry (including construction), value added per worker (constant 2015 US$)",2016: 0.858; 2017: 0.858; 2019: 0.852; 2020: 0.854; 2021: 0.854; 2022: 0.860,6
"GDP per capita, PPP (current international $)","Services, value added per worker (constant 2015 US$)",2007: 0.860; 2008: 0.871; 2009: 0.880; 2010: 0.864; 2014: 0.858; 2015: 0.917; 2016: 0.929; 2017: 0.925; 2018: 0.915; 2019: 0.922; 2020: 0.929; 2021: 0.916; 2022: 0.917,13
Individuals using the Internet (% of population),Population ages 0-14 (% of total population),2013: -0.857; 2014: -0.862; 2015: -0.862; 2016: -0.876; 2017: -0.868; 2018: -0.875; 2019: -0.877; 2020: -0.867; 2021: -0.852; 2022: -0.851,10
Individuals using the Internet (% of population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",2017: -0.865; 2018: -0.881; 2019: -0.885; 2020: -0.863; 2021: -0.866; 2022: -0.860,6
"Industry (including construction), value added per worker (constant 2015 US$)","Services, value added per worker (constant 2015 US$)",2012: 0.867; 2013: 0.896; 2014: 0.903; 2015: 0.871; 2016: 0.886; 2017: 0.893; 2018: 0.880; 2019: 0.901; 2020: 0.880; 2021: 0.860,10
Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),2005: 0.913; 2006: 0.918; 2007: 0.925; 2008: 0.931; 2009: 0.954; 2010: 0.954; 2011: 0.959; 2012: 0.953; 2013: 0.958; 2014: 0.954; 2015: 0.934; 2016: 0.940; 2017: 0.950; 2018: 0.955; 2019: 0.954; 2020: 0.944; 2021: 0.946; 2022: 0.938,18
Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),2005: -0.927; 2006: -0.923; 2007: -0.918; 2008: -0.913; 2009: -0.908; 2010: -0.902; 2011: -0.896; 2012: -0.887; 2013: -0.878; 2014: -0.869; 2015: -0.860; 2016: -0.850,12
Population ages 0-14 (% of total population),healthy_life_expectancy_at_birth,2013: -0.850; 2014: -0.871; 2015: -0.884; 2017: -0.873; 2019: -0.866; 2021: -0.879,6
