,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Access to electricity (% of population),1.0,-0.8372057034032148,0.41676536842280093,-0.18846784932783778,0.5016013076742951,0.7969131984825136,0.32900996663431525,0.043901396403693255,0.060719021967784594,0.21984207281323478,0.2187087791132309,0.1472724513535546,0.04080019388285302,-0.7912518120623372,0.7639220985988184,0.13174473971530343,-0.7077438595283215,0.4115755223108127,0.5859420378139683,-0.74185353677665,0.31112489977616287,0.41766551285833636,0.7655024323932559,0.24333683520662905,-0.18292566122776355,-0.0987692876649571,-0.06996051534936887,-0.2592695201358961
"Age dependency ratio, young (% of working-age population)",-0.8372057034032148,1.0,-0.29742681804452675,-0.0035370628542808614,-0.6728093405332061,-0.8808464928044739,-0.43653491601257854,-0.0017700999127094983,-0.07009537030482102,-0.3112734788891383,-0.3028971941696152,-0.1019272838213396,-0.12470607144358499,0.9877845620878458,-0.876257581207327,-0.1878508938817205,0.6590215676699562,-0.5603388353969286,-0.6167355340092959,0.801510154126008,-0.3227835771809168,-0.5104203002883207,-0.8566065175824087,-0.31043508288774907,0.16727361345560254,0.20000513840937267,-0.021220259490192375,0.30408547007594516
"Compulsory education, duration (years)",0.41676536842280093,-0.29742681804452675,1.0,0.014526766028231925,0.21624304333151473,0.34173640068176,0.1569734523833251,0.23715786998906266,0.10113102152120988,0.11544798549666566,0.12934947940946165,0.02799619364185648,0.041857223022467305,-0.2903008388097272,0.20033518551665058,0.1845394865393377,-0.27251426881705515,0.22549823119593074,0.4114340960833223,-0.29296117526024845,0.1814448562184357,0.27298206018713966,0.36932807081250774,0.04528713408109208,-0.13709937811432277,0.04520260767951328,-0.04890526850990365,-0.080716085394123
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.18846784932783778,-0.0035370628542808614,0.014526766028231925,1.0,0.20432011602573863,-0.023213223401488584,0.10858346421815855,-0.033291811412368186,0.04857354072257981,0.09348942514610363,0.08018000549879159,-0.11275506868249952,0.014155945097762208,-0.027269167736025474,0.08893683336696402,0.05375204978825393,0.22244790257635352,0.09958624433210923,-0.029387598761580026,0.1917814767532369,0.15437723938144304,0.22968871653502937,0.02229957165571727,0.04269959387242162,0.2303850931728264,-0.023017689546768843,0.16318757635450507,-0.007409970628723337
"GDP per capita, PPP (current international $)",0.5016013076742951,-0.6728093405332061,0.21624304333151473,0.20432011602573863,1.0,0.7699480104921941,0.8523577643577589,-0.11954571680987704,0.048977027665368406,0.34254005439335844,0.3492448708197339,0.11052404717403488,0.24865743315301383,-0.709170935777427,0.5822597860820797,0.20983377779114473,-0.45777317463533734,0.9215433725894989,0.6647915011561301,-0.7196140351608878,0.40464973239380525,0.45567724437632445,0.7053963616544058,0.2289206734665553,-0.03270099110742687,-0.3921039065615158,0.18784618041179574,-0.23775280156665587
Individuals using the Internet (% of population),0.7969131984825136,-0.8808464928044739,0.34173640068176,-0.023213223401488584,0.7699480104921941,1.0,0.5881962496541426,-0.14814000744703273,0.07953558891537847,0.2849084707362245,0.28403977876372205,0.2150252582170374,0.2650240543226111,-0.8765404376758844,0.7688031695724175,0.1907080111390485,-0.6708588531890743,0.672794816464612,0.7850408003798148,-0.8850246978226851,0.41157790626537855,0.5473933186427059,0.8232889296341974,0.2983970694717188,-0.24145822222049432,-0.27887100569815726,0.14862384176152385,-0.342590384618942
"Industry (including construction), value added per worker (constant 2015 US$)",0.32900996663431525,-0.43653491601257854,0.1569734523833251,0.10858346421815855,0.8523577643577589,0.5881962496541426,1.0,-0.08776978857078613,0.020708988316147654,0.2453045965801643,0.2570883168602607,0.02660314221090264,0.1998670565836448,-0.46269236784187734,0.33037486662360893,0.22106025501592472,-0.2643786872718531,0.901325529709563,0.536484926258993,-0.5358826434372708,0.3561390786359845,0.37072934954625747,0.5475257785930603,0.21277484575757097,0.04676024557738341,-0.44268616030742924,0.22761413594031807,-0.16736862308464603
"Inflation, GDP deflator (annual %)",0.043901396403693255,-0.0017700999127094983,0.23715786998906266,-0.033291811412368186,-0.11954571680987704,-0.14814000744703273,-0.08776978857078613,1.0,0.0034216923488684706,-0.027827864819423214,-0.030146551649064206,-0.0012416281114682834,-0.3148142037261122,0.008097253556757077,0.005655868689820423,-0.013409907001208296,-0.04658883832067079,-0.09470848458908807,0.09995789008734464,0.0022995336819089554,-0.004147268453577695,0.04306156516776861,-0.0006445593922692126,-0.029146580251330954,0.08403950875127893,0.0597880621012349,-0.23351104240012432,0.06620433478568628
Land area (sq. km),0.060719021967784594,-0.07009537030482102,0.10113102152120988,0.04857354072257981,0.048977027665368406,0.07953558891537847,0.020708988316147654,0.0034216923488684706,1.0,0.4870904862305556,0.47076107351231383,0.12622656262449536,0.20049767401562169,-0.07323284222408216,0.05963375652630353,-0.031422942989075775,-0.10837066938957099,0.0072424201740085735,0.11859025972665727,-0.08516269398226989,0.07676287083758059,-0.1330844102480296,0.050432054894307805,0.0015332726996416229,0.04967494494923516,-0.010185973146626167,-0.017885846217676086,-0.0953482633563351
Merchandise exports by the reporting economy (current US$),0.21984207281323478,-0.3112734788891383,0.11544798549666566,0.09348942514610363,0.34254005439335844,0.2849084707362245,0.2453045965801643,-0.027827864819423214,0.4870904862305556,1.0,0.9539332860782401,0.023876465013006682,0.2180213831430641,-0.33925046770447165,0.20257540633182827,0.10206951693324563,-0.24855225365006903,0.32824506359147176,0.26444825683268597,-0.2688193648503927,0.17596212998693161,0.14217477614985946,0.30508734982666313,0.18382977553720783,-0.01118871592279544,-0.1458121963666153,-0.057482559824025024,-0.12317094754980946
