Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,-0.08259231024065203,1.8461021767829338,-0.41299392441651916,-2.3066900846564518,-0.9542119422838307,-2.306558497334031,-0.7120418893670514,-0.13868966604847366,-0.3026601589209596,-0.3105983501207812,-0.3051703723282331,-1.2667388013809167e-16,-0.2882162334025444,1.6994099638121702,-1.6642095073669059,0.0,-0.6019654933498969,-0.8709481396870147,-1.6204030084182326,1.8602375163994536
Africa Eastern and Southern,AFE,-1.7139837644244624,1.4752208487543297,-1.0562099939333114,0.4353954572789493,-0.8698766960486659,-1.8769003337281203,-0.5467176030060833,-0.15443866791749872,0.687541388326168,-0.2038864123368036,-0.19701814397879017,-0.45324015195555706,-0.026964790233723192,1.4286233296639317,-1.3466760031609646,0.4927918438999818,-2.234604621187564e-16,-0.7309625351725348,-1.079469545510789,1.4491208840826493
Africa Western and Central,AFW,-1.4062245681900847,1.6547055327250493,-0.41299392441651916,1.2136553635774425,-0.800381939850465,-1.3984241880433224,-0.6534365614941404,-0.2353048878436935,0.28293704498181527,-0.2327057036402053,-0.24255783853188997,-0.5649708971061433,0.057851647770976906,1.5562688222905694,-1.5158689461293353,-0.5460204481095672,-2.234604621187564e-16,-0.7731466297289387,-0.43210634050468777,1.4147743252172251
Albania,ALB,0.5744564820361683,-0.8441849779967219,-0.41299392441651916,-0.10802950450634466,-0.2300127959858684,0.6189430356557677,-0.45005885213906216,-0.12058427949908272,-0.34625303750805575,-0.3090986069495539,-0.30354040459850573,-0.4017507856886012,0.09785736968544251,-0.9045739373236789,0.5562513457252285,0.9682520143355658,-2.234604621187564e-16,-0.48171350420068854,-0.15262934384286564,0.5023701092508387
Algeria,DZA,0.5744564820361683,0.2961611380001545,0.015816788594675592,-1.8990764405160128,-0.43934238521487834,0.27096119729222046,-0.35143426564116614,0.3986252237867521,-0.18199642727368165,-0.2855762554705616,-0.29144180336254294,1.2233993458321428,0.09892324258168464,0.44089141632154233,-0.1353753759398919,-1.560451724965341,-2.234604621187564e-16,-0.35767193863894803,0.5848749859552278,-0.4647902241222646
American Samoa,ASM,0.0,0.017671151993572602,0.0,0.0,2.731818079455006e-16,0.0,0.0,0.050030648557429044,-0.34815071575264867,-0.3107595195916377,-0.30662158068338663,-1.2667388013809167e-16,0.10710941564645124,0.1667103360411663,0.18364521299172964,0.0,-1.8347766494142328,0.0,0.92910847321839,0.0
Andorra,AND,0.5744564820361683,-1.24691548357116,0.015816788594675592,0.0,1.5368437047937127,1.14981902690257,0.0,-0.3442307708663219,-0.3481318785053678,0.0,0.0,-1.2667388013809167e-16,0.10858218031996146,-1.355715506186995,1.4786533850943344,1.9496719970712317,-0.6837335802317152,0.0,1.2437277387063306,0.0
Angola,AGO,-1.7274491507703786,2.0762866967203992,0.015816788594675592,0.763105603404712,-0.6739231658616189,-1.1939807216455347,-0.024839848597948536,0.20783706974323635,-0.26118542413922524,-0.2910880712004473,-0.3005891442708378,-0.28686865244565796,0.10729909452006495,1.8157943413567497,-1.9381986006738492,0.7779160176837977,-2.234604621187564e-16,-0.5926084984729949,0.3530281987902496,1.2353507744941126
Antigua and Barbuda,ATG,0.5744564820361683,-0.8163784738345575,0.4446275016058704,0.0,0.08997091098899412,0.37528241227054404,0.0,-0.2430971678003271,-0.3481339715328435,-0.30996785749754546,-0.30646750776115955,-1.2667388013809167e-16,0.10790790251763148,-0.7711133715207581,1.1907950203647852,-1.2853790571315213,-1.803327385228918,0.0,-1.6602939580862037,0.0
Arab World,ARB,0.15673963016894826,0.4984657654383517,-0.41299392441651916,-1.5425386288919853,-0.3597438491129465,0.0,0.08239865022223504,-0.012082962734638637,0.5655174316109022,0.19660143376683703,0.07470875031884798,1.4728762773926836,1.7506652300297831,0.6695189670404799,-0.22770129758062338,-0.6318052428942815,-2.234604621187564e-16,-0.12947135824120345,-0.08619910983683546,-0.5845472416145306
