Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,-0.1166702923585188,1.8426102608484112,-0.41299392441651916,-2.4147205831717917,-0.9793962840594933,-2.402291043059793,-0.7485607472454627,-0.1637208786924949,0.030941211646232602,-0.3093137834365693,-0.3063540331438775,0.0,0.06349758290011717,1.7008318409605045,-1.6484510696608552,0.0,-0.8926324266950767,-1.6350361508594142,1.8827052689528263
Africa Eastern and Southern,AFE,-1.7152483079965988,1.4847923664599827,-1.0562099939333114,0.6188507085962892,-0.8959339098885983,-1.9433537840540078,-0.5677751818874006,-0.09001585131895969,7.399714494577264e-17,-0.20624766137449693,-0.19252439172381733,-0.4467808204803599,-1.0073683925256232,1.4373002103956412,-1.3426587300959913,0.46443436868289023,-0.753136212789696,-1.0768865847990343,1.4943315986465555
Africa Western and Central,AFW,-1.4197541122246817,1.6415524169283708,-0.41299392441651916,1.251941527506016,-0.8226762216393844,-1.456724113219123,-0.6871234882799119,-0.15173408360130947,7.399714494577264e-17,-0.2441186970439803,-0.23745446111309207,-0.4092523287552556,0.4920991099613413,1.5513489239187317,-1.4871048822026802,-0.4292790918501302,-0.796614865925601,-0.4183838220643856,1.4110415290424696
Albania,ALB,0.56185732034268,-0.8331936379514376,-0.41299392441651916,-0.01462688613791597,-0.15164536994709635,0.5732765723432666,-0.4536138903893479,-0.11190827701817943,-0.3662198780701355,-0.3077265954180331,-0.30452284022984655,-0.155295374200562,0.0903552357225666,-0.8960158620696422,0.4957069900148676,0.9407189335549538,-0.5011358996225765,-0.14938011174997007,0.4146495747370916
Algeria,DZA,0.56185732034268,0.3125903875025963,0.015816788594675592,-1.9927665928675697,-0.44873744876673316,0.2900535559765152,-0.3642278092759548,-0.19915928245924266,1.1302707513215935,-0.2873597635299832,-0.2910578042419437,2.208954339198499,0.0896656150450358,0.4525175515450429,-0.14654393439678537,-1.6121757946133854,-0.37013073913410593,0.6004103155014862,-0.46486606290521676
American Samoa,ASM,6.559494778469107e-16,0.0008423645348660805,0.0,0.0,-1.320219258838566e-16,0.0,0.0,-3.275076448987872e-17,-0.3835090313442824,-0.30948377219729817,-0.30789323818453945,0.0,0.11789226733129636,0.14226001703310276,0.19534992592312606,0.0,0.0,0.9017090577550294,0.0
Andorra,AND,0.56185732034268,-1.2618689537730579,0.015816788594675592,0.0,1.5438029462462755,1.13312809084583,0.0,-0.10155230560357735,-0.3833374110728111,-4.9246282766049297e-17,-4.8523628408910723e-17,0.0,0.12041860050640919,-1.3714928554839834,1.4887758415468793,2.250143198664614,0.0,1.2397054609773321,0.0
Angola,AGO,-1.6952855545613073,2.103075668499557,0.015816788594675592,0.6937708129866197,-0.7053393220832602,-1.1721094269526007,-0.053944480815826874,0.11293746022692493,0.40880455528160436,-0.2939681901603492,-0.3017396163421188,-0.2948480899145651,0.11807889734963803,1.8343288275845702,-1.9597574112319485,0.7502572222662739,-0.6212867602614202,0.3788928466816289,1.2421518315492195
Antigua and Barbuda,ATG,0.56185732034268,-0.8204112675561527,0.4446275016058704,0.0,0.08752817099735923,0.3204110611430835,0.0,-0.12706290176781346,-0.38335647999186345,-0.3094620198592481,-0.30771048570312187,0.0,0.11921119532677193,-0.7794585235904625,1.1756922404719659,-1.8236211816765469,0.0,-1.681462388384286,0.0
Arab World,ARB,0.17622422680957622,0.486932238072927,-0.41299392441651916,-1.4889433003721695,-0.38834183221935104,0.0,0.08114195781731041,-0.17961101625121728,7.399714494577264e-17,0.14165933731764932,0.12390375913125265,1.2791666088734108,0.6686590732279762,0.6598785498571356,-0.1871140609312876,-0.7078767972518983,-0.05500288370856874,-0.08769254736325995,-0.6323067379090761
Argentina,ARG,0.56185732034268,-0.42327450004889006,1.7310596406394547,0.1208833953459914,0.037438839425827763,0.8504008000316111,-0.11024974029707622,2.3034999577204442,1.3558878452428598,-0.2831706360970365,-0.279038517888223,-0.5675111570126335,0.12391449938656532,-0.38538990579831256,0.31211994520273906,1.626001282415845,-0.13292251671309457,1.3928362240720593,-0.6120507664224366
Armenia,ARM,0.56185732034268,-0.6594638281152181,0.8734382146170652,-0.4530710323850616,-0.2778285673892163,0.4305167090955376,-0.47447429432489335,-0.1604646359615495,-0.365711729515228,-0.30604770342735604,-0.3030212251716604,1.4205048555214608,0.20456028908058352,-0.6477425115704256,0.598473470409409,0.9223625186235128,-0.4729546375900883,0.1902986904932252,-0.12462963124580152
Aruba,ABW,0.56185732034268,-0.8184553881812776,1.3022489276282598,0.0,0.6308826580572421,0.0,0.0,-0.0865549442631702,-0.38352174395698396,-0.30944651534119916,-0.30736677911104826,0.0,0.11937847955052941,-0.8818063677073806,0.45892350264506493,0.0,0.0,0.01510439554603511,0.0
Australia,AUS,0.56185732034268,-0.7165357680843554,0.4446275016058704,0.7127829927796373,1.5634735487073648,1.2066910340771786,2.0048282493728564,-0.09853157554328006,4.505647400168536,-0.16332814004994622,-0.19353922271261237,-0.10472756845636982,0.2787935168638987,-0.7979992664202347,0.13361823435664313,1.1878619239895625,2.969826366300751,1.1791917537012993,-1.1693440267944502
Austria,AUT,0.56185732034268,-1.0189678478084851,1.3022489276282598,0.04192464865458072,1.6096324101840251,1.128084424444373,1.36490976245299,-0.08534407968392187,-0.33118391746458486,-0.21928964899335165,-0.21804029015245208,-0.5193295282056546,0.1246951590974335,-1.167692474654867,0.2993568359253712,1.4237032936363914,2.101061941447137,0.3505313344872194,-1.227073695550957
Azerbaijan,AZE,0.56185732034268,-0.5096886446395461,-0.41299392441651916,0.3394264620483849,-0.20098217941279606,0.8399860154875748,-0.14250066035086992,-0.3895059973542441,-0.3311012854820246,-0.2958160137109,-0.3011052593636472,1.1761630921892108,0.023481375796663425,-0.3701384180896209,1.0184621936838405,-0.6239320950930244,-0.5638780867423798,-0.1359053564744435,0.7303095793465236
"Bahamas, The",BHS,0.56185732034268,-0.8058267803519404,0.8734382146170652,1.0190148887314594,0.35928040423714863,1.104612501723076,-0.03337635374123847,-0.09520043603692417,-0.3772734948141581,-0.3090521759922982,-0.3063361534720064,0.0,0.12035032123140614,-0.7684469246498099,1.1109405740887455,-0.6876676525429588,1.0570824474568845,0.8994048776370442,-0.8810620496543579
Bahrain,BHR,0.56185732034268,-0.8838430959172133,-0.41299392441651916,1.2359089398395608,1.2694663565172581,1.3402595088692317,0.23359612203133828,-0.29661570529414716,-0.38312765296323503,-0.3045387697133632,-0.30191493021128735,0.5896355477847431,0.14197322963695513,-0.7026318249846129,2.369535218238767,-0.4996477580656699,0.552046788630274,1.7470553566191762,-1.5208062301773864
Bangladesh,BGD,0.5387781498426392,0.053090630874292374,-2.128236776461298,0.15793774575891367,-0.7273245832116743,-1.183724867880753,-0.6245881567613835,-0.09046199720045739,-0.3010168875237388,-0.29385570749956524,-0.28360455492420267,-0.49897418530780396,-0.5065888438586755,0.22654842889020999,0.26179403837819926,-0.4210823021590864,-0.7687828710237964,-1.33167495921407,0.8984165296736331
Barbados,BRB,0.56185732034268,-0.7954169487549058,0.4446275016058704,0.34427650791395037,-0.20066263709571142,0.4303211476390338,-0.08143215058943301,-0.18179431918125757,-0.38336283629821427,-0.30936148909465405,-0.30713225269223565,0.0,0.11912015629343453,-0.8519008527326649,0.45439203407110934,0.11141689898550738,0.4506686243442514,-0.09433478687852619,-0.7469353276205017
