Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,97.7,84.03269031830325,9.0,38.913,2583.485332398769,17.6,3516.514564739679,6.521479848325313,652230.0,863832777.0,6718755602.0,1.17096838242129,9159.0,44.5768321059625,53.0470145105464,27.8688524590164,18.9,3386.220044506289,25.1437258839803,82.39611910485431
Africa Eastern and Southern,AFE,44.39086053336394,75.51555439022351,7.0,62.0925833229436,3801.41318342956,21.6,10659.975910073112,4.383673048463578,14845129.446,196985186101.0,231569186485.0,1.0780652936547923,100706.0,41.66663269870301,55.176225359631125,29.274563820018383,62.69070961276661,6600.168788246804,36.09733070176976,70.71391279797344
Africa Western and Central,AFW,51.2915769115352,80.1387005962267,9.0,68.81502972503438,5484.249417624076,28.5,7873.652716814849,1.358628508549813,9045773.0,138153068012.0,137705605494.0,0.7253444106617113,-270812.0,43.19255960837772,53.89725543048035,15.398773006134965,75.07878816782517,5708.0456804186015,49.89007514949972,70.92004781532256
Albania,ALB,100.0,26.09162228712134,9.0,53.392,15487.47773274569,68.5504,13900.892809516605,1.0006328555612214,27400.0,2984977429.0,6481687446.0,1.28080596201472,-23094.0,17.7442916565786,68.0076096803147,29.5081967213115,40.1,11973.525670492569,56.7639071287255,51.1991823398025
Algeria,DZA,99.5,48.18562554612496,10.0,37.011,13892.533344620471,55.7907,19512.44018106704,0.8829928288470228,2381740.0,35311723330.0,42458181605.0,5.32695853750995,-27786.0,30.6392172353534,63.5858047801217,25.7575757575758,0.2,16466.398847294502,72.4824561380175,26.87865055292578
American Samoa,ASM,,47.57612743717335,,,,,,1.7482893000705817,200.0,24764380.0,171742535.0,,-1212.0,30.2774402995479,63.6389890258719,,0.4,,83.0542171797274,
Andorra,AND,100.0,18.931259136272583,10.0,,57475.0692842215,90.7187,,1.3747535082918887,470.0,,,,1245.0,13.716516178807,72.4577794922424,46.4285714285714,17.2,,88.5391793666245,
Angola,AGO,45.6,86.45727991180442,10.0,62.644,8572.878956106713,32.1294,45803.04653086986,19.86588752358797,1246700.0,34533574131.0,14150390890.0,1.76791430458684,58984.0,45.1127665227853,52.1792554940819,30.0,51.0,11285.479212785403,66.6637823180533,65.26900213124809
Antigua and Barbuda,ATG,100.0,27.287697374495984,11.0,,26550.589844733007,73.9792,,0.712335041612306,440.0,1857351775.0,566611473.0,,0.0,19.4070936424283,71.1197578901859,11.1111111111111,0.7,,24.708337524045,
Arab World,ARB,89.92899630834124,54.73626770718267,9.0,40.52005619735454,15746.004884203929,,37621.3568551962,2.3662310651597167,13100544.0,825881720651.0,802412473822.0,5.24917417628606,-51896.0,33.89303198988213,61.92061270995858,17.566539923954394,4.706331580205594,23532.630936062,58.89628793771021,22.91182734716743
Argentina,ARG,100.0,37.493742328622496,14.0,54.355,23516.82619808864,79.947,32032.29513050172,49.19557905966119,2736690.0,63463140996.0001,48443181000.0,0.699696134379197,5397.0,24.0972913239252,64.2701694847154,40.1574803149606,10.7,24591.12243949646,91.8567844513802,22.71499960036828
Armenia,ARM,100.0,30.00645627396156,12.0,48.002,14975.753953815694,66.5439,15644.600891181586,1.065622639234192,28470.0,2634372777.0,5477203859.0,4.78770584078564,-14330.0,20.3005780187581,67.6540902691366,23.4848484848485,10.3,12201.50032645237,65.0047033570428,38.558798749928016
Aruba,ABW,100.0,27.451990886405557,13.0,,38543.90729360408,,,0.9136169649440262,180.0,77826394.0,1313080772.0,,420.0,18.5363666928163,67.5216668534499,,8.3,,62.288276286885,
Australia,AUS,100.0,28.5366054464316,11.0,62.689,52885.83138163773,93.6099,137095.6493577775,3.4766003141485413,7692020.0,267562881483.0,222888107834.0,1.8800024062683305,207142.0,18.661163799115,65.3937724215717,30.4635761589404,10.3,102169.89316155796,87.3019647888406,9.82873725665
Austria,AUT,100.0,21.64394599630676,13.0,58.121,60354.9279422121,87.7522,95498.48244427163,1.4736850282358631,82520.0,178432949332.0,184756251938.0,0.753133437614439,41090.0,14.422845223827,66.6368554183168,39.344262295082,34.0,81955.56335392776,68.3176044750522,8.888496988834175
Azerbaijan,AZE,100.0,33.7222841471565,9.0,61.966,16675.31793615583,81.1,30445.05200915629,-0.2216527849646041,82654.0,19633732800.0,13666692100.0,3.8490186357853,384.0,23.5467769812991,69.825581884135,16.8067226890756,1.7,10276.213997244646,58.1308191977779,55.16586903969311
"Bahamas, The",BHS,100.0,28.632516117714136,12.0,67.455,36116.00020253532,90.6933,43638.87692325679,4.447084182288762,10010.0,537455103.0,3139633585.0,,1002.0,19.8496482544477,69.3259888845112,12.8205128205128,1.1,53600.225755249456,81.8257463283204,13.716310261925845
Bahrain,BHR,100.0,26.14013944703248,9.0,70.545,56599.52143644114,99.7015,46193.39689018895,0.1648021994587623,780.0,8168745652.0,18539762451.0,4.02986101554975,-31967.0,20.1004529604647,76.895078686694,15.0,0.0,41551.19113498842,100.0,0.788277933352838
Bangladesh,BGD,92.2,45.4449279247387,5.0,56.791,6047.124015041252,30.4,5922.8205563047295,3.6581375516217207,130170.0,29805901038.0,51303304301.0,1.24410082330294,-1016796.0,29.4761618478294,64.8612797816401,20.6303724928367,26.1,5190.337717952928,30.8228396343012,56.38837878712613
Barbados,BRB,100.0,27.03648650073268,11.0,59.465,19971.11856987172,74.1791,32180.88169196804,2.43088659508706,430.0,326804239.0,1381347791.0,,-65.0,18.2400896135416,67.4642390405661,20.0,3.4,39339.47746657359,59.2841140645486,20.04388531304852
Belarus,BLR,100.0,25.08835064465137,9.0,61.575,22301.593241183928,82.7892,13449.36844292751,8.576989091050535,202965.0,31962015200.0,39101736900.0,1.39642297566801,-33954.0,16.9734318649001,67.6546230933346,40.0,7.8,10190.897138965687,77.4550771852757,7.22194189675353
Belgium,BEL,100.0,26.359073912887567,12.0,51.005,56712.46957197804,90.2754,90611.25284270413,1.8542407656893405,30494.0,443450682162.0,428740550397.0,0.8870049509338821,58469.0,16.8907407765187,64.0794211416653,42.0,10.2,91317.2280747187,87.0961631189222,11.42871396711424
Belize,BLZ,92.7,44.43043871427397,8.0,63.413,10499.96207319896,58.7652,12396.037450570571,-0.0851439516099361,22810.0,244854456.0,985860029.0,1.01662701573035,-606.0,29.4165672053775,66.2083023934209,9.375,30.4,12255.894762987373,42.9077622153323,29.980196185159876
Benin,BEN,40.0,79.27008779510476,6.0,74.183,3148.979695978385,20.5,2349.9713691586467,-0.39755379308734,112760.0,853493660.0,2940973582.0,0.4733139055520819,3366.0,42.8769823886765,54.0897463650396,7.2289156626506,46.5,3086.4475816606955,48.7125500590248,81.9076739365036
Bermuda,BMU,100.0,21.771552024531328,13.0,,90984.45767083182,,,2.4184945361273265,54.0,56127762.0,954920660.0,,286.0,14.6185283978349,67.1486733118068,,0.8,,100.0,
Bhutan,BTN,100.0,34.56441926621119,,64.559,12909.100984039864,74.1794,15222.39277106964,3.1080083741491364,38140.0,517921295.0,2645584144.0,,287.0,24.1635330481261,69.9085018252565,14.8936170212766,81.0,11026.730066973116,39.0746823405146,70.7341889791536
Bolivia,BOL,95.1,49.67282603271019,14.0,71.428,11005.354116915614,47.4748,6853.860714097781,-0.1767471800729225,1083300.0,8804375513.0,9822402333.0,1.45127092717043,-8981.0,31.2971112127176,63.0065128086121,53.0769230769231,13.5,5976.465549143881,69.7334986708387,64.1768785065462
Bosnia and Herzegovina,BIH,100.0,20.525000280209373,9.0,41.139,15474.845586840222,69.9463,10745.627505740587,2.4729699173427804,51200.0,6568444135.0,11154504092.0,0.8073242248853221,-27841.0,13.6840676806954,66.6702435755379,21.4285714285714,36.8,17692.443684902155,49.4650440037758,20.13351975481252
Botswana,BWA,70.1,52.90602329455454,,50.724,15960.01561439028,61.3865,43862.92852576785,0.508004101032185,566730.0,5000718872.0,6337672465.0,3.08122244554008,-11770.0,33.2697635547277,62.8846829208051,10.7692307692308,26.2,17942.552044934968,66.3271694845464,27.04741611380168
Brazil,BRA,99.8,30.22920068813407,14.0,57.142,16069.838015161047,73.9124,17360.102731863313,4.224258863782367,8358140.0,222128994318.0,180529137352.0,1.38279724638797,-129216.0,21.0598118773538,69.6671137738846,15.009746588694,47.5,17324.986675577762,86.6797991084296,27.601150828178262
British Virgin Islands,VGB,100.0,23.53266888150609,12.0,,,,,,150.0,,,,419.0,17.5150091359958,74.4343238676174,,1.2,,52.3907871425786,
Brunei Darussalam,BRN,100.0,30.1608737225099,9.0,60.517,69353.67995148485,95.0,186926.71219823876,-3.3337276418228896,5270.0,7251239210.0,4959700385.0,3.07858724948281,456.0,21.9466657630794,72.7649769585253,9.09090909090909,0.0,32693.545114633984,74.7923311783673,6.268202751753921
Bulgaria,BGR,99.2,22.432898004967548,11.0,54.309,25211.61773292769,67.947,13952.401945292046,5.282644873841974,108560.0,32321773086.0,37364061922.0,3.14495072906354,-2156.0,14.3870039419572,64.1335371141353,25.8333333333333,19.3,17562.107940626152,73.7162322998047,6.865060596100616
Burkina Faso,BFA,17.6,84.0657621034155,10.0,74.13,2232.1628201658523,9.27181,2622.432852417454,0.5129005155612703,273600.0,3239480569.0,4187444440.0,2.2125520849195004,-25240.0,44.5027699590484,52.9380433430521,13.3858267716535,72.7,2473.805995129427,26.1187254401157,80.79520506303339
Burundi,BDI,9.8,94.2212566861201,,78.909,868.4237316608336,6.1,3011.3606958399914,0.2934948893060749,25680.0,153025354.0,727380376.0,2.8078168112503,14253.0,47.3474188162847,50.2513129688442,36.3636363636364,84.8,2392.1951207350576,18.786178154187,84.7377561639709
Cabo Verde,CPV,91.4,43.1169882925993,10.0,50.468,8645.75646859343,61.9434,6195.111303984044,0.6948711910884242,4030.0,225102092.0,1373560881.0,0.4318649838231629,-4001.0,28.3753870812131,65.8103224250346,23.6111111111111,19.7,11674.053103884917,71.6254285086577,35.7537600559636
Cambodia,KHM,84.0,49.40383854596205,,82.324,6153.994395284272,52.3059,5563.256095080944,2.7925574107017184,176520.0,13860034971.0,19815329027.0,1.62193704891153,-57268.0,31.3236501189469,63.4032719741108,20.0,53.0,4004.15063547858,39.5830241256026,53.6343183294795
Cameroon,CMR,63.2,78.46920681089875,6.0,65.003,4241.111749205922,36.5392,6641.730828249834,1.169771819115411,472710.0,4077826693.0,6532720678.0,1.06457837839838,-12255.0,42.7437265484975,54.4719742477239,31.1111111111111,78.9,4705.226379380565,53.9487914119331,69.7334962750829
Canada,CAN,100.0,24.04080135977877,10.0,62.065,50498.97310574482,91.9129,106286.53964531775,1.5460707339358066,8965590.0,446050938755.0,475679718880.0,1.28451224366918,387685.0,15.9834514706633,66.4846890068848,28.9940828402367,22.4,74253.90513105529,81.7363672047941,10.566511844344216
Caribbean small states,CSS,97.3685903913769,33.65065680364335,7.0,56.4656424008719,22157.001883504363,,35512.67030690364,2.3296222455896256,398527.61,13420728567.0,19758912341.0,,-40925.0,23.015963930345663,68.39677999628636,23.4375,5.888228155339806,29302.02948203238,50.06134488622186,21.72356013088515
Cayman Islands,CYM,100.0,22.042800796657165,12.0,,72697.3671881501,,,3.3963097823451704,240.0,,,,859.0,16.7681613617122,76.0682935523638,,0.0,,100.0,
