Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,85.3,79.46539662655685,9.0,32.323,2201.722906916772,17.7089,2917.495982539789,2.9236621312166875,652230.0,438773186.0,4080476484.0,,-48958.0,43.2262038611198,54.3962586106817,,2886.51561817157,25.4730529631167,81.46368472153179
Africa Eastern and Southern,AFE,50.66751579448542,72.25791521045251,7.5,63.59663509390451,4501.6011005615965,27.8,10726.370268261617,6.921322384723851,,255916202580.0,290440346006.0,1.044193838612996,-989975.0,40.568992614496736,56.14470391206209,30.51805910251733,6624.723288718043,37.77230124083488,72.27560279148022
Africa Western and Central,AFW,57.069266580359525,75.4155134420043,9.0,70.12328284588278,6520.280312540584,38.5,5571.22461829189,3.5738095636314924,,162042535387.0,177410307016.0,1.13387269537417,327673.0,41.71895523411426,55.318796381766205,20.767716535433077,5459.586041567275,52.28290818729023,70.30513969886495
Albania,ALB,100.0,25.567010949948425,9.0,57.066,25011.118111019867,83.1356,15657.46734915023,5.733907045644088,27400.0,4373050588.0,8687186629.0,1.7407334644623,-25357.0,17.0419734995937,66.6560264328305,35.7142857142857,13377.806238341394,58.2106086137857,46.73265883685789
Algeria,DZA,100.0,48.64639630166168,10.0,36.673,16824.487903462657,76.9081,19518.420898872857,1.0015313996441648,2381740.0,54857785548.0,42561016859.0,7.390393273564889,-25963.0,30.6393475431697,62.9837937905979,7.86240786240786,16888.47138192263,74.732808364138,25.925219107366537
American Samoa,ASM,,42.36689458504812,,,,,,,200.0,17409786.0,208316745.0,,-1159.0,27.5109951389912,64.9386586982597,,,81.3721542708222,
Andorra,AND,100.0,16.932257292343465,10.0,,71730.66868216502,95.4456,,6.295600824018237,470.0,,,,1061.0,12.2476996141288,72.3341495992876,50.0,,88.8201609217082,
Angola,AGO,51.1,84.71191899065578,10.0,64.369,9753.600467637832,44.7581,32920.837735093024,17.92923345668909,1246700.0,38477001891.0,15688909725.0,1.40725542077164,-995.0,44.5722650283786,52.6162856035605,33.6363636363636,10158.013698541426,69.8515032220457,66.30957435457711
Antigua and Barbuda,ATG,100.0,25.82448464962251,11.0,,31601.75271468767,77.5756,,4.911940849072522,440.0,71328875.00000009,668064980.0,,0.0,18.2172307923121,70.544014659944,5.55555555555556,,24.4500156687422,
Arab World,ARB,91.64542994445094,52.15814254951936,9.0,41.86700544304573,18488.7415611006,,38755.77823436781,2.0618027220975392,,1118298369637.0,1086474866202.3976,5.168553363320299,482824.0,32.73018565487887,62.75182379678904,17.728237791932056,25333.240837483914,59.56994080030898,21.96393450445983
