Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,78.38842882938837,9.0,32.408,,,,,,-44089.0,42.8875055536677,54.7115244197713,,,25.7007352636188,81.720045966335
Africa Eastern and Southern,AFE,71.49904219543917,,63.6615130879332,4635.788224045503,28.8,10627.757336648292,6.077633028588373,0.976005194817781,-670014.0,40.3019379766906,56.36710180901128,30.232558139534888,6533.9200430435385,38.24144142896027,72.02941629132468
Africa Western and Central,AFW,74.11590996645857,,70.07097962915323,6815.990961151171,40.0,5623.677127396639,4.027244795577651,1.1692575616518432,-10854.0,41.29511303651318,55.71693364963428,20.784835384103754,5476.002939171545,52.8595642244259,70.11869428242719
Albania,ALB,25.425255235706008,9.0,57.164,27146.381474728158,,15730.811068748448,2.3531809027574724,2.0378622893667897,-24472.0,16.8407829528601,66.2364608476109,35.7142857142857,14267.278906473835,58.5463634043555,46.366794261257496
Algeria,DZA,48.07353089905435,,36.363,17620.742395612582,,19517.64617658318,3.3749774449959062,7.97145723551219,-31240.0,30.3290046531181,63.0887832742159,7.86240786240786,17486.811686067304,75.2792907190618,25.74918357497533
American Samoa,ASM,41.58298488789385,,,,,,,,-1110.0,27.0084464877579,64.9470758045547,,,80.9446986961818,
Andorra,AND,16.469374640646667,10.0,,74939.47460385783,,,3.1436554169799398,,988.0,11.8852784134249,72.1690312738368,50.0,,88.8850044816278,
Angola,AGO,84.00342138156503,10.0,64.383,10118.608994540782,,32750.92070644124,24.604584346650316,1.00049213337543,-2629.0,44.3509627519372,52.7966160558179,39.5454545454545,10213.756321798932,70.6551379036435,66.2335410114565
Antigua and Barbuda,ATG,25.27790398303801,,,33386.191712789405,,,6.180409539163918,,9.0,17.7996512799731,70.4158512981023,5.55555555555556,,24.3906919254799,
Arab World,ARB,51.2930597878738,,41.87790464496219,18870.314811050725,,37827.09954491644,4.16750069443065,5.256792186584478,519176.0,32.33250990917308,63.03486313751933,18.15243738217073,25607.395382904662,59.81987524492743,21.809821187838157
Argentina,ARG,32.7431422852471,,57.439,30431.1931223693,89.6672,28964.32451152088,207.60524173447152,0.618350391157195,3454.0,21.6039426858612,65.9800531593914,42.4124513618677,22776.25905454969,92.2742315972952,22.423138634851835
Armenia,ARM,28.68631007683346,12.0,52.485,22823.17952556931,,15044.764317550633,1.4010608154497532,5.48174920349075,-29966.0,19.2370774424519,67.0601533606123,36.4485981308411,14871.598750057205,65.8113671449901,33.48078149641906
Aruba,ABW,25.485059467940545,,,50649.301523221184,,,4.14429063164188,,141.0,16.8448764869454,66.098801190019,,,61.7909396819594,
