country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,-0.018577514861941834,-0.9819515209343249,-1.6350688947493686,-2.6413976568169484,0.7500395458776283,0.05846771581759371,-0.5515451390222114,0.627212251578448
Albania,ALB,0.2287770749652204,-0.1591040009109755,0.6489367364327981,-0.28837315461264934,-1.2170677326350958,0.12789411737190456,-0.21612484494062376,-1.9300354841791139
Algeria,DZA,0.3231687481869359,-4.82200682879014e-16,0.3582451106459776,-0.18901955142316454,-0.05820815998178619,-0.2667401651473361,0.0,0.0
Argentina,ARG,0.7960952340208646,0.663743519112374,0.4689847776123853,-2.6408594914663386,-0.9170005206585785,0.5992628437143309,0.8583571140664958,0.03142100626179722
Armenia,ARM,-0.2073608613053729,-3.2653109741785,0.26134790205037006,-0.7437438358977881,-1.2370722134335301,0.7308076045540778,-1.0063523174379234,2.032907220997421
Australia,AUS,-2.3181280954948686,0.7825050168477027,1.0088406540736257,1.2143500936283087,2.030326316977435,-1.1875534910255643,0.8413018448759066,-1.9307802232357598
Austria,AUT,1.2133548356471147,0.6086042523066856,0.9673132789612231,1.0653196888440815,0.7900485074744973,-0.5298296868268298,-3.4867001158253106,-0.48058709518219955
Azerbaijan,AZE,-0.2794857808440171,-0.3542121757618728,-0.16776830744446064,-0.5698750303161897,-0.8903278795939992,0.6102249071176432,-0.5572302287524078,0.59928453695423
Bahrain,BHR,0.5521290632324305,0.4516694160135725,0.28903281879197246,0.9245687509923113,-0.09681680792276473,0.08769988489309302,0.15340598752214227,2.004979506373203
Bangladesh,BGD,0.029828471405604594,-0.9395367003145647,-0.23698059929846574,0.08420285734791874,-0.05700789113388011,0.3032871318249004,-0.6709320233563357,0.7854693011156834
Belarus,BLR,0.3531804596728147,0.6255701805545897,-0.08471355721965534,-2.6409836834703255,-1.1637224505059371,0.0548136946831563,-0.4662687930692654,0.0034932916375792137
Belgium,BEL,0.9960119573058313,0.680709447360278,0.8704160703656155,0.6968834103497419,0.06321903846471111,0.021927504473219575,1.0175396265119951,-1.9305940384715983
Bolivia,BOL,0.47661572465505814,0.15476567167525057,-0.16776830744446064,0.26635112986197423,-0.05727461754452591,0.3288652797659623,-3.486643264928009,-1.9295700222687104
Bosnia and Herzegovina,BIH,-0.06165884264005815,0.010555281568065622,0.5658819862079928,-1.1328787817232704,-0.9103323603924337,0.8842764922004492,-0.8471698049924242,1.8746501714601855
Botswana,BWA,-0.6018696493858763,0.4050131133318362,-1.7042811866033736,0.775538346208084,-0.977013963053882,0.449447977202397,0.016963833997428658,-0.33163928385303687
Brazil,BRA,0.9877829396403484,0.5746723958108774,0.13676577671316112,0.6927436768835133,-0.4368929814961509,-0.1278873620387144,0.6366386145888363,-1.9305009460895177
Bulgaria,BGR,-0.4280921586853846,0.3074590259063876,0.3167177355335749,-0.38772675780213417,-1.0637000465137647,0.9135086612759485,-0.574285497942997,0.28277043787975925
Burkina Faso,BFA,-0.368068735713627,0.010555281568065622,-1.6212264363785673,-0.21385795222053575,-0.2901934556409647,0.2777089838838385,-0.27866083197278413,0.08727643551023323
Cambodia,KHM,-0.3172424501327033,-0.3117973551421125,-0.5415146834560884,-2.6399901474384304,2.2637119262925043,0.7490777102262649,0.27279287185626666,1.9956702681651302
Cameroon,CMR,-0.11732572684773654,-0.04882546729959877,-1.8427057703113838,0.6347874083563139,-0.08348048739047507,0.6723432664030792,-0.11379322979708854,0.6179030133703753
Canada,CAN,-2.3180312835223336,0.7782635347857267,1.091895404298431,1.2226295605607658,1.4568645340889799,-1.0158144977070058,1.0061694470516023,0.2362242468393959
Central African Republic,CAF,-0.5946087514457443,-1.2194745164049825,-2.825520314638256,-2.6410250808049875,-0.27685713510867505,0.5627226323699568,-0.773263638499871,0.45964596383314
Chad,TCD,-0.5098982754775381,-0.15486251884899946,-1.9811303540193939,-0.5533160964512756,0.09655983979543525,0.6102249071176432,-3.4875528792848405,0.73892311007532
Chile,CHL,0.8904869072425801,0.366839774774052,0.7735188617700081,0.6099490075589427,0.6233445008208766,0.04019761014540664,-3.486415861338801,-1.9300354841791139
China,CHN,-0.06940380044286558,-0.010652128741814518,0.5243546110955901,0.6886039434172848,-0.9636776425215923,4.1541410774214157e-16,0.2500525129354811,-0.4619686187660542
Colombia,COL,0.7801212585525742,0.519533129005189,0.5935669029495952,0.7341410115457987,-0.4102203404315716,0.4531019983368344,1.0118545367817986,0.5341198694977213
Comoros,COM,-0.476498144952931,-0.21000178565468783,-0.8183638508721088,-0.4539624932617907,-0.05680784632589577,0.1827044343884658,0.2841630513166595,-0.27578385460460086
Costa Rica,CRI,1.1978649200415,0.6128457343686616,0.8704160703656155,1.0032236868506534,0.21658672458604217,0.26309289934608887,1.2108326773386726,0.1245133883425239
