country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,4.22,559.0,52925.0,523.0,44.0,793.0,501.0,348.0
Albania,ALB,4511.0,638.0,69025.0,0.73,-19.0,901.0,567.0,322.0
Algeria,DZA,5341.0,749.0,66.1,,,,565.0,377.0
Argentina,ARG,6427.0,883.0,66.95,848.0,-195.0,851.0,732.0,312.0
Armenia,ARM,4325.0,709.0,66275.0,611.0,-175.0,921.0,516.0,437.0
Australia,AUS,7.25,942.0,70675.0,922.0,235.0,399.0,736.0,236.0
Austria,AUT,7048.0,926.0,70525.0,889.0,76.0,524.0,713.0,197.0
Azerbaijan,AZE,5304.0,777.0,63225.0,713.0,-207.0,607.0,509.0,191.0
Bahrain,BHR,6.17,863.0,66125.0,889.0,83.0,,736.0,283.0
Bangladesh,BGD,4556.0,649.0,63925.0,875.0,-102.0,688.0,437.0,235.0
Belarus,BLR,5178.0,927.0,65325.0,658.0,-129.0,664.0,503.0,182.0
Belgium,BEL,6949.0,929.0,70.15,866.0,-0.06,497.0,701.0,0.26
Benin,BEN,4007.0,493.0,54.6,0.78,-64.0,838.0,578.0,456.0
Bolivia,BOL,5.77,796.0,62.85,882.0,-48.0,853.0,736.0,376.0
Bosnia and Herzegovina,BIH,5181.0,808.0,67.05,633.0,134.0,957.0,566.0,304.0
Botswana,BWA,3499.0,768.0,53075.0,852.0,-244.0,729.0,657.0,252.0
Brazil,BRA,6375.0,912.0,64875.0,807.0,-103.0,781.0,711.0,302.0
Bulgaria,BGR,4838.0,926.0,66.0,0.7,-175.0,936.0,545.0,172.0
Burkina Faso,BFA,4206.0,764.0,53775.0,645.0,1.0,721.0,0.59,337.0
Cambodia,KHM,4461.0,746.0,60.9,958.0,73.0,0.84,713.0,398.0
Cameroon,CMR,4816.0,659.0,52475.0,713.0,-8.0,879.0,635.0,367.0
Canada,CAN,7245.0,924.0,71.15,912.0,207.0,385.0,768.0,237.0
Central African Republic,CAF,2693.0,0.29,44.75,624.0,37.0,859.0,551.0,494.0
Chad,TCD,4029.0,616.0,50875.0,525.0,51.0,0.82,564.0,468.0
Chile,CHL,6579.0,841.0,69.55,652.0,96.0,858.0,792.0,283.0
China,CHN,5325.0,742.0,68125.0,,-0.23,,683.0,146.0
Colombia,COL,6234.0,882.0,68475.0,835.0,-104.0,898.0,0.77,294.0
