Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
AFG,3,3,3,5,5,3,5,3,3,3,3,5,3,5,3,5,5,5,0.5555555555555556,10
AGO,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,0.9444444444444444,3
ALB,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0.8333333333333334,7
ARE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
ARG,4,2,0,0,4,0,2,2,4,4,2,4,2,4,2,0,2,2,0.4444444444444444,14
ARM,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8333333333333334,7
AUS,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
AUT,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
AZE,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0.7777777777777778,8
BDI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
BEL,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BEN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
BFA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
BGD,5,5,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,5,0.5555555555555556,5
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.8888888888888888,4
BHR,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0.8888888888888888,5
BLR,0,0,0,0,0,0,4,0,0,4,0,0,4,0,2,0,0,0,0.7777777777777778,9
BLZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BOL,3,3,3,3,3,5,3,2,1,2,4,4,4,3,4,3,3,2,0.5,11
BRA,5,2,2,2,2,2,2,4,4,2,2,2,0,1,0,0,0,0,0.5,7
BTN,3,3,3,3,3,3,3,3,1,3,3,3,1,1,3,1,3,1,0.7222222222222222,8
BWA,0,1,0,1,3,1,4,1,1,5,5,0,1,0,0,0,0,4,0.3888888888888889,13
CAF,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
CAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
CHE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
CHL,2,2,2,1,2,5,2,2,2,5,2,2,4,4,2,2,2,2,0.7222222222222222,9
CHN,4,1,1,1,0,4,0,4,4,4,4,4,4,4,0,4,1,4,0.6111111111111112,10
CIV,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
CMR,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,0.8333333333333334,7
COD,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,0.9444444444444444,3
COG,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,5,3,0.8888888888888888,5
COL,0,4,2,4,1,2,0,2,1,0,4,0,5,4,0,1,0,0,0.3888888888888889,17
COM,5,5,3,5,5,5,3,3,5,3,5,3,3,3,3,3,3,5,0.5555555555555556,9
CRI,2,2,2,2,4,2,2,2,2,2,2,0,2,2,2,2,2,0,0.8333333333333334,6
CUB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0,1
CYP,2,2,2,2,2,2,1,2,1,4,0,0,0,2,1,0,0,4,0.4444444444444444,10
CZE,0,2,4,2,2,0,2,0,2,0,2,0,0,0,2,2,4,2,0.5,14
DEU,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,0.9444444444444444,3
DJI,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.9444444444444444,2
DNK,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
DOM,0,2,1,4,1,4,1,0,2,2,2,2,5,2,2,2,2,4,0.5,12
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
ECU,3,4,0,0,4,1,0,2,4,2,2,2,0,2,0,0,0,3,0.3888888888888889,13
EGY,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.8333333333333334,6
ESP,2,4,2,2,0,4,0,0,0,2,2,0,0,4,2,2,0,2,0.4444444444444444,12
EST,2,4,2,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,0.5,9
