Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
AFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
AGO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ALB,1,1,1,1,1,2,2,0,2,1,0,1,1,2,0,1,2,2,0.5,11
ARE,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
ARG,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
ARM,1,1,0,2,1,2,2,2,0,0,2,2,0,2,2,2,2,2,0.6111111111111112,9
AUS,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
AUT,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
AZE,2,2,2,2,1,2,0,2,0,0,2,2,2,2,2,2,2,2,0.7777777777777778,7
BDI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BEL,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
BEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BFA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BGD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.8888888888888888,3
BGR,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
BHR,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9444444444444444,3
BIH,2,2,0,2,1,2,2,2,0,2,1,2,0,2,2,1,0,2,0.6111111111111112,14
BLR,2,2,2,2,1,2,0,1,2,0,2,2,0,2,2,2,2,2,0.7222222222222222,10
BLZ,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.8333333333333334,7
BOL,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,0.8333333333333334,5
BRA,0,2,2,2,1,2,2,1,0,0,2,0,2,0,2,0,0,0,0.4444444444444444,12
BTN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BWA,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0.8333333333333334,6
CAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
