0,1,2
MDV (14),AFG (18),ARE (17)
PSE (12),AGO (18),ARG (17)
TKM (10),BDI (18),AUS (17)
BRA (8),BEN (18),AUT (17)
VEN (8),BFA (18),BEL (17)
CUB (8),BTN (18),BGR (17)
RUS (8),CAF (18),BHR (17)
GEO (7),CIV (18),CAN (17)
XKX (7),CMR (18),CHE (17)
UZB (6),COD (18),CRI (17)
JOR (5),COG (18),DEU (17)
GAB (5),COM (18),DNK (17)
IRN (5),ETH (18),FIN (17)
MNG (5),GHA (18),FRA (17)
SUR (5),GIN (18),GBR (17)
IRQ (5),GMB (18),HKG (17)
KGZ (5),HTI (18),IRL (17)
THA (4),KEN (18),ISL (17)
ARM (4),KHM (18),ISR (17)
BIH (4),LAO (18),ITA (17)
