Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
AFG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0.8888888888888888,4
AGO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
ALB,3,3,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,3,0.6111111111111112,5
ARE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ARG,1,1,3,3,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0.7222222222222222,9
ARM,3,3,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0.7777777777777778,6
AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
AZE,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0.9444444444444444,3
BDI,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
BEN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BFA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BGD,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BGR,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,1,3,3,0.8888888888888888,5
BHR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0.9444444444444444,3
BIH,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,0.8888888888888888,5
BLR,3,3,3,3,3,3,0,3,3,0,3,3,0,3,1,3,3,3,0.7777777777777778,9
BLZ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0.9444444444444444,2
BOL,2,2,2,2,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0.5555555555555556,7
BRA,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0.7222222222222222,6
BTN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
BWA,3,3,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,0,0.8333333333333334,6
CAF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
CHE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
CHL,1,1,1,1,1,3,1,1,1,3,1,1,0,0,1,1,1,1,0.7777777777777778,7
CHN,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.9444444444444444,3
CIV,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
CMR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
COD,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
COG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
COL,3,0,1,0,3,1,1,1,1,1,0,3,3,3,3,3,3,3,0.5,8
COM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1
CRI,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,0,0.8333333333333334,6
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
CYP,1,1,1,1,1,1,3,1,1,0,0,1,3,1,1,3,1,0,0.6666666666666666,10
CZE,1,1,0,1,1,3,1,3,1,3,1,3,3,3,1,1,1,1,0.6111111111111112,11
DEU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
DJI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1
DNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
DOM,0,1,1,0,3,0,1,0,0,1,0,0,3,0,1,0,1,0,0.5555555555555556,15
DZA,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,0.9444444444444444,3
